periodfrom,valuetime,tradetype,amount,price,eur
49,2026-04-21 12:00:00,N,0.0,76.43,0.0
50,2026-04-21 12:15:00,N,0.0,70.98,0.0
51,2026-04-21 12:30:00,N,0.0,62.68,0.0
52,2026-04-21 12:45:00,N,0.0,56.72,0.0
53,2026-04-21 13:00:00,N,0.0,45.76,0.0
54,2026-04-21 13:15:00,N,0.0,43.41,0.0
55,2026-04-21 13:30:00,N,1.1,33.56,9.229000000000001
56,2026-04-21 13:45:00,N,1.2,30.28,9.084
57,2026-04-21 14:00:00,N,1.2,32.26,9.677999999999999
58,2026-04-21 14:15:00,N,1.2,26.96,8.088
59,2026-04-21 14:30:00,N,1.2,35.5,10.65
60,2026-04-21 14:45:00,N,1.2,39.68,11.904
81,2026-04-21 20:00:00,P,2.5,160.05,100.03125
82,2026-04-21 20:15:00,P,2.5,177.79,111.11874999999999
83,2026-04-21 20:30:00,P,2.5,159.82,99.88749999999999
84,2026-04-21 20:45:00,P,0.0,141.08,0.0
