tradetype,periodfrom,amount,price,deliverydur,datetimemodify,eur
N,0,0.5,116.0,15,2026-04-20 22:42:13,14.5
P,0,0.2,117.05,15,2026-04-20 19:37:16,5.8525
P,0,0.3,117.05,15,2026-04-20 19:25:15,8.778749999999999
N,5,0.6,70.8,15,2026-04-20 22:02:36,10.62
P,5,0.6,113.44,15,2026-04-20 22:54:26,17.016
P,8,0.1,200.0,60,2026-04-21 06:55:12,20.0
P,10,0.1,124.6,60,2026-04-21 06:46:15,12.46
P,11,0.3,160.0,60,2026-04-21 08:21:56,48.0
N,16,0.2,99.78,15,2026-04-20 22:41:21,4.989000000000001
N,16,1.0,19.47,60,2026-04-20 22:43:12,19.469999999999995
N,17,0.1,100.6,15,2026-04-20 22:41:42,2.515
P,23,1.5,131.14,15,2026-04-20 17:14:31,49.177499999999995
P,25,1.0,136.55,15,2026-04-20 17:13:57,34.1375
P,25,0.5,136.55,15,2026-04-20 17:13:57,17.06875
P,25,0.3,132.66,15,2026-04-20 19:13:15,9.949499999999999
P,25,0.5,132.55,15,2026-04-20 19:25:15,16.56875
P,25,0.2,132.66,15,2026-04-20 19:04:15,6.633
P,26,1.5,135.12,15,2026-04-20 17:13:56,50.67
P,26,0.8,132.55,15,2026-04-20 19:13:15,26.510000000000005
P,26,0.2,132.55,15,2026-04-20 19:25:15,6.627500000000001
P,27,0.6,140.8,15,2026-04-20 19:00:22,21.12
P,27,1.5,142.65,15,2026-04-20 17:13:56,53.493750000000006
P,27,0.4,140.8,15,2026-04-20 19:04:15,14.080000000000002
P,28,1.0,144.96,15,2026-04-20 19:00:22,36.24
P,28,1.5,146.53,15,2026-04-20 17:13:56,54.948750000000004
P,29,1.5,147.65,15,2026-04-20 17:13:56,55.368750000000006
P,29,1.0,146.15,15,2026-04-20 19:00:22,36.5375
N,30,0.1,139.4,15,2026-04-21 05:52:11,3.4850000000000003
P,30,0.1,130.36,15,2026-04-21 06:25:12,3.2590000000000003
P,30,0.1,135.81,15,2026-04-21 05:49:11,3.3952500000000003
P,30,0.7,132.7,15,2026-04-20 19:37:16,23.2225
P,32,1.5,143.65,15,2026-04-20 17:13:55,53.868750000000006
P,33,0.2,186.07,15,2026-04-21 07:07:14,9.303500000000001
P,34,0.1,131.07,15,2026-04-21 05:49:11,3.27675
P,34,0.1,130.0,15,2026-04-21 06:40:12,3.25
P,34,0.1,130.5,15,2026-04-21 06:34:13,3.2625
N,35,0.3,136.91,15,2026-04-21 06:58:11,10.26825
P,35,0.3,220.0,15,2026-04-21 07:37:12,16.5
N,38,0.1,149.95,15,2026-04-21 08:22:15,3.74875
N,38,0.1,149.99,15,2026-04-21 07:43:13,3.7497500000000006
P,38,0.1,123.58,15,2026-04-21 08:16:14,3.0895
N,40,0.1,154.99,15,2026-04-21 06:58:11,3.8747500000000006
N,42,0.1,169.48,15,2026-04-21 08:22:15,4.237
N,43,1.2,97.5,15,2026-04-21 08:21:56,29.25
N,43,0.1,68.15,15,2026-04-21 06:46:15,1.7037500000000003
P,43,0.1,109.83,15,2026-04-21 09:37:04,2.74575
P,48,0.1,145.1,15,2026-04-21 10:52:11,3.6275
N,50,0.4,48.76,15,2026-04-21 08:22:15,4.876
N,50,0.8,48.76,15,2026-04-21 08:22:15,9.752
P,50,1.1,121.0,15,2026-04-21 11:10:13,33.275000000000006
N,51,0.3,53.78,15,2026-04-21 08:16:14,4.0335
P,51,0.3,126.09,15,2026-04-21 10:58:11,9.45675
N,52,1.2,48.12,15,2026-04-21 07:07:14,14.435999999999998
P,52,0.2,145.84,15,2026-04-21 11:52:08,7.292000000000001
N,53,0.2,52.11,15,2026-04-21 07:46:15,2.6055
