qh,time,buy_mw,sell_mw,net_mw,soc_mwh,flag
0,00:00,0.5,0.5,0.0,5.0,
5,01:15,0.6,0.6,0.0,5.0,
16,04:00,0.2,0.0,-0.2,5.05,
17,04:15,0.1,0.0,-0.1,5.075,
23,05:45,0.0,1.5,1.5,4.7,
25,06:15,0.0,2.5,2.5,4.075,
26,06:30,0.0,2.5,2.5,3.45,
27,06:45,0.0,2.5,2.5,2.825,
28,07:00,0.0,2.5,2.5,2.2,
29,07:15,0.0,2.5,2.5,1.5750000000000002,
30,07:30,0.1,0.8999999999999999,0.7999999999999999,1.3750000000000002,
32,08:00,0.0,1.6,1.6,0.9750000000000002,
33,08:15,0.0,0.30000000000000004,0.30000000000000004,0.9000000000000001,
34,08:30,0.0,0.4,0.4,0.8000000000000002,
35,08:45,0.3,0.4,0.10000000000000003,0.7750000000000001,
38,09:30,0.2,0.1,-0.1,0.8000000000000002,
40,10:00,0.1,0.1,0.0,0.8000000000000002,
41,10:15,0.0,0.1,0.1,0.7750000000000001,
42,10:30,0.1,0.1,0.0,0.7750000000000001,
43,10:45,1.3,0.2,-1.1,1.0500000000000003,
44,11:00,0.0,0.3,0.3,0.9750000000000003,
45,11:15,0.0,0.3,0.3,0.9000000000000004,
46,11:30,0.0,0.3,0.3,0.8250000000000004,
47,11:45,0.0,0.3,0.3,0.7500000000000004,
48,12:00,0.0,0.1,0.1,0.7250000000000004,
50,12:30,1.2000000000000002,1.1,-0.10000000000000009,0.7500000000000004,
51,12:45,0.3,0.3,0.0,0.7500000000000004,
52,13:00,1.2,0.2,-1.0,1.0000000000000004,
53,13:15,1.2000000000000002,0.8,-0.40000000000000013,1.1000000000000005,
54,13:30,0.1,0.0,-0.1,1.1250000000000004,
55,13:45,1.1,0.6,-0.5000000000000001,1.2500000000000004,
56,14:00,1.2,0.0,-1.2,1.5500000000000005,
57,14:15,1.2,0.0,-1.2,1.8500000000000005,
58,14:30,1.2,0.0,-1.2,2.1500000000000004,
59,14:45,1.2,0.1,-1.0999999999999999,2.4250000000000003,
60,15:00,1.7999999999999998,0.0,-1.7999999999999998,2.875,[!] overcharge 1.80 MW > 1.2
63,15:45,0.0,0.1,0.1,2.85,
64,16:00,1.2,0.2,-1.0,3.1,
65,16:15,1.2,0.0,-1.2,3.4,
66,16:30,1.0,0.9999999999999999,-1.1102230246251565e-16,3.4,
67,16:45,1.0,0.0,-1.0,3.65,
68,17:00,1.2,0.0,-1.2,3.9499999999999997,
69,17:15,1.2,0.0,-1.2,4.25,
70,17:30,1.2,0.0,-1.2,4.55,
71,17:45,0.7,0.0,-0.7,4.725,
72,18:00,1.2000000000000002,0.0,-1.2000000000000002,5.0249999999999995,
73,18:15,0.1,0.0,-0.1,5.05,
74,18:30,0.1,0.1,0.0,5.05,
75,18:45,0.1,0.1,0.0,5.05,
76,19:00,0.3,0.0,-0.3,5.125,
77,19:15,0.0,0.1,0.1,5.1,
78,19:30,0.0,0.5,0.5,4.975,
79,19:45,0.0,2.5,2.5,4.35,
81,20:15,0.0,2.5,2.5,3.7249999999999996,
82,20:30,0.0,2.5,2.5,3.0999999999999996,
83,20:45,0.0,5.0,5.0,1.8499999999999996,[!] overdischarge 5.00 MW > 2.5
84,21:00,0.0,2.5000000000000004,2.5000000000000004,1.2249999999999996,
