zacintervalu,expiration,tradetype,deliverydur,mnozstvo,cena,retmsg,tretcode,comment_blok,date_in,user_in,correlationid
2026-04-21 00:00:00,2026-04-20 19:35:00,P,15,0.30000000000000004,112.05,WSocket,,BL6,2026-04-20 19:25:14,ALGO,11860
2026-04-21 00:00:00,2026-04-20 19:45:00,P,15,0.2,112.05,WSocket,,BL6,2026-04-20 19:37:15,ALGO,11866
2026-04-21 00:00:00,,N,15,0.5,116.0,WSocket,,BL6,2026-04-20 22:42:11,pnacek,11876
2026-04-21 01:15:00,,N,15,0.6,70.8,WSocket,,BL6,2026-04-20 22:02:36,pnacek,11871
2026-04-21 01:15:00,2026-04-20 23:00:00,P,15,0.6000000000000001,108.0,WSocket,,BL6,2026-04-20 22:54:25,ALGO,11898
2026-04-21 04:00:00,,N,15,0.2,99.78,WSocket,,BL6,2026-04-20 22:41:18,pnacek,11874
2026-04-21 04:15:00,,N,15,0.1,100.6,WSocket,,BL6,2026-04-20 22:41:41,pnacek,11875
2026-04-21 05:45:00,,P,15,1.5,131.14,WSocket,,BL6,2026-04-20 17:14:30,pnacek,11836
2026-04-21 06:15:00,,P,15,1.5,136.55,WSocket,,BL6,2026-04-20 17:13:55,pnacek,11833
2026-04-21 06:15:00,2026-04-20 19:10:00,P,15,0.2,127.66,WSocket,,BL6,2026-04-20 19:04:13,ALGO,11850
2026-04-21 06:15:00,2026-04-20 19:20:00,P,15,0.30000000000000004,127.66,WSocket,,BL6,2026-04-20 19:13:14,ALGO,11855
2026-04-21 06:15:00,2026-04-20 19:35:00,P,15,0.5,127.55000000000001,WSocket,,BL6,2026-04-20 19:25:14,ALGO,11861
2026-04-21 06:30:00,,P,15,1.5,135.12,WSocket,,BL6,2026-04-20 17:13:55,pnacek,11834
2026-04-21 06:30:00,2026-04-20 19:20:00,P,15,0.8,127.55000000000001,WSocket,,BL6,2026-04-20 19:13:14,ALGO,11856
2026-04-21 06:30:00,2026-04-20 19:35:00,P,15,0.2,127.55000000000001,WSocket,,BL6,2026-04-20 19:25:14,ALGO,11862
2026-04-21 06:45:00,,P,15,1.5,142.65,WSocket,,BL6,2026-04-20 17:13:55,pnacek,11832
2026-04-21 06:45:00,2026-04-20 19:10:00,P,15,0.6000000000000001,135.8,WSocket,,BL6,2026-04-20 19:00:18,ALGO,11847
2026-04-21 06:45:00,2026-04-20 19:10:00,P,15,0.4,135.8,WSocket,,BL6,2026-04-20 19:04:13,ALGO,11851
2026-04-21 07:00:00,,P,15,1.5,146.53,WSocket,,BL6,2026-04-20 17:13:55,pnacek,11831
2026-04-21 07:00:00,2026-04-20 19:10:00,P,15,1.0,139.96,WSocket,,BL6,2026-04-20 19:00:18,ALGO,11848
2026-04-21 07:15:00,,P,15,1.5,147.65,WSocket,,BL6,2026-04-20 17:13:55,pnacek,11835
2026-04-21 07:15:00,2026-04-20 19:10:00,P,15,1.0,141.15,WSocket,,BL6,2026-04-20 19:00:18,ALGO,11849
2026-04-21 07:30:00,2026-04-20 19:45:00,P,15,0.7000000000000001,127.69999999999999,WSocket,,BL6,2026-04-20 19:37:15,ALGO,11867
2026-04-21 07:30:00,2026-04-21 05:55:00,P,15,0.1,131.12,WSocket,,BL6,2026-04-21 05:49:11,ALGO,11945
2026-04-21 07:30:00,2026-04-21 06:00:00,N,15,0.1,142.95,WSocket,,BL6,2026-04-21 05:52:10,ALGO,11947
2026-04-21 07:30:00,2026-04-21 06:35:00,P,15,0.1,126.03,WSocket,,BL6,2026-04-21 06:25:10,ALGO,11948
2026-04-21 08:00:00,,P,15,1.5,143.65,WSocket,,BL6,2026-04-20 17:13:55,pnacek,11830
2026-04-21 08:00:00,2026-04-21 07:05:00,P,60,0.1,195.0,WSocket,,BL6,2026-04-21 06:55:11,ALGO,11954
2026-04-21 08:15:00,2026-04-21 07:15:00,P,15,0.2,179.57,WSocket,,BL6,2026-04-21 07:07:13,ALGO,11959
2026-04-21 08:30:00,2026-04-21 05:55:00,P,15,0.1,127.32,WSocket,,BL6,2026-04-21 05:49:11,ALGO,11946
2026-04-21 08:30:00,2026-04-21 06:40:00,P,15,0.1,129.73,WSocket,,BL6,2026-04-21 06:34:11,ALGO,11949
2026-04-21 08:30:00,2026-04-21 06:50:00,P,15,0.1,129.48,WSocket,,BL6,2026-04-21 06:40:11,ALGO,11950
2026-04-21 08:30:00,2026-04-21 07:25:00,P,15,0.1,188.58,WSocket,,BL6,2026-04-21 07:16:10,ALGO,11962
2026-04-21 08:30:00,2026-04-21 07:25:00,P,15,0.1,189.45,WSocket,,BL6,2026-04-21 07:19:10,ALGO,11963
2026-04-21 08:45:00,2026-04-21 07:05:00,N,15,0.5,115.46,WSocket,,BL6,2026-04-21 06:55:11,ALGO,11953
2026-04-21 08:45:00,2026-04-21 07:05:00,N,15,0.30000000000000004,141.91,WSocket,,BL6,2026-04-21 06:58:10,ALGO,11955
2026-04-21 08:45:00,2026-04-21 07:30:00,P,15,0.1,147.55,WSocket,,BL6,2026-04-21 07:22:10,ALGO,11964
2026-04-21 08:45:00,2026-04-21 07:35:00,P,15,0.1,232.47,WSocket,,BL6,2026-04-21 07:28:10,ALGO,11967
2026-04-21 08:45:00,2026-04-21 07:40:00,P,15,0.1,229.72,WSocket,,BL6,2026-04-21 07:31:10,ALGO,11968
2026-04-21 08:45:00,2026-04-21 07:40:00,P,15,0.1,222.5,WSocket,,BL6,2026-04-21 07:34:10,ALGO,11969
2026-04-21 08:45:00,2026-04-21 07:45:00,P,15,0.30000000000000004,215.0,WSocket,,BL6,2026-04-21 07:37:10,ALGO,11972
2026-04-21 09:30:00,2026-04-21 07:50:00,N,15,0.1,154.99,WSocket,,BL6,2026-04-21 07:43:11,ALGO,11975
2026-04-21 09:30:00,2026-04-21 08:25:00,P,15,0.1,123.28999999999999,WSocket,,BL6,2026-04-21 08:16:09,ALGO,11986
2026-04-21 09:30:00,2026-04-21 08:30:00,N,15,0.1,154.95,WSocket,,BL6,2026-04-21 08:22:12,ALGO,11991
2026-04-21 10:00:00,2026-04-21 06:55:00,P,60,0.1,119.6,WSocket,,BL6,2026-04-21 06:46:11,ALGO,11952
2026-04-21 10:00:00,2026-04-21 07:05:00,N,15,0.1,159.99,WSocket,,BL6,2026-04-21 06:58:10,ALGO,11956
2026-04-21 10:30:00,2026-04-21 08:30:00,N,15,0.1,174.48,WSocket,,BL6,2026-04-21 08:22:12,ALGO,11992
2026-04-21 10:45:00,2026-04-21 06:55:00,N,15,0.1,73.15,WSocket,,BL6,2026-04-21 06:46:11,ALGO,11951
2026-04-21 10:45:00,,N,15,1.2,97.5,WSocket,,BL6,2026-04-21 08:21:54,pnacek,11989
