datetime,limit_price,filled,entry_bid,entry_ask,entry_spread,n_snapshots,fallback_price,target,pred_median,direction,size,imb_settlement_price,pnl_limit,pnl_fallback
2026-02-01 12:15:00,78.1,False,78.1,,,53,102.05,2.032,-3.796397676487466,deficit,3.796397676487466,119.884525,39.657668405783106,16.926737317814403
2026-02-01 12:30:00,102.31,True,102.31,104.63,2.319999999999993,54,103.88,-3.797,-4.577205666499229,deficit,4.577205666499229,119.884525,20.110553854008085,18.314000629907145
2026-02-01 12:45:00,96.05,False,96.05,96.82,0.769999999999996,55,99.19,-9.488,-5.575114587606708,deficit,5.0,119.884525,29.79315625,25.86815625
2026-02-01 13:00:00,107.37,True,,108.37,,51,100.98,-13.753,-7.853073390214113,deficit,5.0,112.7419,6.714874999999996,14.702374999999996
2026-02-01 13:15:00,97.89,True,,98.89,,52,91.21,-6.2,-7.89288427712009,deficit,5.0,112.7419,18.564875,26.91487500000001
2026-02-01 13:30:00,97.06,True,97.06,99.72,2.6599999999999966,54,95.43,-8.882,-6.498148799667866,deficit,5.0,112.7419,19.602375,21.639874999999993
2026-02-01 13:45:00,92.05,True,92.05,92.5,0.45000000000000284,55,97.9,-4.535,-8.230442333811531,deficit,5.0,112.7419,25.864875000000005,18.552374999999994
2026-02-01 14:00:00,92.75,True,92.75,93.64,0.8900000000000006,55,93.79,-1.289,-5.525050779927124,deficit,5.0,117.196875,30.558593750000007,29.25859375
2026-02-01 14:15:00,94.4,True,94.4,94.9,0.5,55,98.66,-8.799,-4.731132954398071,deficit,4.731132954398071,117.196875,26.963761642448382,21.925105046014448
2026-02-01 14:30:00,98.13,True,98.13,101.47,3.3400000000000034,55,99.16,-5.597,-4.632420348526105,deficit,4.632420348526105,117.196875,22.08144493320093,20.888596693455458
2026-02-01 14:45:00,97.17,True,97.17,97.99,0.8199999999999932,55,98.42,-1.559,-4.30572031603357,deficit,4.30572031603357,117.196875,21.557530638541206,20.211993039780715
2026-02-01 15:00:00,99.92,True,,100.92,,53,105.01,-3.802,-5.101228266307196,deficit,5.0,122.62345,28.379312500000005,22.0168125
2026-02-01 15:15:00,102.41,False,,103.41,,47,105.98,-6.149,-5.98907782616359,deficit,5.0,122.62345,25.26681250000001,20.8043125
2026-02-01 15:30:00,107.5,False,107.5,108.77,1.269999999999996,49,176.1,-15.98,-4.284207049452934,deficit,4.284207049452934,122.62345,16.19799777551225,-57.27615312260556
2026-02-01 15:45:00,105.47,False,105.47,109.66,4.189999999999998,50,149.09,6.354,-5.706409889378342,deficit,5.0,122.62345,21.441812500000008,-33.083187499999994
2026-02-01 16:00:00,106.09,True,106.09,108.88,2.789999999999992,51,111.75,6.633,-7.681101292701503,deficit,5.0,85.0545,-26.294375,-33.36937499999999
2026-02-01 16:15:00,119.54,True,119.54,130.0,10.459999999999994,49,146.21,2.944,-8.438714064424286,deficit,5.0,85.0545,-43.106875,-76.44437500000001
2026-02-01 16:30:00,129.06,False,129.06,155.83,26.77000000000001,51,169.92,4.01,-7.836369257771543,deficit,5.0,85.0545,-55.006874999999994,-106.08187499999998
2026-02-01 16:45:00,136.15,False,136.15,,,55,152.04,10.885,-7.747894521142423,deficit,5.0,85.0545,-63.869375000000005,-83.73187499999999
2026-02-01 17:00:00,141.11,False,141.11,,,54,172.43,0.265,-3.492105392672304,deficit,3.492105392672304,123.4845,-15.387525899636438,-42.73071112426057
2026-02-01 17:15:00,133.82,False,133.82,,,54,154.71,2.578,-3.9019528107469457,deficit,3.9019528107469457,123.4845,-10.08215831886876,-30.4601068729947
2026-02-01 17:30:00,144.33,False,144.33,,,50,168.22,1.096,-4.379982914567057,deficit,4.379982914567057,123.4845,-22.825733461401914,-48.985181418653646
2026-02-01 17:45:00,145.21,False,145.21,163.9,18.689999999999998,53,159.69,4.357,-5.000642667327251,deficit,5.0,123.4845,-27.156875000000014,-45.256875
2026-02-01 18:00:00,133.63,False,133.63,159.97,26.340000000000003,55,152.6,2.637,-3.846755734738631,deficit,3.846755734738631,135.6519,1.9444388550170255,-16.298800216980933
2026-02-01 18:15:00,141.58,False,141.58,,,43,148.22,0.321,-3.243211324207089,deficit,3.243211324207089,135.6519,-4.806520262758012,-10.190251060941767
2026-02-01 18:45:00,142.68,True,142.68,150.3,7.6200000000000045,54,147.99,-1.646,-3.320706948751032,deficit,3.320706948751032,135.6519,-5.834565126629277,-10.242803601096274
2026-02-01 19:00:00,138.8,False,138.8,142.52,3.719999999999999,51,154.53,2.805,-3.760673311217676,deficit,3.760673311217676,116.12685,-21.316577521558767,-36.10542531792227
2026-02-01 19:15:00,134.72,False,134.72,150.27,15.550000000000011,53,142.05,1.796,-3.6406807012475566,deficit,3.6406807012475566,116.12685,-16.922930595100247,-23.594477980136407
2026-02-01 19:30:00,134.8,False,134.8,144.26,9.45999999999998,55,135.28,1.487,-3.424711760183925,deficit,3.424711760183925,116.12685,-15.98753910116962,-16.398504512391682
2026-02-02 01:00:00,110.98,False,110.98,111.89,0.9099999999999966,54,115.79,-15.345,-3.730127825852259,deficit,3.730127825852259,119.866075,8.28654890502752,3.801070194440176
