datetime,direction,pred,target,size,pnl,spread,limit_price,thresh_s,thresh_d,scale_s,scale_d,month,week
2026-02-02 03:15:00,deficit,-3.6021598973249764,-7.771,3.6021598973249764,17.706642110294506,2.0400000000000063,105.14,3.0,3.0,1.0,1.0,2026-02,2026-02-02/2026-02-08
2026-02-02 10:00:00,deficit,-4.878767582519657,-3.229,4.878767582519657,23.35237349521727,2.8799999999999955,160.77,3.0,3.0,1.0,1.0,2026-02,2026-02-02/2026-02-08
2026-02-02 12:30:00,deficit,-8.21940607140683,-12.314,5.0,27.32043749999999,1.9799999999999898,145.36,3.0,3.0,1.0,1.0,2026-02,2026-02-02/2026-02-08
2026-02-02 21:30:00,deficit,-4.8856005778375176,-6.134,4.8856005778375176,18.2242062054423,5.700000000000003,124.67,3.0,3.0,1.0,1.0,2026-02,2026-02-02/2026-02-08
2026-02-02 21:45:00,deficit,-3.889356443125997,-1.542,3.889356443125997,17.512556639507903,3.730000000000004,121.58,3.0,3.0,1.0,1.0,2026-02,2026-02-02/2026-02-08
2026-02-02 22:45:00,deficit,-4.889690918484612,-6.608,4.889690918484612,13.933327075063113,2.510000000000005,113.86,3.0,3.0,1.0,1.0,2026-02,2026-02-02/2026-02-08
2026-02-02 23:00:00,deficit,-5.892014641358056,-4.278,5.0,-17.835343750000003,3.990000000000009,122.05,3.0,3.0,1.0,1.0,2026-02,2026-02-02/2026-02-08
2026-02-03 00:30:00,deficit,-5.024875961762477,5.431,5.0,-8.580000000000005,1.2199999999999989,97.69,3.0,3.0,1.0,1.0,2026-02,2026-02-02/2026-02-08
2026-02-03 00:45:00,deficit,-3.6174871210398347,5.85,3.6174871210398347,-4.471214081605238,0.8200000000000074,95.77,3.0,3.0,1.0,1.0,2026-02,2026-02-02/2026-02-08
2026-02-03 01:00:00,deficit,-4.797897359457165,8.634,4.797897359457165,-15.55109485576504,0.519999999999996,103.03,3.0,3.0,1.0,1.0,2026-02,2026-02-02/2026-02-08
2026-02-03 04:30:00,deficit,-4.695753523862087,-6.236,4.695753523862087,24.09065365192919,1.5300000000000011,90.44,3.0,3.0,1.0,1.0,2026-02,2026-02-02/2026-02-08
2026-02-03 04:45:00,deficit,-3.2676956782553206,-7.0,3.2676956782553206,13.921384321169128,0.6799999999999926,93.92,3.0,3.0,1.0,1.0,2026-02,2026-02-02/2026-02-08
2026-02-03 09:00:00,deficit,-9.800867551488167,-8.539,5.0,59.959218750000005,5.1200000000000045,211.88,3.0,3.0,1.0,1.0,2026-02,2026-02-02/2026-02-08
2026-02-03 09:15:00,deficit,-7.774183485275915,-0.054,5.0,91.75921875,5.060000000000002,186.44,3.0,3.0,1.0,1.0,2026-02,2026-02-02/2026-02-08
2026-02-03 13:00:00,deficit,-8.0270433297821,-5.116,5.0,56.55275000000003,8.550000000000011,134.95,3.0,3.0,1.0,1.0,2026-02,2026-02-02/2026-02-08
2026-02-03 13:15:00,deficit,-3.5666931450018327,-17.412,3.5666931450018327,31.37102789152089,9.340000000000003,145.01,3.0,3.0,1.0,1.0,2026-02,2026-02-02/2026-02-08
2026-02-04 04:15:00,surplus,3.877960034716333,3.318,3.877960034716333,0.27126330442841595,0.09000000000000341,93.43,3.0,3.0,1.0,1.3,2026-02,2026-02-02/2026-02-08
2026-02-04 08:45:00,surplus,4.409996217890838,1.951,4.409996217890838,5.134613721443032,4.920000000000016,128.8,3.0,3.0,1.0,1.3,2026-02,2026-02-02/2026-02-08
2026-02-04 13:00:00,surplus,5.916660091593382,10.073,5.0,41.57843749999999,9.629999999999995,123.74,3.0,3.0,1.0,1.3,2026-02,2026-02-02/2026-02-08
2026-02-04 14:00:00,surplus,3.361771230991792,-3.657,3.361771230991792,-45.61251206209664,5.090000000000003,118.67,3.0,3.0,1.0,1.3,2026-02,2026-02-02/2026-02-08
2026-02-04 14:15:00,surplus,3.915809195254425,-2.917,3.915809195254425,-49.62504993145934,7.939999999999998,122.25,3.0,3.0,1.0,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 00:45:00,surplus,4.530060816106977,2.228,4.530060816106977,-3.097202579972332,0.44000000000001194,88.65,3.0,3.0,1.0,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 01:00:00,surplus,4.974936912618904,1.1,4.974936912618904,13.188526661997017,0.4399999999999977,91.36,3.0,3.0,1.0,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 01:15:00,surplus,4.990472568574734,0.259,4.990472568574734,9.91104733073588,0.6099999999999994,88.7,3.0,3.0,1.0,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 01:30:00,surplus,4.73111242579361,-0.51,4.73111242579361,8.284148288111963,0.7199999999999989,87.76,3.0,3.0,1.0,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 02:15:00,surplus,3.425692249842049,13.727,3.425692249842049,-1.4903474132937846,0.1700000000000017,88.61,3.0,3.0,1.0,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 02:45:00,surplus,3.6245825754632794,11.013,3.6245825754632794,-3.0448305925179335,0.5099999999999909,86.99,3.0,3.0,1.0,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 03:15:00,surplus,3.886135904592188,6.252,3.886135904592188,-0.8588846116136829,0.4000000000000057,88.5,3.0,3.0,1.0,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 03:30:00,surplus,4.862737751700622,8.636,4.862737751700622,-3.2629578156130123,0.5900000000000034,86.7,3.0,3.0,1.0,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 03:45:00,surplus,4.575655998460113,10.218,4.575655998460113,-3.8939404503895347,0.4300000000000068,85.98,3.0,3.0,1.0,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 04:00:00,surplus,3.749501371593524,9.971,3.749501371593524,4.3112938489760895,0.8900000000000006,88.52,3.0,3.0,1.0,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 04:15:00,surplus,5.152958686586655,9.561,5.0,7.349156249999993,1.4200000000000017,89.8,3.0,3.0,1.0,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 04:45:00,surplus,4.9578497284882035,11.457,4.9578497284882035,12.430971557042488,0.6000000000000085,93.95,3.0,3.0,1.0,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 05:00:00,surplus,6.510284234732569,9.441,5.0,72.7759375,0.2600000000000051,91.95,3.0,3.0,1.0,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 05:15:00,surplus,6.887970550781101,8.352,5.0,79.6884375,0.6800000000000068,97.48,3.0,3.0,1.0,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 05:30:00,surplus,3.950751606772059,3.744,3.950751606772059,65.45481801112236,0.7399999999999949,100.0,3.0,3.0,1.0,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 05:45:00,surplus,4.548707899976561,1.458,5.0,84.87593749999999,0.6700000000000017,101.63,3.0,3.0,1.2,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 06:15:00,surplus,4.976627326812748,-3.886,5.0,-25.107687499999987,0.060000000000002274,118.01,3.0,3.0,1.2,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 11:00:00,surplus,12.044489855850621,-3.195,5.0,27.825312500000017,1.6200000000000045,139.8,3.0,3.0,1.2,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 11:15:00,surplus,13.960251037292103,2.194,5.0,17.200312500000017,0.7700000000000102,131.3,3.0,3.0,1.2,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 11:30:00,surplus,17.035566471359104,-2.471,5.0,13.775312500000005,1.2199999999999989,128.56,3.0,3.0,1.2,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 11:45:00,surplus,18.07398587102979,0.748,5.0,13.825312499999995,1.3199999999999932,128.6,3.0,3.0,1.2,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 12:30:00,surplus,14.160554871730962,6.306,5.0,28.710000000000004,0.6899999999999977,120.5,3.0,3.0,1.2,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 13:00:00,surplus,7.920300215828327,-0.795,5.0,15.090562500000004,3.6500000000000057,124.34,3.0,3.0,1.2,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 13:30:00,surplus,8.228965231263356,5.941,5.0,22.553062500000003,3.1599999999999966,130.31,3.0,3.0,1.2,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 16:00:00,surplus,8.594919844968327,12.252,5.0,-1.0715624999999918,0.5400000000000063,114.5,3.0,3.0,1.2,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 16:15:00,surplus,9.285721668965703,8.856,5.0,11.678437500000012,0.8900000000000006,124.7,3.0,3.0,1.2,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 16:30:00,surplus,9.603672541324856,9.981,5.0,18.815937500000004,4.539999999999992,130.41,3.0,3.0,1.2,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 16:45:00,surplus,10.447537663432145,7.901,5.0,26.953437499999993,2.9199999999999875,136.92,3.0,3.0,1.2,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 17:00:00,surplus,7.65486736267892,11.535,5.0,39.60906250000001,2.640000000000015,135.05,3.0,3.0,1.2,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 17:15:00,surplus,6.992564498269887,0.614,5.0,40.971562499999976,1.8599999999999852,136.14,3.0,3.0,1.2,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 17:45:00,surplus,6.16461871140504,1.991,5.0,51.821562499999985,1.3100000000000023,144.82,3.0,3.0,1.4,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 18:00:00,surplus,3.7329476561400283,0.139,5.0,-13.966250000000002,1.2800000000000011,136.16,3.0,3.0,1.4,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 18:30:00,surplus,3.1453738032041927,-1.982,4.403523324485869,-13.246899040884601,0.5700000000000216,135.3,3.0,3.0,1.4,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 19:00:00,surplus,3.4975321723454327,-0.461,4.896545041283606,-25.227918154888396,1.5699999999999932,136.76,3.0,3.0,1.4,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 19:15:00,surplus,4.682849198794016,-3.755,5.0,-26.535937500000024,1.4299999999999784,136.14,3.0,3.0,1.4,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 19:30:00,surplus,3.907425677458734,-3.215,5.0,-31.348437500000017,0.8799999999999955,132.29,3.0,3.0,1.4,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 19:45:00,surplus,3.429442730540729,-2.641,4.80121982275702,-32.31070902596016,1.5600000000000023,130.45,3.0,3.0,1.4,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 20:30:00,surplus,4.089965401130938,-1.705,5.0,-7.673124999999992,3.579999999999984,135.69,3.0,3.0,1.4,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 20:45:00,surplus,4.040758450922003,4.474,5.0,-19.323124999999983,0.6700000000000017,126.37,3.0,3.0,1.4,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 22:45:00,surplus,3.4123735902133823,2.583,4.777323026298735,-4.314519858126041,1.210000000000008,111.01,3.0,3.0,1.4,1.3,2026-02,2026-02-02/2026-02-08
2026-02-05 23:45:00,surplus,3.762956711243766,23.955,5.0,-4.0537500000000115,0.19999999999998863,98.1,3.0,3.0,1.4,1.3,2026-02,2026-02-02/2026-02-08
2026-02-06 00:45:00,deficit,-3.0304009563812224,2.72,3.9395212432955895,-12.877063843944747,0.4000000000000057,104.64,3.0,3.0,1.3,1.3,2026-02,2026-02-02/2026-02-08
2026-02-06 01:00:00,deficit,-3.7393841077368264,10.373,4.861199340057874,-24.39471358824542,1.6200000000000045,110.6,3.0,3.0,1.3,1.3,2026-02,2026-02-02/2026-02-08
2026-02-07 06:00:00,surplus,5.433893820152295,5.082,5.0,-5.29406250000001,0.5,96.1,3.0,3.0,1.3,1.3,2026-02,2026-02-02/2026-02-08
2026-02-07 06:15:00,surplus,5.613035757456789,1.808,5.0,-0.8065625000000054,0.4099999999999966,99.69,3.0,3.0,1.3,1.3,2026-02,2026-02-02/2026-02-08
2026-02-07 06:30:00,surplus,5.8163499103918594,-0.898,5.0,3.868437500000006,1.1600000000000108,103.43,3.0,3.0,1.3,1.3,2026-02,2026-02-02/2026-02-08
2026-02-07 06:45:00,surplus,5.5765327515325245,-2.919,5.0,9.943437500000005,0.4700000000000131,108.29,3.0,3.0,1.3,1.3,2026-02,2026-02-02/2026-02-08
2026-02-07 09:15:00,surplus,3.255940421752387,12.819,4.232722548278104,36.33607126085265,1.1400000000000006,114.64,3.0,3.0,1.3,1.3,2026-02,2026-02-02/2026-02-08
2026-02-07 10:00:00,surplus,4.840427321832782,14.954,5.0,39.67343749999999,2.0799999999999983,110.88,3.0,3.0,1.3,1.3,2026-02,2026-02-02/2026-02-08
2026-02-07 13:00:00,surplus,3.9504706071035534,3.389,5.0,39.748437499999994,2.3999999999999915,95.85,3.0,3.0,1.3,1.3,2026-02,2026-02-02/2026-02-08
2026-02-07 13:45:00,surplus,3.419779051166815,7.293,4.445712766516859,32.64125670291051,1.9200000000000017,93.42,3.0,3.0,1.3,1.3,2026-02,2026-02-02/2026-02-08
2026-02-07 14:00:00,surplus,4.258200970546441,19.527,5.0,26.41403125,2.1400000000000006,95.76,3.0,3.0,1.3,1.3,2026-02,2026-02-02/2026-02-08
2026-02-07 14:15:00,surplus,5.692000372529456,18.949,5.0,25.02653125,1.6200000000000045,94.65,3.0,3.0,1.3,1.3,2026-02,2026-02-02/2026-02-08
2026-02-07 16:15:00,surplus,4.2073898981823765,-0.505,5.0,34.760406249999996,0.09000000000000341,126.36,3.0,3.0,1.3,1.3,2026-02,2026-02-02/2026-02-08
2026-02-07 16:30:00,surplus,4.8392728600956305,8.157,5.0,37.54790625,1.4399999999999977,128.59,3.0,3.0,1.3,1.3,2026-02,2026-02-02/2026-02-08
2026-02-07 17:15:00,surplus,4.854567178355565,6.657,5.0,26.720000000000006,0.12000000000000455,128.21,3.0,3.0,1.3,1.3,2026-02,2026-02-02/2026-02-08
