feature_1,feature_2,correlation,keep,drop,keep_importance,drop_importance
proxy_rmean4,reg_rmean4,-1.0,reg_rmean4,proxy_rmean4,-155.00387210797197,-234.40102367035033
proxy_rmean8,reg_rmean8,-1.0,reg_rmean8,proxy_rmean8,196.45666274561626,-283.9277191341527
proxy_rstd8,reg_rstd8,1.0,proxy_rstd8,reg_rstd8,63.39347297384374,38.52331206830386
proxy_momentum,reg_momentum,-1.0,proxy_momentum,reg_momentum,8.41389991945689,-29.29771101465558
da_price,da_price_qh,0.9953284132301531,da_price_qh,da_price,3830.4542839263945,1980.706694045473
proxy_rstd4,proxy_range4,0.9934054209615543,proxy_range4,proxy_rstd4,9.531464545558265,7.355235091421855
load_rmean4,load_rmean8,0.9915162166157406,load_rmean4,load_rmean8,27.266553401470446,-42.08059574506915
temp,temp_national,0.9891509972330823,temp,temp_national,34.855696904316936,27.04900319627195
proxy_rmean4,proxy_ewm4,0.9850302400226832,proxy_rmean4,proxy_ewm4,-234.40102367035033,-584.6281367669795
proxy_ewm4,reg_rmean4,-0.9850302400226832,reg_rmean4,proxy_ewm4,-155.00387210797197,-584.6281367669795
temp_national,temp_bratislava,0.9823716122781322,temp_bratislava,temp_national,81.18093078279817,27.04900319627195
xborder_rmean4,xborder_rmean8,0.9819821160895953,xborder_rmean4,xborder_rmean8,51.42202512205913,-2.9171286748754937
prod_rmean4,prod_rmean8,0.9794887423886549,prod_rmean8,prod_rmean4,227.88006204861122,132.90392360820368
solar_surprise_lag,solar_surprise_rmean4,0.9785205126478091,solar_surprise_lag,solar_surprise_rmean4,-227.31587699768207,-343.54673424829014
proxy_range8,reg_rstd8,0.978434549621872,reg_rstd8,proxy_range8,38.52331206830386,-33.991613207526825
proxy_rstd8,proxy_range8,0.9784345496218718,proxy_rstd8,proxy_range8,63.39347297384374,-33.991613207526825
proxy_lag9,proxy_dev_from_hour,0.977463345842502,proxy_lag9,proxy_dev_from_hour,157.01351806794446,-312.96310570040697
load_rmean8,load_rmean16,0.9728149758493827,load_rmean16,load_rmean8,52.931812394928784,-42.08059574506915
damas_fe,damas_fe_rmean4,0.9705373055112723,damas_fe_rmean4,damas_fe,224.15100613070643,-656.7574087263893
nowcast_pred_error,nowcast_pred_rmean4,0.959059574773921,nowcast_pred_rmean4,nowcast_pred_error,90.35859252120535,-353.6756718733901
temp,temp_bratislava,0.9584372609084062,temp_bratislava,temp,81.18093078279817,34.855696904316936
