n_features,n_removed,removed_features,total_pnl,sharpe,n_trades,win_rate,max_dd,pnl_per_day
123,0,,24644.67671282748,8.087985573730423,3340,0.542814371257485,-1410.0568183582718,385.0730736379294
103,20,proxy_rmean4; solar_surprise_lag; idm_volume_lag; nowcast_h3; imb_price_lag...,23720.617409131995,7.56103068279874,3346,0.531679617453676,-1612.48871084563,370.6346470176874
88,35,nowcast_pred_error_abs; damas_fe_abs; pressure_change6h; da_price_qh_diff_prev; load_rmean8...,25705.249911842944,8.364554706935026,3296,0.5361043689320388,-1340.1258676490052,401.644529872546
78,45,load_momentum; reg_momentum; temp_national_spread; proxy_abs_rmean4; prod_vol...,26583.491172333517,8.547802932647143,3329,0.5373986182036647,-1419.2689499048017,415.3670495677112
68,55,proxy_lag24; proxy_yesterday_2; proxy_lag16; xborder_rmean8; proxy_lag12...,25456.8398458677,8.248224378621423,3295,0.538391502276176,-1521.3870348519022,397.7631225916828
63,60,proxy_lag23; da_price_qh_rank; month_cos; month_sin; proxy_lag13...,23158.500847328884,7.471532157802417,3342,0.5338120885697187,-1380.9628623750052,361.8515757395138
58,65,proxy_lag19; proxy_lag21; proxy_lag20; load_ramp4; proxy_rstd4...,25774.33890107119,8.138230240798755,3291,0.5347918565785476,-1603.2014525906632,402.72404532923736
53,70,proxy_momentum; load_yesterday; proxy_range4; proxy_acceleration; proxy_rmean32...,24349.6978990958,7.701365354192903,3316,0.534680337756333,-1387.957650110017,380.4640296733719
48,75,proxy_lag22; is_peak; temp_national; load_rmean4; temp_change6h...,24705.666554419095,8.012231400482658,3309,0.5385312783318223,-1354.2171811613503,386.02603991279835
43,80,proxy_lag11; temp; proxy_lag10; proxy_abs_rmean8; reg_rstd8...,25358.023397761455,8.212217172867152,3295,0.5414264036418817,-1294.8981744613443,396.21911559002274
40,83,proxy_abs_rmean8; reg_rstd8; xborder_momentum; proxy_pos_ratio_4; proxy_lag18...,25647.77002362407,8.315643661009576,3284,0.5380633373934226,-1121.170682999336,400.7464066191261
37,86,proxy_pos_ratio_4; proxy_lag18; temp_forecast_da; nowcast_momentum_h4h5; xborder_rmean4...,24309.625221404982,7.824106964620601,3320,0.5340361445783133,-1454.057923480559,379.83789408445284
34,89,nowcast_momentum_h4h5; xborder_rmean4; load_rmean16; proxy_pos_ratio_8; temp_deviation...,24355.963378904326,7.781859562808576,3298,0.5391146149181322,-1455.8006181714584,380.5619277953801
32,91,load_rmean16; proxy_pos_ratio_8; temp_deviation; proxy_rstd8; cloudcover...,23110.761389056548,7.311265684407269,3299,0.5374355865413761,-1272.951628535543,361.10564670400856
30,93,temp_deviation; proxy_rstd8; cloudcover; xborder_deviation; xborder_vol...,22577.696133394526,7.065946413508894,3321,0.5335742246311352,-1470.984922670842,352.77650208428946
