feature,pnl_drop_mean,pnl_drop_std,pnl_drop_pct,is_positive,rank,cumulative_pct
qh_in_hour,9925.768265386789,827.6462116658852,38.61118725059337,True,1,38.61118725059337
nowcast_pred_error,6852.282675779444,1398.9717489570423,26.65534419246358,True,2,65.26653144305695
temp_national_change6h,3038.2358744711833,727.6721817162753,11.818721848439788,True,3,77.08525329149674
radiation_national,1599.589148100041,444.2243546599254,6.222393518563679,True,4,83.30764681006042
hour_cos,1343.6712229018044,370.1595987211685,5.226874112265369,True,5,88.53452092232578
proxy_lag20,1149.4273944290721,313.78002622000275,4.471266623464044,True,6,93.00578754578983
hour_sin,1135.3969295926613,287.54995827014716,4.416688187767468,True,7,97.42247573355729
idm_vwap_lag,779.4060010608125,461.68930979331003,3.031885315733039,True,8,100.45436104929033
da_demand,736.8560691608039,361.0556318449555,2.8663663005631634,True,9,103.32072734985348
load_yesterday,573.5949377599412,512.5427735825065,2.2312813432360046,True,10,105.55200869308949
temp_change6h,566.0599665588128,700.0542024113827,2.201970344208438,True,11,107.75397903729792
prod_rmean8,523.295520228583,395.0781543417883,2.0356168690137286,True,12,109.78959590631165
spread_da_imb_lag,456.332971623553,343.9012651408393,1.775132901038982,True,13,111.56472880735063
proxy_ewm4,423.87486395214034,318.37667914012275,1.6488710299583158,True,14,113.21359983730895
nowcast_pred_rmean4,381.2845744893577,418.185572223004,1.4831950240778387,True,15,114.69679486138679
load_rmean8,351.62850529783464,193.0130808521356,1.367833068201486,True,16,116.06462792958828
wind_national,338.7957515304246,543.6611295117486,1.3179137223729023,True,17,117.38254165196119
prod_momentum,303.4228066825875,134.0218847827333,1.1803131497414066,True,18,118.5628548017026
proxy_range8,298.5998182469517,201.91700175653895,1.161551749654607,True,19,119.7244065513572
damas_fe_abs,289.95120212371,337.84923769354714,1.1279086776359422,True,20,120.85231522899315
dow_sin,267.6304898857714,328.4930772215106,1.0410812223959245,True,21,121.89339645138908
da_net_import,251.5110234884989,405.66431078652766,0.9783765814246916,True,22,122.87177303281378
reg_rmean4,245.36740254124197,165.0005437309166,0.9544779276934319,True,23,123.82625096050721
temp_bratislava,237.93823154500825,315.5235223267369,0.9255784909160734,True,24,124.75182945142328
proxy_lag22,203.93109082934424,263.2811603689253,0.7932908892995133,True,25,125.54512034072279
solar_surprise_lag,193.52232522740414,258.275605547006,0.7528008449061202,True,26,126.29792118562891
proxy_lag9,183.43947938021083,134.46468051836,0.7135786266741617,True,27,127.01149981230307
is_peak,169.90333968815793,359.23346303823115,0.6609231132341976,True,28,127.67242292553728
damas_forecast_load,166.1872741311734,409.60684519017747,0.6464676374241729,True,29,128.31889056296146
prod_vol,130.91353770217285,194.0021138967304,0.5092529850291883,True,30,128.82814354799063
proxy_lag11,109.25053125793166,143.85337822721058,0.42498400192727287,True,31,129.2531275499179
proxy_rstd8,108.54962115745184,177.3949330462372,0.42225746525909047,True,32,129.675385015177
proxy_zero_cross4,100.49465309588595,77.72435666727176,0.3909236811320489,True,33,130.06630869630905
temp_deviation,92.44164572589071,385.7748598233619,0.35959752408508316,True,34,130.42590622039413
proxy_rmin4,89.85927502655723,289.89611719091425,0.3495521154117703,True,35,130.7754583358059
proxy_range4,87.92710300795406,70.82931080526977,0.3420359762459183,True,36,131.1174943120518
proxy_rmean16,84.37598095721042,296.977970831187,0.328222129822653,True,37,131.44571644187445
proxy_lag15,82.42051383254292,93.88817361619003,0.32061537281461255,True,38,131.76633181468907
temp,75.27352193773986,253.43810125089846,0.2928136112833644,True,39,132.05914542597245
proxy_lag17,74.82308574686867,56.52475699880514,0.29106141682897435,True,40,132.3502068428014
solar_surprise_rmean4,73.56772283875871,143.511214413486,0.28617806160482395,True,41,132.63638490440624
proxy_pos_ratio_4,69.24219971604543,59.41710155085355,0.26935179901412204,True,42,132.90573670342036
xborder_deviation,61.233293117086944,246.41323513030457,0.2381971937385526,True,43,133.14393389715892
proxy_lag21,40.27314052215515,102.75547335100057,0.15666230847772034,True,44,133.30059620563662
