signal,correlation,p_value,r_squared,std
Load surprise,-0.34158786040961275,3.5637120936945835e-105,0.11668226637921708,85.39394060727454
Solar surprise,0.1642379382518355,1.5311940590315132e-24,0.02697410036121373,36.078733911973295
Net surprise,0.37180745237620555,9.943584999633777e-126,0.13824078164248435,94.39033594440535
Combined (regression),0.3718467857439115,,0.13827003206807842,
Partial: Solar|Load,0.1568487949424845,,0.02460154447490955,
Partial: Load|Solar,-0.3387087133803798,,0.11472359251979226,
Load 2024,-0.30514861541431887,,0.09311567748927588,
Solar 2024,0.12807326040295647,,0.016402760030243498,
Combined 2024,0.3379891476516349,,0.11423666393027865,
Load 2025,-0.38619737190225223,,0.1491484100642065,
Solar 2025,0.23845209189871913,,0.0568594001308752,
Combined 2025,0.4236032922597166,,0.17943974921327088,
