hour,r2_load_only,r2_load_idm,r2_gain,n
1,0.02058173016117315,0.02319924110596472,0.002617510944791568,396
2,0.14236355215116525,0.1448944951896043,0.0025309430384390375,389
3,0.12004820916115844,0.12124646469342604,0.0011982555322676003,389
4,0.19213835690918735,0.19246481613110755,0.0003264592219202056,389
5,0.2458892842080035,0.24826117606512121,0.002371891857117725,389
6,0.17881629540446486,0.185246740430694,0.006430445026229137,389
7,0.2289275219145852,0.23120037635563606,0.0022728544410508533,389
8,0.20598791738155497,0.2060040012683363,1.6083886781315115e-05,389
9,0.1825066312247806,0.18570309937067464,0.003196468145894027,389
10,0.24006091141262398,0.2423642077063406,0.002303296293716617,388
11,0.24161514980275212,0.2643364976043404,0.0227213478015883,389
12,0.257106625890981,0.2775694130875278,0.020462787196546817,389
13,0.2562069215788366,0.2694700598242947,0.013263138245458106,389
14,0.2475359907719964,0.25487318863401753,0.007337197862021139,389
15,0.1888649510842214,0.18992473577555646,0.0010597846913350528,389
16,0.18541784732622124,0.2074347604531348,0.022016913126913562,389
17,0.2253541809913019,0.2335799789946279,0.008225798003326013,389
18,0.14045019638480982,0.16823091229607945,0.027780715911269627,389
19,0.14273815425500314,0.16493589825795485,0.022197744002951714,389
20,0.011039683704412662,0.011258103197715918,0.00021841949330325683,389
21,0.06610501565774918,0.07082152370274064,0.004716508044991463,389
22,0.0749015304319236,0.09105761543083146,0.01615608499890786,389
23,0.09603946290986742,0.09606459807421985,2.5135164352430017e-05,389
