model,n_obs,n_features,r2,r,mae,rmse,intercept,coef_load_surprise_mw,coef_idm_net_mwh,coef_idm_buy_mwh,coef_idm_sell_mwh,coef_uncorrected_surprise,coef_idm_total_mwh,coef_idm_order_imbalance_mwh,coef_net_capacity,coef_congested_in_count,coef_surprise_x_congestion,coef_ceps_in,coef_ceps_out,coef_apg_in,coef_apg_out,coef_mavir_in,coef_mavir_out
M1: Load Surprise Only,9341,1,0.15075414384984198,0.38827070949254205,26.61077347688135,40.910031767721065,7.608879886989811,-0.19623932325787743,,,,,,,,,,,,,,,
M2: + IDM Net Volume,9341,2,0.1551121428270844,0.3938427894821542,26.568734088474937,40.804929583542574,8.058344005856286,-0.20212100611184483,0.038688924651092575,,,,,,,,,,,,,,
M3: + IDM Buy/Sell Split,9341,3,0.15642590308046844,0.39550714668697007,26.50012958978967,40.773192383261865,5.937781664478237,-0.2020757803005315,,0.055239924815574055,-0.026427977374209235,,,,,,,,,,,,
M4: Uncorrected Surprise,9341,1,0.10194965603727368,0.3192955621947691,27.471929176495195,42.069121233671154,9.713069573003619,,,,,-0.1334297644780409,,,,,,,,,,,
M5: Load + IDM + Orders,9341,4,0.16009818404818676,0.4001227112376736,26.476201539539804,40.684347830106994,6.059601513232183,-0.2006339104821931,0.042088052773944604,,,,0.014105186933692932,-0.00016653439274707914,,,,,,,,,
M1h: Load Surprise (H2H period),1424,1,0.12875582511094585,0.35882561936258933,27.990040888307735,59.697128106702365,2.073392115211279,-0.2640670198320654,,,,,,,,,,,,,,,
M2h: Load + IDM (H2H period),1424,2,0.13274434541651037,0.3643409741114913,27.855494224171824,59.56032584922134,2.2703629295218546,-0.2726683420109635,0.07004393319784595,,,,,,,,,,,,,,
M6: + H2H Net Capacity,1424,3,0.1336530589506285,0.36558591186016526,27.91404920734666,59.52911391132188,1.7087454994445537,-0.2711934071147712,0.07352815265164248,,,,,,0.0014858137942516808,,,,,,,,
M7: + Congestion Interaction,1424,5,0.13716981121617144,0.3703644302793823,27.8362677395849,59.40816812116887,4.518462357336157,-0.3200399930652911,0.07817175183886858,,,,,,0.000972673138467746,-1.9109226974680782,0.035294283698657995,,,,,,
M8: Full (borders + IDM),1394,10,0.1548533086746018,0.3935140514322224,27.846004582751323,59.32160349907363,2.4073922454617565,-0.2664166412917583,0.04309266207498777,,,,,,-0.005972530607697584,-3.4412503986202103,,-0.0027187355229652795,-0.010067781115358896,0.009333504509301892,-0.03202905139464189,0.011825640015727603,0.013847447634046136
