,imbalance_mwh,load_surprise_mw,net_xborder_import,structural_residual,total_xborder_import_used,total_xborder_export_used,CEPS_net_import,APG_net_import,TTG_net_import,50HzT_net_import,MAVIR_net_import,PSE_net_import
imbalance_mwh,1.0,-0.3750570285921606,0.0030144123971233613,-0.025064423185188527,-0.013438258291629188,-0.014122572858755811,0.05698754858205985,0.07189540365969874,-0.039287214287819956,-0.038834678685723496,-0.04482197444631435,0.019211322970371855
load_surprise_mw,-0.3750570285921606,1.0,-0.00819422022044275,0.06750458667998802,0.007662527755102548,0.014545418780010833,-0.02919975119557491,-0.10936489842201359,0.04143078003133821,0.04114484869772609,0.02215372767719717,0.0050609834989201186
net_xborder_import,0.0030144123971233613,-0.00819422022044275,1.0,-0.9982386146702735,0.4156324790313894,-0.6601512443138164,0.6850861387907694,0.5373766126284463,0.7248343651730436,0.7235070818475571,0.4926008361874868,0.07941577725526977
structural_residual,-0.025064423185188527,0.06750458667998802,-0.9982386146702735,1.0,-0.41382686214545805,0.6595178724086608,-0.6848879021147727,-0.542510888210564,-0.7208353271149753,-0.7195292715768551,-0.4909598452194914,-0.07967960294557348
total_xborder_import_used,-0.013438258291629188,0.007662527755102548,0.4156324790313894,-0.41382686214545805,1.0,0.40879941830030847,0.08955451071132803,0.47804833476377945,-0.10131263350370842,-0.09600815874557408,0.6103422853519888,0.15625327503863595
total_xborder_export_used,-0.014122572858755811,0.014545418780010833,-0.6601512443138164,0.6595178724086608,0.40879941830030847,1.0,-0.6134567098524889,-0.1444095439002909,-0.810966660783199,-0.8052541936062926,0.009772685945323076,0.049355215280440776
CEPS_net_import,0.05698754858205985,-0.02919975119557491,0.6850861387907694,-0.6848879021147727,0.08955451071132803,-0.6134567098524889,1.0,0.13277005137346876,0.5638279646120535,0.562836970069752,0.10660509328393149,-0.10461349197691672
APG_net_import,0.07189540365969874,-0.10936489842201359,0.5373766126284463,-0.542510888210564,0.47804833476377945,-0.1444095439002909,0.13277005137346876,1.0,0.15972615347972896,0.15810637303553923,0.21261776773583366,0.10052642302514925
TTG_net_import,-0.039287214287819956,0.04143078003133821,0.7248343651730436,-0.7208353271149753,-0.10131263350370842,-0.810966660783199,0.5638279646120535,0.15972615347972896,1.0,0.9992863171771061,-0.017259981301479814,-0.15809420061962828
50HzT_net_import,-0.038834678685723496,0.04114484869772609,0.7235070818475571,-0.7195292715768551,-0.09600815874557408,-0.8052541936062926,0.562836970069752,0.15810637303553923,0.9992863171771061,1.0,-0.0150187138471273,-0.16476970839292895
MAVIR_net_import,-0.04482197444631435,0.02215372767719717,0.4926008361874868,-0.4909598452194914,0.6103422853519888,0.009772685945323076,0.10660509328393149,0.21261776773583366,-0.017259981301479814,-0.0150187138471273,1.0,-0.12748499044943173
PSE_net_import,0.019211322970371855,0.0050609834989201186,0.07941577725526977,-0.07967960294557348,0.15625327503863595,0.049355215280440776,-0.10461349197691672,0.10052642302514925,-0.15809420061962828,-0.16476970839292895,-0.12748499044943173,1.0
