hour,r2_load,r2_load_xborder,r2_residual,gain,n
1,0.2890677815418885,0.29672853896307394,0.024429966886739263,0.007660757421185438,67
2,0.43483632719719323,0.43488738994074294,0.008204752531794646,5.106274354971241e-05,67
3,0.5159183734107842,0.5233933863324148,0.00037511263588485555,0.007475012921630664,67
4,0.5206645608775875,0.5221881885458031,3.54917559076684e-05,0.0015236276682155658,67
5,0.4139445088764805,0.4146005464928497,0.0016833390044259655,0.0006560376163692316,67
6,0.3709549708214235,0.37248926698263884,0.009458948199091766,0.001534296161215365,67
7,0.3087602408673634,0.31589453958595026,0.020951152937671136,0.00713429871858684,67
8,0.14605801160929266,0.1976056306911954,0.0730380611385063,0.05154761908190275,67
9,0.16421744987495102,0.2061074237233348,0.12937785425055315,0.04188997384838378,67
10,0.1315394148182476,0.1317580384728807,0.02011933144752276,0.00021862365463309885,67
11,0.22418611828046753,0.2291204431856293,0.003179284072155064,0.004934324905161769,67
12,0.28664631886529646,0.2968854413139502,0.011519736777663825,0.01023912244865377,67
13,0.3995758502643231,0.40054623229737707,0.008210309072380961,0.0009703820330539958,67
14,0.4652181298407865,0.469011823096925,0.007627905261155532,0.0037936932561385417,67
15,0.4302151469083981,0.4331024254372473,0.0033807343759941766,0.00288727852884918,67
16,0.24418429838442002,0.25577833223716817,0.01397501623205688,0.011594033852748153,67
17,0.2737949421580066,0.27827779506815,0.001026471069392909,0.004482852910143387,67
18,0.32436253953396454,0.3246301684235907,0.035155688981991395,0.00026762888962617026,67
19,0.26402290227158287,0.27935542688119475,0.021523896585854962,0.015332524609611875,67
20,8.748572894456963e-06,0.0014717726585138369,0.0014585365628122515,0.00146302408561938,67
21,0.10189845747748738,0.1078348982830919,0.0055375011738764135,0.005936440805604515,66
22,0.2269239803456229,0.23187791535116953,2.8498880478844413e-06,0.004953935005546639,66
23,0.22081016399126907,0.22853253346288738,0.00964808486310842,0.007722369471618307,66
