horizon,threshold,prediction,accuracy,n_samples
H+1,> +50 MW,Negative imb,0.5904503105590062,2576
H+1,< -50 MW,Positive imb,0.7290948950829941,3193
H+1,> +100 MW,Negative imb,0.6826815642458101,895
H+1,< -100 MW,Positive imb,0.79,1200
H+1,> +150 MW,Negative imb,0.7785467128027682,289
H+1,< -150 MW,Positive imb,0.8,320
H+1,> +200 MW,Negative imb,0.8904109589041096,73
H+1,< -200 MW,Positive imb,0.8507462686567164,67
H+2,> +50 MW,Negative imb,0.5844785772029103,2474
H+2,< -50 MW,Positive imb,0.7185185185185186,2700
H+2,> +100 MW,Negative imb,0.6768837803320562,783
H+2,< -100 MW,Positive imb,0.7704326923076923,832
H+2,> +150 MW,Negative imb,0.7771428571428571,175
H+2,< -150 MW,Positive imb,0.7807486631016043,187
H+2,> +200 MW,Negative imb,0.8222222222222222,45
H+2,< -200 MW,Positive imb,0.8125,32
H+3,> +50 MW,Negative imb,0.5689582454660481,2371
H+3,< -50 MW,Positive imb,0.7088948787061995,2226
H+3,> +100 MW,Negative imb,0.6875,608
H+3,< -100 MW,Positive imb,0.7717171717171717,495
H+3,> +150 MW,Negative imb,0.7876106194690266,113
H+3,< -150 MW,Positive imb,0.775,80
H+3,> +200 MW,Negative imb,0.90625,32
