model_id,model_type,feature_subset,n_features,mae,dir_acc
lgb_minimal,lgb,minimal,8,4.909295282189457,77.2232993340639
lgb_full,lgb,full,35,4.924505173346708,77.234538761977
xgb_full,xgb,full,35,4.935037923201782,77.35817246902133
rf_full,rf,full,35,4.9357422331166205,77.31040490039057
lgb_time,lgb,time,11,4.936657300780773,77.03503891651916
rf_minimal,rf,minimal,8,4.941246872211056,77.12776419680239
rf_time,rf,time,11,4.942043265306248,77.12776419680239
xgb_minimal,xgb,minimal,8,4.9427091902197375,77.1530529096069
xgb_time,xgb,time,11,4.954062038075653,77.10247548399786
rf_historical,rf,historical,14,4.970503697627295,76.95917277810558
lgb_historical,lgb,historical,14,4.97279334515534,77.08561634212818
rf_proxy,rf,proxy,16,4.973017192864794,77.21205990615077
xgb_proxy,xgb,proxy,16,4.9791370046434205,76.95355306414903
xgb_historical,xgb,historical,14,4.989347006005099,77.05189805838883
lgb_proxy,lgb,proxy,16,4.9932464904750695,76.80182078732193
ridge_proxy,ridge,proxy,16,5.046319622560283,76.973222062997
ridge_minimal,ridge,minimal,8,5.048559039962539,76.91421506645312
ridge_historical,ridge,historical,14,5.0506640274354035,77.1671021944983
ridge_full,ridge,full,35,5.0580112038259335,76.9310742083228
ridge_time,ridge,time,11,5.060580442464758,76.91140520947484
rf_residual,rf,residual,12,5.393760676384442,75.59077242968333
lgb_residual,lgb,residual,12,5.403168564112293,75.59920200061818
ridge_residual,ridge,residual,12,5.417171585324302,75.48680772148698
xgb_residual,xgb,residual,12,5.421632870601782,75.63853999831409
