model1,model2,error_corr
xgb_minimal,ridge_residual,0.8666958523224702
rf_proxy,xgb_residual,0.8709820782727329
xgb_minimal,xgb_residual,0.8746600681513105
rf_historical,xgb_residual,0.8748714885075942
xgb_historical,xgb_residual,0.8751525357304794
rf_minimal,xgb_residual,0.8777112875953331
xgb_minimal,lgb_residual,0.8780742908261058
rf_proxy,lgb_residual,0.8781108961275013
xgb_full,ridge_residual,0.8786367824397397
xgb_minimal,rf_residual,0.8789920344755326
lgb_historical,xgb_residual,0.8794404121467948
lgb_proxy,xgb_residual,0.8796808976089059
xgb_historical,ridge_residual,0.8802560497237168
xgb_historical,lgb_residual,0.8803268057516622
lgb_minimal,ridge_residual,0.8804558439577265
rf_proxy,ridge_residual,0.8806971066856009
lgb_minimal,xgb_residual,0.8823870792807046
rf_minimal,ridge_residual,0.8823892936767066
ridge_historical,xgb_residual,0.8825019289877758
rf_historical,lgb_residual,0.8825422431131111
rf_time,xgb_residual,0.883019114121884
xgb_proxy,xgb_residual,0.8831990775762518
rf_historical,ridge_residual,0.883233898961301
xgb_proxy,ridge_residual,0.8841658257688878
xgb_time,ridge_residual,0.8842179507559907
rf_full,xgb_residual,0.8843634308571736
ridge_proxy,xgb_residual,0.884523496147201
lgb_proxy,ridge_residual,0.8850262396086974
rf_minimal,lgb_residual,0.8852465834257913
rf_time,ridge_residual,0.8863070093844766
xgb_proxy,lgb_residual,0.8863713417352095
lgb_proxy,lgb_residual,0.8868195249253715
xgb_historical,rf_residual,0.8871402967889356
ridge_minimal,xgb_residual,0.8874115169943442
lgb_historical,ridge_residual,0.8875125439382379
ridge_full,xgb_residual,0.8875548881223005
lgb_historical,lgb_residual,0.8875654519754945
rf_proxy,rf_residual,0.8879323722480367
rf_full,ridge_residual,0.8887900676881608
xgb_full,rf_residual,0.8888106889456914
lgb_time,ridge_residual,0.889037836273464
lgb_minimal,lgb_residual,0.8899763850849054
lgb_full,ridge_residual,0.8901367881391503
ridge_historical,lgb_residual,0.8901913742060616
rf_time,lgb_residual,0.8903287538403957
xgb_proxy,rf_residual,0.8915072205909168
rf_historical,rf_residual,0.8915662068505329
