trial,cv_mae,state,datetime,duration_sec,param_n_estimators,param_learning_rate,param_max_depth,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,param_max_error_lag,param_use_roll_3h,param_use_roll_6h,param_use_roll_12h,param_use_roll_24h,param_use_roll_48h,param_use_roll_median,param_use_error_trends,param_use_momentum,param_momentum_w1,param_momentum_w2,param_use_load_volatility,param_use_load_trend,param_use_load_range,param_reg_lag_depth,param_use_reg_std,param_use_reg_range,param_use_seasonal_error,param_use_hour_cyclical,param_use_dow_cyclical,param_use_is_weekend,param_use_same_hour_yesterday,param_use_same_hour_2d,param_use_same_hour_week,param_use_error_sign,param_use_forecast_level,param_use_forecast_diff,param_finetune_weight,param_finetune_days,best_so_far,is_best,horizon
0,40.462686830846515,COMPLETE,2026-02-02T14:42:31.698324,0.593406,157,0.04065056060747227,5,39,33,0.9295687454742989,0.7996541278588154,0.03490639533400613,0.00013687845379289028,19,False,True,True,True,False,False,False,False,0.33300001987886213,0.36912957399446034,True,False,False,4,False,True,False,False,True,False,False,True,False,False,False,True,4.780241249271592,66,40.462686830846515,True,1
1,39.8105549416561,COMPLETE,2026-02-02T14:42:32.576070,0.876668,199,0.06247968981906254,6,73,31,0.5722391892114144,0.6423740001882817,0.002870431583159005,0.0013922588192962744,17,False,True,False,False,False,False,False,True,0.5278497595772236,0.10152498540976422,False,False,True,2,True,False,False,False,True,True,False,False,True,False,False,True,5.5105934762966955,66,39.8105549416561,True,1
2,41.02767590034397,COMPLETE,2026-02-02T14:42:33.599572,1.022621,473,0.012753142323962302,4,47,78,0.8504878447166522,0.6482113208400018,0.00036932680346363716,0.00019215269690609003,19,True,False,False,True,True,True,True,True,0.38579912813876577,0.1283970682643309,True,True,False,3,True,False,False,True,False,False,True,False,True,False,True,False,5.6337986862008504,54,39.8105549416561,False,1
3,40.70241069028629,COMPLETE,2026-02-02T14:42:35.595760,1.995447,395,0.016277248973210385,11,48,45,0.8517695730657959,0.5029766055507631,0.06673601724146089,0.0005649341592282322,21,False,False,True,False,True,True,True,True,0.6968183257636559,0.30777291924562755,True,False,False,3,False,False,False,True,False,True,False,False,False,True,False,False,5.068049427603766,71,39.8105549416561,False,1
4,42.213768641731754,COMPLETE,2026-02-02T14:42:37.391807,1.795203,232,0.011066575589536613,12,65,11,0.786327188774,0.8218064681592916,0.22835734419807144,0.012470725646955444,14,False,False,True,False,True,False,False,False,0.40850581261452873,0.21789199584754762,False,True,True,4,False,True,False,True,True,True,False,False,True,False,False,False,3.2988048504827487,53,39.8105549416561,False,1
5,39.673796246062814,COMPLETE,2026-02-02T14:42:40.104754,2.712031,548,0.09628864371733831,7,77,39,0.8816496802364278,0.8785349186549078,0.0028001739828667107,0.00015997291170899043,24,False,True,False,False,True,False,True,True,0.365654877639605,0.1430737050575841,False,True,True,2,True,False,True,True,True,True,True,False,False,False,True,True,6.73285441858417,72,39.673796246062814,True,1
6,47.26265321993843,COMPLETE,2026-02-02T14:42:40.946911,0.841271,108,0.012009091621895595,4,33,22,0.8467795946795782,0.8019822788711819,0.00014098359309585906,0.04461704419493876,23,True,False,True,False,False,False,True,True,0.5276440973259282,0.3694467513562192,True,True,False,1,True,False,True,False,True,False,False,True,True,True,False,False,6.0123057582610135,139,39.673796246062814,False,1
7,39.96631755044796,COMPLETE,2026-02-02T14:42:43.991378,3.04366,260,0.0854832241126995,12,66,36,0.9799320973040724,0.8836715453395669,0.0448252094841642,0.15536191295856233,21,True,True,False,True,True,True,True,False,0.6444517207042078,0.3878069367365621,True,True,False,3,False,True,True,False,False,False,False,True,True,True,False,True,7.862283835914592,123,39.673796246062814,False,1
8,40.271350569254245,COMPLETE,2026-02-02T14:42:45.160896,1.168363,463,0.024145214205950387,4,58,13,0.7881405834906126,0.869454739350745,0.018140031323896244,0.024140238345728877,11,False,True,True,False,True,True,True,False,0.514355539500596,0.2080191952216428,False,True,False,3,False,True,False,False,True,False,True,False,True,True,False,True,2.9571132343767847,113,39.673796246062814,False,1
9,44.65463945848795,COMPLETE,2026-02-02T14:42:48.644311,3.482683,562,0.0991808514251797,8,66,12,0.9923558248391504,0.9948635116076453,0.0013288200921274258,0.15264283426817096,20,True,True,False,True,False,True,False,False,0.583241917181337,0.11365705590123955,False,False,False,2,True,True,False,False,False,True,False,False,False,True,True,False,1.7913694696180884,123,39.673796246062814,False,1
