trial,cv_mae,state,datetime,duration_sec,param_n_estimators,param_learning_rate,param_max_depth,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,param_max_error_lag,param_use_roll_3h,param_use_roll_6h,param_use_roll_12h,param_use_roll_24h,param_use_roll_48h,param_use_roll_median,param_use_error_trends,param_use_momentum,param_momentum_w1,param_momentum_w2,param_use_load_volatility,param_use_load_trend,param_use_load_range,param_reg_lag_depth,param_use_reg_std,param_use_reg_range,param_use_seasonal_error,param_use_hour_cyclical,param_use_dow_cyclical,param_use_is_weekend,param_use_same_hour_yesterday,param_use_same_hour_2d,param_use_same_hour_week,param_use_error_sign,param_use_forecast_level,param_use_forecast_diff,param_finetune_weight,param_finetune_days,best_so_far,is_best
0,56.88014781129141,COMPLETE,2026-02-02T14:53:05.786979,1.506015,595,0.0354441631411375,6,26,41,0.7364039848777426,0.42911320054386753,0.0005854053445902348,0.0003506298737348758,17,True,True,True,True,True,True,False,False,0.6275493710261506,0.122362235548464,True,True,True,4,False,True,False,False,True,True,False,False,False,True,False,True,1.449206071762647,92,56.88014781129141,True
1,57.71454361323787,COMPLETE,2026-02-02T14:53:07.455445,1.667724,203,0.02101793060158223,9,78,43,0.5938728640754647,0.5778324644089252,0.00045578196407440125,0.00027881734090227375,15,True,False,False,True,True,False,False,False,0.590699358468576,0.1757896737042487,True,False,True,4,True,True,True,False,False,True,True,True,False,False,True,False,1.4925889756979815,81,56.88014781129141,False
2,56.30479688456047,COMPLETE,2026-02-02T14:53:08.990939,1.534794,173,0.024027572586740088,10,90,75,0.5567561784060404,0.7207674112613962,0.008777149567892759,3.4164509582739506,17,True,True,True,False,False,False,True,False,0.3606842601376121,0.28858584639597507,True,False,False,2,False,False,True,True,True,True,False,True,False,True,False,False,4.742160832604844,82,56.30479688456047,True
3,57.965870523724625,COMPLETE,2026-02-02T14:53:10.065320,1.073713,116,0.08070483262465372,12,53,64,0.638600441674307,0.9584907235665979,0.0001814049554077531,0.00015073787609509772,7,False,False,True,True,False,True,False,False,0.6464975430042925,0.3397842638590748,True,False,False,4,True,False,True,False,False,True,True,True,True,True,True,True,7.835025938294589,116,56.30479688456047,False
4,57.00122535879788,COMPLETE,2026-02-02T14:53:11.729193,1.663117,525,0.03357042493690756,7,60,62,0.8809236651952345,0.6409082885827582,0.0036322550769335455,0.42047422661723577,21,False,False,False,True,True,False,True,False,0.6256721191645723,0.18561904822709901,False,False,False,1,True,True,False,True,True,False,True,False,True,False,True,True,7.238723937301017,54,56.30479688456047,False
5,57.81327640525193,COMPLETE,2026-02-02T14:53:13.393678,1.663749,517,0.011076357782787387,5,72,53,0.5933076536469492,0.7627291615939289,0.0016859645449771382,0.0040357651254208406,15,True,False,False,False,True,False,True,False,0.6507311675433638,0.12001030642316998,True,True,False,2,True,True,True,False,False,True,True,False,False,False,True,False,7.534617287220299,118,56.30479688456047,False
6,57.84714011211886,COMPLETE,2026-02-02T14:53:15.552224,2.157831,543,0.03892139538697249,12,70,75,0.6913342037199781,0.4126359445798653,0.7196216150295854,0.04924634213441361,6,True,False,False,True,True,False,False,False,0.5823140386295993,0.20755898919877755,False,False,True,4,False,True,False,True,True,True,True,True,True,False,True,True,5.10223386637847,88,56.30479688456047,False
7,57.543969013317884,COMPLETE,2026-02-02T14:53:17.037471,1.484374,164,0.03446231109358332,8,46,44,0.8062408971072423,0.8621272399149242,0.2540515430405965,1.720079785158229,17,True,True,False,True,False,True,False,False,0.4394822871943756,0.22053455007333916,False,True,True,4,False,True,True,False,False,False,True,False,False,True,False,False,7.475233864748008,67,56.30479688456047,False
8,57.674615566685254,COMPLETE,2026-02-02T14:53:19.600597,2.562046,405,0.01103497660704952,9,71,15,0.8156684998041301,0.4185583156268185,0.05606717065823628,0.0008263324606251765,11,True,True,False,False,False,True,False,True,0.5999821647158072,0.37496304678310544,False,False,True,4,False,True,True,True,False,False,False,True,False,False,False,False,1.3255346296605304,137,56.30479688456047,False
9,58.11345704907236,COMPLETE,2026-02-02T14:53:23.102365,3.50089,572,0.029274830677379175,8,88,20,0.5859514120528558,0.7392810080597267,0.010385764989013273,1.1695008065140855,12,False,True,False,False,True,True,True,True,0.5088573862142971,0.1979829192480122,True,True,True,2,True,True,True,True,False,True,False,False,False,True,True,False,4.957277703613755,70,56.30479688456047,False
10,57.98139748776554,COMPLETE,2026-02-02T14:53:24.387110,1.284041,282,0.07015249383793154,10,100,80,0.5064802399977638,0.5492996952920827,4.032373327443953,0.08080510840930798,24,False,True,True,False,False,False,True,True,0.3182105668997003,0.2968415698605239,True,False,False,1,False,False,False,True,True,False,False,True,True,True,False,False,3.186976494384771,45,56.30479688456047,False
11,55.92127600022972,COMPLETE,2026-02-02T14:53:25.336888,0.949068,389,0.017621194317325083,4,27,31,0.9939799222151149,0.800465565350711,0.0012341781823292529,0.006265413027989224,19,True,True,True,False,False,True,True,False,0.3602538498751834,0.2766541233909206,True,True,False,3,False,False,False,False,True,True,False,False,False,True,False,True,3.470275606616764,98,55.92127600022972,True
12,55.95474844269772,COMPLETE,2026-02-02T14:53:26.208158,0.870518,370,0.018810431012168696,4,24,29,0.9190219274263056,0.8096454829898062,0.021963389718626002,0.004824768244503911,20,True,True,True,False,False,False,True,False,0.3251467918055072,0.2762146322312128,True,True,False,3,False,False,False,False,True,True,False,True,False,True,False,True,3.473836351402844,109,55.92127600022972,False
13,55.89636629894917,COMPLETE,2026-02-02T14:53:27.331879,1.123008,403,0.016396928835630598,4,20,29,0.99993332581987,0.857090689140116,0.06912874588196645,0.007992240520097215,21,True,True,True,False,False,True,True,False,0.3977606934035205,0.2702259529044622,True,True,False,3,False,False,False,False,True,True,False,False,False,True,False,True,3.1868330278788366,113,55.89636629894917,True
14,55.781118428603854,COMPLETE,2026-02-02T14:53:28.506091,1.17336,433,0.01520576331014228,4,36,29,0.9853462245155085,0.9061416155781328,0.0788479717820345,0.00920890981961548,23,True,True,True,False,False,True,True,True,0.40597455228891705,0.3335688762898224,True,True,False,3,False,False,False,False,True,True,False,False,False,True,False,True,3.259955746721024,138,55.781118428603854,True
15,55.74021346208245,COMPLETE,2026-02-02T14:53:30.768539,2.261554,465,0.014439691429499987,6,36,29,0.9841739020159272,0.990345218558615,0.10250740971435356,0.014385091843457317,24,True,True,True,False,False,True,True,True,0.44250467591049497,0.33516004667988064,True,True,False,3,False,False,False,False,True,True,False,False,False,True,False,True,2.624578613123213,150,55.74021346208245,True
16,56.21466693453226,COMPLETE,2026-02-02T14:53:33.440436,2.671159,465,0.013264590534871576,6,39,11,0.90814894319106,0.9794767293614732,0.3923283382102693,0.14534391663990645,24,True,True,True,False,False,True,True,True,0.4663580867282551,0.39324618947544854,True,True,False,3,False,False,False,False,True,True,False,False,False,True,False,True,2.3840053825729406,150,55.74021346208245,False
17,56.20895162294878,COMPLETE,2026-02-02T14:53:34.832082,1.390814,294,0.048411459674787265,6,38,23,0.9539184541694894,0.9195160113797207,0.11772938178257414,0.01874152973131903,23,True,True,True,False,False,True,True,True,0.5212539846335176,0.3322140092460599,True,True,False,3,False,False,False,False,True,True,False,False,False,True,False,True,6.094835435022405,135,55.74021346208245,False
18,55.70514245330458,COMPLETE,2026-02-02T14:53:36.377315,1.544512,466,0.014739782496600108,5,36,35,0.8540657129731501,0.9981689887062046,1.587441026772922,0.0013553183394110367,22,False,True,True,False,False,True,True,True,0.42408372214904316,0.33617577415225774,False,True,False,2,False,False,False,False,True,False,False,False,True,True,False,True,2.335814382595,145,55.70514245330458,True
19,55.464577479999235,COMPLETE,2026-02-02T14:53:37.882871,1.504837,458,0.02454300571494958,5,48,36,0.8456316276042539,0.9966807245134179,2.78953333029107,0.001228967041521471,22,False,True,True,False,False,True,True,True,0.46680242496043733,0.3615283419006181,False,True,False,2,False,False,False,False,True,False,False,False,True,True,False,True,2.14034797772909,149,55.464577479999235,True
20,55.58437634388873,COMPLETE,2026-02-02T14:53:38.867154,0.983499,327,0.02572478562880798,5,51,52,0.8095536753443361,0.9140791069401185,4.369960340229328,0.0020586172610353205,19,False,True,True,False,False,True,True,True,0.5334830811736312,0.37770762424200366,False,True,False,2,False,False,False,False,True,False,False,False,True,True,False,True,2.1658947354421563,133,55.464577479999235,False
21,55.51290290862965,COMPLETE,2026-02-02T14:53:39.928745,1.060693,324,0.026045390843665413,5,48,53,0.840820834554499,0.9266088545059221,4.9222938495285975,0.0017016474553483622,21,False,True,True,False,False,True,True,True,0.5263189261696692,0.3665340306487727,False,True,False,2,False,False,False,False,True,False,False,False,True,True,False,True,2.158346382606966,128,55.464577479999235,False
22,55.568948824772,COMPLETE,2026-02-02T14:53:40.868064,0.938405,312,0.025245590900814994,5,52,53,0.7610724021664166,0.9117401649677577,4.768525612251503,0.0015760425218397398,19,False,True,True,False,False,True,True,True,0.5436500183645112,0.36501790211357604,False,True,False,1,False,False,False,False,True,False,False,False,True,True,False,True,1.9125245428037347,126,55.464577479999235,False
