datetime,temp_forecast,temp_actual,temp_error,actual_load_mw,forecast_load_mw,forecast_error_mw,forecast_error_pct,price_eur_mwh,date,hour_of_day
2025-09-14 00:00:00,,16.885,,2188.0,2298.5,-110.5,-5.05,84.27,2025-09-14,0
2025-09-14 01:00:00,,16.9896,,2094.0,2222.5,-128.5,-6.14,75.46,2025-09-14,1
2025-09-14 02:00:00,,16.8712,,2047.0,2179.5,-132.5,-6.47,77.46,2025-09-14,2
2025-09-14 03:00:00,,16.9572,,2029.0,2146.8,-117.80000000000018,-5.81,82.6,2025-09-14,3
2025-09-14 04:00:00,,16.8192,,2038.0,2137.0,-99.0,-4.86,90.01,2025-09-14,4
2025-09-14 05:00:00,,16.7278,,2067.0,2121.8,-54.80000000000018,-2.65,96.91,2025-09-14,5
2025-09-14 06:00:00,,17.3954,,2132.0,2206.8,-74.80000000000018,-3.51,96.5,2025-09-14,6
2025-09-14 07:00:00,,17.0367,,2289.0,2317.0,-28.0,-1.22,100.58,2025-09-14,7
2025-09-14 08:00:00,,17.4854,,2517.0,2497.5,19.5,0.77,105.36,2025-09-14,8
2025-09-14 09:00:00,,17.5631,,2746.0,2747.5,-1.5,-0.05,86.61,2025-09-14,9
2025-09-14 10:00:00,,18.1118,,2869.0,2858.0,11.0,0.38,60.75,2025-09-14,10
2025-09-14 11:00:00,,17.9461,,2946.0,2919.5,26.5,0.9,17.77,2025-09-14,11
2025-09-14 12:00:00,,18.078,,2802.0,2829.0,-27.0,-0.96,6.64,2025-09-14,12
2025-09-14 13:00:00,,18.4115,,2689.0,2714.0,-25.0,-0.93,0.0,2025-09-14,13
2025-09-14 14:00:00,,19.1714,,2607.0,2637.3,-30.300000000000185,-1.16,-0.01,2025-09-14,14
2025-09-14 15:00:00,,18.7898,,2557.0,2617.8,-60.80000000000018,-2.38,0.0,2025-09-14,15
2025-09-14 16:00:00,,18.5767,,2539.0,2625.3,-86.30000000000018,-3.4,19.82,2025-09-14,16
2025-09-14 17:00:00,,18.2989,,2532.0,2577.0,-45.0,-1.78,94.05,2025-09-14,17
