datetime,da_price,da_demand,da_supply,net_import,idm_vwap,idm_volume_mwh,imb_price,imb_settlement_price,imbalance_mwh,spread_da_idm,spread_idm_imb,spread_da_imb,load_actual_mw,load_forecast_mw,load_error_mw,load_error_pct,sk_a_biomas,sk_a_fosiloil,sk_a_hardcoal,sk_a_hydropump,sk_a_hydropumpconsumption,sk_a_hydroreservoir,sk_a_hydrorunriver,sk_a_lignite,sk_a_natgas,sk_a_nuclear,sk_a_other,sk_a_other_renewable,sk_a_solar,sk_f_solar,temp_forecast,temp_actual,net_flow_cz,net_flow_pl,net_flow_hu,hour,date,day_of_week,month,is_weekend
2024-01-01 00:00:00,0.1,557.0,1892.9,-1335.9,,,,,,,,,2382.0,2410.0,-28.0,-1.18,106.1,48.8,,15.7,,49.2,754.3,13.4,101.6,2428.1,117.8,55.4,0.0,,,,520.5,164.8,-2021.2,0,2024-01-01,0,1,0
2024-01-01 01:00:00,0.01,449.9,1727.7,-1277.8000000000002,,,,,,,,,2280.0,2270.0,10.0,0.44,106.4,49.1,,,99.8,21.3,709.8,13.1,100.1,2431.0,119.9,55.1,0.0,,,,526.3,203.6,-2007.7,1,2024-01-01,0,1,0
2024-01-01 02:00:00,0.05,424.8,1466.9,-1042.1,,,,,,,,,2252.0,2230.0,22.0,0.98,107.1,49.2,,,300.3,20.7,651.5,13.1,99.6,2435.2,120.4,55.4,0.0,,,,392.9,60.0,-1495.0,2,2024-01-01,0,1,0
2024-01-01 03:00:00,0.01,413.1,1486.3,-1073.2,,,,,,,,,2168.0,2170.0,-2.0,-0.09,106.8,49.0,,,304.9,19.5,613.0,12.9,96.8,2437.6,120.5,54.9,0.0,,,,313.4,57.2,-1443.8,3,2024-01-01,0,1,0
2024-01-01 04:00:00,0.01,419.0,1526.3,-1107.3,,,,,,,,,2148.0,2130.0,18.0,0.84,109.1,49.4,,,308.8,19.7,627.0,13.8,104.2,2435.8,121.4,54.5,0.0,,,,243.0,33.2,-1383.5,4,2024-01-01,0,1,0
2024-01-01 05:00:00,0.01,441.4,1505.0,-1063.6,,,,,,,,,2167.0,2190.0,-23.0,-1.06,108.1,50.5,,,312.9,19.6,626.8,13.7,107.8,2441.6,123.6,54.4,0.0,,,,291.5,47.9,-1403.0,5,2024-01-01,0,1,0
2024-01-01 06:00:00,0.04,451.6,1882.0,-1430.4,,,,,,,,,2226.0,2230.0,-4.0,-0.18,108.5,50.6,,,29.6,27.5,701.9,13.0,101.5,2445.4,123.4,54.9,0.0,,,,235.6,-42.1,-1623.9,6,2024-01-01,0,1,0
2024-01-01 07:00:00,0.01,453.2,1723.6,-1270.4,,,,,,,,,2267.0,2190.0,77.0,3.4,108.5,50.4,,,111.1,27.5,717.7,12.3,93.0,2448.8,122.6,53.8,0.4,,,,332.2,65.2,-1667.8,7,2024-01-01,0,1,0
2024-01-01 08:00:00,0.0,578.7,1768.5,-1189.8000000000002,,,,,,,,,2366.0,2380.0,-14.0,-0.59,106.3,50.1,,,83.3,55.5,737.0,12.8,99.2,2446.2,122.1,53.4,1.3,,,,433.7,102.2,-1725.7,8,2024-01-01,0,1,0
2024-01-01 09:00:00,0.04,704.9,1904.6,-1199.7,,,,,,,,,2519.0,2460.0,59.0,2.34,107.8,50.1,,19.7,,65.1,774.3,14.0,111.7,2440.4,122.6,55.1,7.2,,,,450.0,174.8,-1824.5,9,2024-01-01,0,1,0
2024-01-01 10:00:00,0.06,697.2,1902.9,-1205.6999999999998,,,,,,,,,2540.0,2580.0,-40.0,-1.57,106.8,50.0,,22.4,,67.6,779.1,14.1,113.5,2439.6,122.5,52.5,22.1,,,,405.9,159.0,-1770.6,10,2024-01-01,0,1,0
