bid,total_rev,rev_per_mwh,rev_da_prod,rev_da_noprod,rev_imb_prod,h_da_prod,h_da_noprod,h_imb_prod,h_curtailed
0,36586.567353576065,53.442254387344526,35933.04401761372,1760.9937050585324,-1107.4703690961937,2197,39,238,25
5,36665.24772221579,53.557183351177024,35847.841070632545,729.7481611665693,87.65849041667025,2009,28,426,36
10,37088.05943759773,54.17478737598266,35635.59082009156,552.9483639814557,899.5202535247148,1931,25,504,39
15,37989.57406525256,55.49163608713491,35404.67963091192,517.0594686359888,2067.8349657046447,1879,23,556,41
20,37788.77508820389,55.19832761934544,35061.799564460554,445.7527262206959,2281.2227975226447,1826,21,609,43
25,38055.617545780464,55.58810626026945,34696.45414195323,445.7527262206959,2913.4106776065355,1781,21,654,43
30,38232.70756874132,55.84678289328268,34327.80341438871,399.15842631339876,3505.745728039209,1741,20,694,44
35,38199.277366018454,55.79795116274971,34052.78310310864,384.0989031985381,3762.395359711279,1718,18,717,46
40,38156.69435849869,55.73574986634339,33575.15203064549,348.44698968930817,4233.095338163894,1680,17,755,47
45,38218.623159976785,55.82620969906045,33064.40973819625,344.43911838648916,4809.77430339405,1644,16,791,48
50,38312.348157067136,55.96311445671507,32371.98939537577,324.3094575195083,5616.049304171853,1600,15,835,49
55,38602.86531702572,56.387474900709485,31723.439492824302,324.3094575195083,6555.116366681905,1565,15,870,49
60,38809.66051036313,56.68954208349858,30794.482149404055,299.88982624681256,7715.288534712259,1520,13,915,51
65,38735.53177955149,56.58126172882193,29615.35940815099,218.27704822789704,8901.895323172605,1463,10,972,54
70,38818.54417131179,56.702518509073606,28016.55622733918,218.27704822789704,10583.710895744716,1388,9,1047,55
75,39083.62632323828,57.08972585924376,25624.93569243839,218.27704822789704,13240.413582571986,1288,9,1147,55
80,39170.23542338712,57.21623637655145,23398.30658613181,216.8605241632217,15555.068313092093,1196,8,1239,56
