bid,total_rev,rev_per_mwh,rev_da_prod,rev_da_noprod,rev_imb,h_da_prod,h_da_noprod,h_imb_prod,h_curtailed
0,32225.768250749043,47.07240468996354,19586.44883424911,11105.59623087965,1533.7231856202818,1123,1113,131,132
5,31402.38608706237,45.869684614464454,18611.79931522983,9110.473294552656,3680.113477279885,1002,1035,229,233
10,31615.26539946042,46.180638912445836,18214.08660393455,8793.852700249872,4607.326095275996,954,1002,270,273
15,32701.859165964666,47.767834013971175,18160.12399675475,8655.215461940847,5886.519707269069,932,970,296,301
20,32181.63189300293,47.00793440403583,17713.924070280085,8086.796713982303,6380.911108740539,897,950,321,331
25,32513.529263359305,47.49273921028236,17509.24414006676,8007.10343935023,6997.181683942314,874,928,344,353
30,32792.53738850582,47.90028832676865,17352.82140571458,7892.182376043619,7547.533606747616,854,907,364,374
35,32772.57183792924,47.871124507638385,17221.161958597648,7741.9574399181365,7809.452439413456,843,893,376,387
40,32693.02319950386,47.75492725606757,16888.17778890661,7506.918756005801,8297.926654591447,819,878,397,405
45,32817.71667777703,47.937067890413424,16600.76488934778,7393.558280232024,8823.393508197229,800,860,415,424
50,32908.86762206439,48.070212711166214,16179.228690933698,7135.614679483706,9594.02425164699,777,838,437,447
55,33360.78924695709,48.73033778404482,15913.304130392939,7020.561605154182,10426.923511409967,762,818,455,464
60,33586.05669384771,49.05938751657568,15428.539491965203,6728.755399972148,11428.761801910357,739,794,477,489
65,33610.86508055648,49.09562530025779,14786.448381447133,6255.100850425611,12569.315848683736,710,763,507,519
70,33850.573328617495,49.445768811886495,13975.507391894662,5987.697944958833,13887.367991763998,675,722,545,557
75,34372.541400391856,50.208211218802006,12809.084521704808,5548.329706720362,16015.127171966684,626,671,594,608
80,34632.42743695552,50.58782856698148,11705.823309507743,4999.681417038186,17926.92271040959,583,621,639,656
