datetime,de_forecast1_spot,sk_forecast1_spot,sk_forecast2_spot,sk_merged_spot,price_actual,de_forecast1_spot_error,sk_forecast1_spot_error,sk_forecast2_spot_error,sk_merged_spot_error,date,hour
2025-09-11 00:00:00,,,,,82.06,,,,,2025-09-11,0
2025-09-11 01:00:00,,,,,80.32,,,,,2025-09-11,1
2025-09-11 02:00:00,,,,,73.4,,,,,2025-09-11,2
2025-09-11 03:00:00,,,,,60.68,,,,,2025-09-11,3
2025-09-11 04:00:00,,,,,57.97,,,,,2025-09-11,4
2025-09-11 05:00:00,,,,,55.65,,,,,2025-09-11,5
2025-09-11 06:00:00,,,,,92.61,,,,,2025-09-11,6
2025-09-11 07:00:00,,,,,134.17,,,,,2025-09-11,7
2025-09-11 08:00:00,,,,,120.82,,,,,2025-09-11,8
2025-09-11 09:00:00,,,,,106.28,,,,,2025-09-11,9
2025-09-11 10:00:00,,,,,77.3,,,,,2025-09-11,10
2025-09-11 11:00:00,,,,,71.07,,,,,2025-09-11,11
2025-09-11 12:00:00,,,,,77.44,,,,,2025-09-11,12
2025-09-11 13:00:00,,,,,72.96,,,,,2025-09-11,13
2025-09-11 14:00:00,,,,,68.71,,,,,2025-09-11,14
2025-09-11 15:00:00,,,,,66.26,,,,,2025-09-11,15
2025-09-11 16:00:00,,,,,71.08,,,,,2025-09-11,16
2025-09-11 17:00:00,,,,,121.32,,,,,2025-09-11,17
2025-09-11 18:00:00,,,,,164.13,,,,,2025-09-11,18
2025-09-11 19:00:00,,,,,237.01,,,,,2025-09-11,19
2025-09-11 20:00:00,,,,,170.94,,,,,2025-09-11,20
2025-09-11 21:00:00,,,,,113.09,,,,,2025-09-11,21
2025-09-11 22:00:00,,,,,88.68,,,,,2025-09-11,22
2025-09-11 23:00:00,,,,,87.86,,,,,2025-09-11,23
2025-09-12 00:00:00,,,,,51.07,,,,,2025-09-12,0
2025-09-12 01:00:00,,,,,41.3,,,,,2025-09-12,1
2025-09-12 02:00:00,,,,,37.39,,,,,2025-09-12,2
2025-09-12 03:00:00,,,,,37.34,,,,,2025-09-12,3
2025-09-12 04:00:00,,,,,42.64,,,,,2025-09-12,4
2025-09-12 05:00:00,,,,,79.82,,,,,2025-09-12,5
2025-09-12 06:00:00,,,,,121.64,,,,,2025-09-12,6
2025-09-12 07:00:00,,,,,130.72,,,,,2025-09-12,7
2025-09-12 08:00:00,,,,,116.42,,,,,2025-09-12,8
2025-09-12 09:00:00,,,,,92.68,,,,,2025-09-12,9
2025-09-12 10:00:00,,,,,58.95,,,,,2025-09-12,10
2025-09-12 11:00:00,,,,,50.44,,,,,2025-09-12,11
2025-09-12 12:00:00,,,,,42.44,,,,,2025-09-12,12
2025-09-12 13:00:00,,,,,46.93,,,,,2025-09-12,13
2025-09-12 14:00:00,,,,,56.32,,,,,2025-09-12,14
2025-09-12 15:00:00,,,,,76.99,,,,,2025-09-12,15
2025-09-12 16:00:00,,,,,92.55,,,,,2025-09-12,16
2025-09-12 17:00:00,,,,,136.99,,,,,2025-09-12,17
2025-09-12 18:00:00,,,,,159.62,,,,,2025-09-12,18
2025-09-12 19:00:00,,,,,229.2,,,,,2025-09-12,19
2025-09-12 20:00:00,,,,,173.04,,,,,2025-09-12,20
2025-09-12 21:00:00,,,,,121.77,,,,,2025-09-12,21
2025-09-12 22:00:00,,,,,103.61,,,,,2025-09-12,22
2025-09-12 23:00:00,,,,,99.05,,,,,2025-09-12,23
2025-09-13 00:00:00,,,,,99.47,,,,,2025-09-13,0
2025-09-13 01:00:00,,,,,83.17,,,,,2025-09-13,1
2025-09-13 02:00:00,,,,,71.13,,,,,2025-09-13,2
2025-09-13 03:00:00,,,,,72.69,,,,,2025-09-13,3
2025-09-13 04:00:00,,,,,83.77,,,,,2025-09-13,4
2025-09-13 05:00:00,,,,,87.65,,,,,2025-09-13,5
2025-09-13 06:00:00,,,,,94.0,,,,,2025-09-13,6
2025-09-13 07:00:00,,,,,80.28,,,,,2025-09-13,7
