timestamp_hour,date,hour,da_price,idm_vwap,spread_da_idm,spread_signal,spread_confidence,trade_flag,rank_predicted,rank_actual,is_weekend,load_fcst_dev
2024-01-01 00:00:00,2024-01-01,0,0.1,,,1.0,0.54,0.0,5.0,11.0,False,
2024-01-01 01:00:00,2024-01-01,1,0.01,,,1.0,0.54,0.0,4.0,2.0,False,
2024-01-01 02:00:00,2024-01-01,2,0.05,,,1.0,0.54,0.0,3.8,9.0,False,
2024-01-01 03:00:00,2024-01-01,3,0.01,,,1.0,0.54,0.0,3.2,3.0,False,
2024-01-01 04:00:00,2024-01-01,4,0.01,,,1.0,0.54,0.0,3.4,4.0,False,
2024-01-01 05:00:00,2024-01-01,5,0.01,,,1.0,0.54,0.0,4.8,5.0,False,
2024-01-01 06:00:00,2024-01-01,6,0.04,,,1.0,0.54,0.0,6.6,7.0,False,
2024-01-01 07:00:00,2024-01-01,7,0.01,,,1.0,0.54,0.0,6.4,6.0,False,
2024-01-01 08:00:00,2024-01-01,8,0.0,,,1.0,0.54,0.0,9.0,1.0,False,
2024-01-01 09:00:00,2024-01-01,9,0.04,,,1.0,0.54,0.0,10.8,8.0,False,
2024-01-01 10:00:00,2024-01-01,10,0.06,,,1.0,0.54,0.0,13.0,10.0,False,
2024-01-01 11:00:00,2024-01-01,11,0.54,,,1.0,0.54,0.0,14.399999999999999,12.0,False,
2024-01-01 12:00:00,2024-01-01,12,2.24,,,1.0,0.54,0.0,15.8,13.0,False,
2024-01-01 13:00:00,2024-01-01,13,3.44,,,1.0,0.54,0.0,15.2,14.0,False,
2024-01-01 14:00:00,2024-01-01,14,11.18,,,1.0,0.54,0.0,14.2,15.0,False,
2024-01-01 15:00:00,2024-01-01,15,43.85,,,1.0,0.54,0.0,15.2,18.0,False,
2024-01-01 16:00:00,2024-01-01,16,55.61,,,1.0,0.54,0.0,17.8,22.0,False,
2024-01-01 17:00:00,2024-01-01,17,63.03,,,1.0,0.54,0.0,20.0,24.0,False,
2024-01-01 18:00:00,2024-01-01,18,61.39,,,1.0,0.54,0.0,20.2,23.0,False,
2024-01-01 19:00:00,2024-01-01,19,54.94,,,1.0,0.54,0.0,21.6,21.0,False,
2024-01-01 20:00:00,2024-01-01,20,48.4,,,1.0,0.54,0.0,21.0,20.0,False,
2024-01-01 21:00:00,2024-01-01,21,40.46,,,1.0,0.54,0.0,19.2,17.0,False,
2024-01-01 22:00:00,2024-01-01,22,44.59,,,1.0,0.54,0.0,17.799999999999997,19.0,False,
2024-01-01 23:00:00,2024-01-01,23,35.55,,,1.0,0.54,0.0,17.599999999999998,16.0,False,
2024-01-02 00:00:00,2024-01-02,0,29.71,,,1.0,0.54,0.0,5.699999999999999,6.0,False,
2024-01-02 01:00:00,2024-01-02,1,19.76,,,1.0,0.54,0.0,2.0,3.0,False,
2024-01-02 02:00:00,2024-01-02,2,28.56,,,1.0,0.54,0.0,4.3,5.0,False,
2024-01-02 03:00:00,2024-01-02,3,16.92,,,1.0,0.54,0.0,3.25,2.0,False,
2024-01-02 04:00:00,2024-01-02,4,10.17,,,1.0,0.54,0.0,4.65,1.0,False,
2024-01-02 05:00:00,2024-01-02,5,42.27,,,1.0,0.54,0.0,5.65,8.0,False,
2024-01-02 06:00:00,2024-01-02,6,46.94,,,1.0,0.54,0.0,7.8,9.0,False,
2024-01-02 07:00:00,2024-01-02,7,76.73,,,1.0,0.54,0.0,8.5,12.0,False,
2024-01-02 08:00:00,2024-01-02,8,80.12,,,1.0,0.54,0.0,7.8,17.0,False,
2024-01-02 09:00:00,2024-01-02,9,78.46,,,1.0,0.54,0.0,12.5,15.0,False,
2024-01-02 10:00:00,2024-01-02,10,77.51,,,1.0,0.54,0.0,12.65,14.0,False,
2024-01-02 11:00:00,2024-01-02,11,79.66,,,1.0,0.54,0.0,16.4,16.0,False,
2024-01-02 12:00:00,2024-01-02,12,81.93,,,1.0,0.54,0.0,17.400000000000002,18.0,False,
2024-01-02 13:00:00,2024-01-02,13,83.02,,,1.0,0.54,0.0,16.0,19.0,False,
2024-01-02 14:00:00,2024-01-02,14,85.98,,,1.0,0.54,0.0,15.0,21.0,False,
2024-01-02 15:00:00,2024-01-02,15,87.67,,,1.0,0.54,0.0,15.9,22.0,False,
2024-01-02 16:00:00,2024-01-02,16,90.19,,,1.0,0.54,0.0,20.35,24.0,False,
2024-01-02 17:00:00,2024-01-02,17,87.77,,,1.0,0.54,0.0,21.7,23.0,False,
2024-01-02 18:00:00,2024-01-02,18,83.15,,,1.0,0.54,0.0,19.6,20.0,False,
2024-01-02 19:00:00,2024-01-02,19,76.81,,,1.0,0.54,0.0,20.35,13.0,False,
2024-01-02 20:00:00,2024-01-02,20,60.22,,,1.0,0.54,0.0,17.05,11.0,False,
2024-01-02 21:00:00,2024-01-02,21,48.02,,,1.0,0.54,0.0,15.45,10.0,False,
2024-01-02 22:00:00,2024-01-02,22,40.93,,,1.0,0.54,0.0,15.6,7.0,False,
2024-01-02 23:00:00,2024-01-02,23,25.28,,,1.0,0.54,0.0,14.4,4.0,False,
2024-01-03 00:00:00,2024-01-03,0,21.93,,,1.0,0.54,0.0,4.35,5.0,False,
2024-01-03 01:00:00,2024-01-03,1,20.69,,,1.0,0.54,0.0,2.3499999999999996,4.0,False,
2024-01-03 02:00:00,2024-01-03,2,19.77,,,1.0,0.54,0.0,3.7,2.0,False,
2024-01-03 03:00:00,2024-01-03,3,19.08,,,1.0,0.54,0.0,2.1,1.0,False,
2024-01-03 04:00:00,2024-01-03,4,20.47,,,1.0,0.54,0.0,3.2,3.0,False,
2024-01-03 05:00:00,2024-01-03,5,22.82,,,1.0,0.54,0.0,6.7,6.0,False,
2024-01-03 06:00:00,2024-01-03,6,37.74,,,1.0,0.54,0.0,8.5,7.0,False,
2024-01-03 07:00:00,2024-01-03,7,47.24,,,1.0,0.54,0.0,10.6,8.0,False,
2024-01-03 08:00:00,2024-01-03,8,62.8,,,1.0,0.54,0.0,13.8,14.0,False,
2024-01-03 09:00:00,2024-01-03,9,65.06,,,1.0,0.54,0.0,15.350000000000001,17.0,False,
2024-01-03 10:00:00,2024-01-03,10,60.0,,,1.0,0.54,0.0,14.45,13.0,False,
2024-01-03 11:00:00,2024-01-03,11,58.12,,,1.0,0.54,0.0,17.4,11.0,False,
2024-01-03 12:00:00,2024-01-03,12,57.39,,,1.0,0.54,0.0,18.75,10.0,False,
2024-01-03 13:00:00,2024-01-03,13,57.08,,,1.0,0.54,0.0,18.55,9.0,False,
2024-01-03 14:00:00,2024-01-03,14,63.14,,,1.0,0.54,0.0,17.5,15.0,False,
2024-01-03 15:00:00,2024-01-03,15,72.82,,,1.0,0.54,0.0,17.7,19.0,False,
2024-01-03 16:00:00,2024-01-03,16,80.59,,,1.0,0.54,0.0,22.25,21.0,False,
2024-01-03 17:00:00,2024-01-03,17,85.06,,,1.0,0.54,0.0,20.549999999999997,23.0,False,
2024-01-03 18:00:00,2024-01-03,18,85.57,,,1.0,0.54,0.0,18.95,24.0,False,
2024-01-03 19:00:00,2024-01-03,19,83.36,,,1.0,0.54,0.0,14.75,22.0,False,
2024-01-03 20:00:00,2024-01-03,20,73.23,,,1.0,0.54,0.0,13.9,20.0,False,
2024-01-03 21:00:00,2024-01-03,21,67.41,,,1.0,0.54,0.0,13.0,18.0,False,
2024-01-03 22:00:00,2024-01-03,22,65.0,,,1.0,0.54,0.0,11.4,16.0,False,
2024-01-03 23:00:00,2024-01-03,23,58.12,,,1.0,0.54,0.0,10.2,12.0,False,
2024-01-04 00:00:00,2024-01-04,0,57.3,,,-1.0,0.66,1.0,3.6,5.0,False,221.36111111111086
2024-01-04 01:00:00,2024-01-04,1,50.46,,,-1.0,0.66,1.0,2.7,4.0,False,221.36111111111086
2024-01-04 02:00:00,2024-01-04,2,40.0,,,-1.0,0.66,1.0,1.85,3.0,False,221.36111111111086
2024-01-04 03:00:00,2024-01-04,3,25.48,,,-1.0,0.66,1.0,2.5500000000000003,1.0,False,221.36111111111086
2024-01-04 04:00:00,2024-01-04,4,35.0,,,-1.0,0.66,1.0,4.3,2.0,False,221.36111111111086
2024-01-04 05:00:00,2024-01-04,5,57.73,,,-1.0,0.66,1.0,6.4,6.0,False,221.36111111111086
2024-01-04 06:00:00,2024-01-04,6,72.65,,,-1.0,0.66,1.0,8.2,7.0,False,221.36111111111086
2024-01-04 07:00:00,2024-01-04,7,85.02,,,-1.0,0.66,1.0,9.600000000000001,8.0,False,221.36111111111086
2024-01-04 08:00:00,2024-01-04,8,91.47,,,-1.0,0.66,1.0,13.55,13.0,False,221.36111111111086
2024-01-04 09:00:00,2024-01-04,9,94.2,,,-1.0,0.66,1.0,16.85,17.0,False,221.36111111111086
2024-01-04 10:00:00,2024-01-04,10,92.26,,,-1.0,0.66,1.0,14.5,15.0,False,221.36111111111086
2024-01-04 11:00:00,2024-01-04,11,90.76,,,-1.0,0.66,1.0,16.450000000000003,12.0,False,221.36111111111086
2024-01-04 12:00:00,2024-01-04,12,86.91,,,-1.0,0.66,1.0,15.950000000000001,10.0,False,221.36111111111086
2024-01-04 13:00:00,2024-01-04,13,85.96,,,-1.0,0.66,1.0,14.25,9.0,False,221.36111111111086
2024-01-04 14:00:00,2024-01-04,14,92.11,,,-1.0,0.66,1.0,14.600000000000001,14.0,False,221.36111111111086
2024-01-04 15:00:00,2024-01-04,15,98.62,,,-1.0,0.66,1.0,18.65,19.0,False,221.36111111111086
2024-01-04 16:00:00,2024-01-04,16,104.74,,,-1.0,0.66,1.0,20.4,21.0,False,221.36111111111086
2024-01-04 17:00:00,2024-01-04,17,115.23,,,-1.0,0.66,1.0,19.35,23.0,False,221.36111111111086
2024-01-04 18:00:00,2024-01-04,18,118.06,,,-1.0,0.66,1.0,19.15,24.0,False,221.36111111111086
2024-01-04 19:00:00,2024-01-04,19,112.32,,,-1.0,0.66,1.0,17.9,22.0,False,221.36111111111086
2024-01-04 20:00:00,2024-01-04,20,101.41,,,-1.0,0.66,1.0,16.65,20.0,False,221.36111111111086
2024-01-04 21:00:00,2024-01-04,21,95.75,,,-1.0,0.66,1.0,15.4,18.0,False,221.36111111111086
2024-01-04 22:00:00,2024-01-04,22,92.45,,,-1.0,0.66,1.0,14.55,16.0,False,221.36111111111086
2024-01-04 23:00:00,2024-01-04,23,88.68,,,-1.0,0.66,1.0,12.6,11.0,False,221.36111111111086
2024-01-05 00:00:00,2024-01-05,0,86.08,,,-1.0,0.66,1.0,3.6,6.0,False,161.42708333333303
2024-01-05 01:00:00,2024-01-05,1,80.51,,,-1.0,0.66,1.0,2.3,5.0,False,161.42708333333303
2024-01-05 02:00:00,2024-01-05,2,77.01,,,-1.0,0.66,1.0,2.5999999999999996,4.0,False,161.42708333333303
2024-01-05 03:00:00,2024-01-05,3,73.03,,,-1.0,0.66,1.0,2.5500000000000003,1.0,False,161.42708333333303
2024-01-05 04:00:00,2024-01-05,4,73.18,,,-1.0,0.66,1.0,3.95,2.0,False,161.42708333333303
2024-01-05 05:00:00,2024-01-05,5,75.51,,,-1.0,0.66,1.0,6.4,3.0,False,161.42708333333303
2024-01-05 06:00:00,2024-01-05,6,96.03,,,-1.0,0.66,1.0,8.2,9.0,False,161.42708333333303
2024-01-05 07:00:00,2024-01-05,7,107.13,,,-1.0,0.66,1.0,9.600000000000001,17.0,False,161.42708333333303
2024-01-05 08:00:00,2024-01-05,8,109.37,,,-1.0,0.66,1.0,13.2,18.0,False,161.42708333333303
2024-01-05 09:00:00,2024-01-05,9,101.51,,,-1.0,0.66,1.0,15.649999999999999,14.0,False,161.42708333333303
