month_period,pnl,n_correct,n_traded,n_days,accuracy
2025-01,778.6600000000001,369,652,31,0.5659509202453987
2025-02,83.66000000000005,291,601,28,0.4841930116472546
2025-03,2069.26,312,591,31,0.5279187817258884
2025-04,2142.685,304,576,30,0.5277777777777778
2025-05,-1029.46,277,597,31,0.4639865996649916
2025-06,1931.85,339,623,30,0.5441412520064205
2025-07,-528.8700000000002,303,587,31,0.5161839863713799
2025-08,76.83500000000006,261,535,31,0.48785046728971965
2025-09,1163.22,352,720,30,0.4888888888888889
2025-10,18479.405,474,742,31,0.6388140161725068
2025-11,14014.78,416,699,30,0.5951359084406295
2025-12,10532.4,458,726,31,0.6308539944903582
2026-01,20446.375,377,582,25,0.647766323024055
