timestamp_qh,timestamp_hour,da_price,da_demand,da_supply,net_import,idm_vwap,idm_volume_mw,imb_price,imb_settlement_price,imbalance_mwh,spread_da_idm,spread_idm_imb,spread_da_imb,date,hour,minute,period,dayofweek,month,is_weekend
2024-01-01 00:00:00,2024-01-01 00:00:00,0.1,557.0,1892.9,-1335.9,,,,-5.0,3.382,,,5.1,2024-01-01,0,0,1,0,1,False
2024-01-01 00:15:00,2024-01-01 00:00:00,0.1,557.0,1892.9,-1335.9,,,,-5.0,3.242,,,5.1,2024-01-01,0,15,2,0,1,False
2024-01-01 00:30:00,2024-01-01 00:00:00,0.1,557.0,1892.9,-1335.9,,,,-5.0,6.089,,,5.1,2024-01-01,0,30,3,0,1,False
2024-01-01 00:45:00,2024-01-01 00:00:00,0.1,557.0,1892.9,-1335.9,,,,-5.0,13.806,,,5.1,2024-01-01,0,45,4,0,1,False
2024-01-01 01:00:00,2024-01-01 01:00:00,0.01,449.9,1727.7,-1277.8000000000002,,,,132.0,-1.615,,,-131.99,2024-01-01,1,0,5,0,1,False
2024-01-01 01:15:00,2024-01-01 01:00:00,0.01,449.9,1727.7,-1277.8000000000002,,,,-5.0,3.248,,,5.01,2024-01-01,1,15,6,0,1,False
2024-01-01 01:30:00,2024-01-01 01:00:00,0.01,449.9,1727.7,-1277.8000000000002,,,,-5.0,6.021,,,5.01,2024-01-01,1,30,7,0,1,False
2024-01-01 01:45:00,2024-01-01 01:00:00,0.01,449.9,1727.7,-1277.8000000000002,,,,-5.0,23.435,,,5.01,2024-01-01,1,45,8,0,1,False
2024-01-01 02:00:00,2024-01-01 02:00:00,0.05,424.8,1466.9,-1042.1,,,,-5.0,3.3,,,5.05,2024-01-01,2,0,9,0,1,False
2024-01-01 02:15:00,2024-01-01 02:00:00,0.05,424.8,1466.9,-1042.1,,,,-5.0,7.404,,,5.05,2024-01-01,2,15,10,0,1,False
2024-01-01 02:30:00,2024-01-01 02:00:00,0.05,424.8,1466.9,-1042.1,,,,-5.0,11.927,,,5.05,2024-01-01,2,30,11,0,1,False
2024-01-01 02:45:00,2024-01-01 02:00:00,0.05,424.8,1466.9,-1042.1,,,,-5.0,19.923,,,5.05,2024-01-01,2,45,12,0,1,False
2024-01-01 03:00:00,2024-01-01 03:00:00,0.01,413.1,1486.3,-1073.2,,,,-5.0,17.016,,,5.01,2024-01-01,3,0,13,0,1,False
2024-01-01 03:15:00,2024-01-01 03:00:00,0.01,413.1,1486.3,-1073.2,,,,-5.0,18.102,,,5.01,2024-01-01,3,15,14,0,1,False
2024-01-01 03:30:00,2024-01-01 03:00:00,0.01,413.1,1486.3,-1073.2,,,,-5.0,20.102,,,5.01,2024-01-01,3,30,15,0,1,False
2024-01-01 03:45:00,2024-01-01 03:00:00,0.01,413.1,1486.3,-1073.2,,,,-5.0,22.206,,,5.01,2024-01-01,3,45,16,0,1,False
2024-01-01 04:00:00,2024-01-01 04:00:00,0.01,419.0,1526.3,-1107.3,,,,-5.0,16.619,,,5.01,2024-01-01,4,0,17,0,1,False
2024-01-01 04:15:00,2024-01-01 04:00:00,0.01,419.0,1526.3,-1107.3,,,,-2.99,17.921,,,3.0,2024-01-01,4,15,18,0,1,False
2024-01-01 04:30:00,2024-01-01 04:00:00,0.01,419.0,1526.3,-1107.3,,,,-5.0,11.297,,,5.01,2024-01-01,4,30,19,0,1,False
2024-01-01 04:45:00,2024-01-01 04:00:00,0.01,419.0,1526.3,-1107.3,,,,-5.0,12.923,,,5.01,2024-01-01,4,45,20,0,1,False
2024-01-01 05:00:00,2024-01-01 05:00:00,0.01,441.4,1505.0,-1063.6,,,,-5.0,22.244,,,5.01,2024-01-01,5,0,21,0,1,False
2024-01-01 05:15:00,2024-01-01 05:00:00,0.01,441.4,1505.0,-1063.6,,,,-5.0,20.526,,,5.01,2024-01-01,5,15,22,0,1,False
2024-01-01 05:30:00,2024-01-01 05:00:00,0.01,441.4,1505.0,-1063.6,,,,-5.0,18.436,,,5.01,2024-01-01,5,30,23,0,1,False
2024-01-01 05:45:00,2024-01-01 05:00:00,0.01,441.4,1505.0,-1063.6,,,,-5.0,11.308,,,5.01,2024-01-01,5,45,24,0,1,False
2024-01-01 06:00:00,2024-01-01 06:00:00,0.04,451.6,1882.0,-1430.4,,,,-5.0,27.483,,,5.04,2024-01-01,6,0,25,0,1,False
2024-01-01 06:15:00,2024-01-01 06:00:00,0.04,451.6,1882.0,-1430.4,,,,-5.0,26.737,,,5.04,2024-01-01,6,15,26,0,1,False
