tradeday,hour,ceps_in,ceps_out,apg_in,apg_out,mavir_in,mavir_out,pse_in,pse_out,de_in,de_out,total_import_cap,total_export_cap,net_capacity,ceps_congested_in,apg_congested_in,mavir_congested_in,pse_congested_in,de_congested_in,congested_in_count,last_price,total_amount,idm_mid_price,idm_bid,idm_ask,idm_spread,dayofweek,is_weekend,month,idm_price
2025-11-26,16,1569.0,2202.0,2188.0,1609.0,2463.0,1521.0,0.0,1468.0,2569.0,1056.0,8789.0,7856.0,933.0,0,0,0,1,0,1,226.31,186.4,198.3975,143.57,253.22500000000002,109.65500000000002,2,0,11,198.3975
2025-11-26,17,1677.0,2215.0,2609.0,1515.0,3115.0,1515.0,0.0,1700.0,2609.0,1515.0,10010.0,8460.0,1550.0,0,0,0,1,0,1,270.92,13.4,214.86124999999998,165.3825,264.34000000000003,98.95750000000001,2,0,11,214.86124999999998
2025-11-26,18,1434.0,1913.0,1968.0,1041.0,1968.0,1041.0,0.0,886.0,2593.0,212.0,7963.0,5093.0,2870.0,0,0,0,1,0,1,174.27,154.6,146.83875,64.505,229.1725,164.66750000000002,2,0,11,146.83875
2025-11-26,19,1860.0,2029.0,2332.0,1718.0,2378.0,1718.0,0.0,1452.0,1966.0,1560.0,8536.0,8477.0,59.0,0,0,0,1,0,1,151.34,232.7,104.88250000000001,22.505,187.26,164.755,2,0,11,104.88250000000001
2025-11-26,20,1989.0,2024.0,2460.0,1432.0,2151.0,1432.0,0.0,600.0,1039.0,1909.0,7639.0,7397.0,242.0,0,0,0,1,0,1,130.32,251.3,136.38,103.7675,168.9925,65.225,2,0,11,136.38
2025-11-26,21,1488.0,1750.0,2098.0,1268.0,1779.0,1268.0,529.0,104.0,1565.0,1248.0,7459.0,5638.0,1821.0,0,0,0,0,0,0,117.47,248.9,136.79875,93.64500000000001,179.9525,86.3075,2,0,11,136.79875
2025-11-26,22,1059.0,1699.0,2222.0,936.0,1803.0,1021.0,1101.0,0.0,1355.0,1032.0,7540.0,4688.0,2852.0,0,0,0,0,0,0,102.27,142.9,109.225,92.035,126.41499999999999,34.379999999999995,2,0,11,109.225
2025-11-26,23,1527.0,1596.0,2312.0,442.0,1227.0,940.0,1065.0,0.0,1149.0,778.0,7280.0,3756.0,3524.0,0,0,0,0,0,0,83.36,152.1,94.6375,52.2725,137.0025,84.72999999999999,2,0,11,94.6375
2025-11-27,0,1513.0,1905.0,1387.0,1325.0,1064.0,1621.0,1000.0,0.0,553.0,914.0,5517.0,5765.0,-248.0,0,0,0,0,0,0,84.0,44.6,119.5325,79.525,159.54,80.015,3,0,11,119.5325
2025-11-27,1,1395.0,1383.0,908.0,1408.0,893.0,2159.0,1000.0,0.0,327.0,1226.0,4523.0,6176.0,-1653.0,0,0,0,0,0,0,77.51,27.2,73.3375,72.5375,74.1375,1.5999999999999979,3,0,11,73.3375
2025-11-27,2,1379.0,1324.0,858.0,992.0,858.0,1387.0,653.0,0.0,42.0,1514.0,3790.0,5217.0,-1427.0,0,0,0,0,0,0,69.29,63.9,66.3525,65.5925,67.11250000000001,1.520000000000005,3,0,11,66.3525
2025-11-27,3,1933.0,1427.0,1526.0,750.0,1107.0,1583.0,918.0,0.0,230.0,1338.0,5714.0,5098.0,616.0,0,0,0,0,0,0,75.18,40.8,67.6925,67.03999999999999,68.345,1.3050000000000033,3,0,11,67.6925
2025-11-27,4,1748.0,1308.0,1576.0,536.0,1322.0,1632.0,744.0,0.0,0.0,1424.0,5390.0,4900.0,490.0,0,0,0,0,1,1,68.69,66.7,73.2775,71.07,75.485,4.414999999999999,3,0,11,73.2775
2025-11-27,5,0.0,140.0,0.0,2.0,715.0,1014.0,279.0,0.0,0.0,140.0,994.0,1296.0,-302.0,1,1,0,0,1,3,78.86,12.3,88.20625,76.215,100.19749999999999,23.982499999999998,3,0,11,88.20625
2025-11-27,6,0.0,443.0,0.0,443.0,193.0,1079.0,11.0,0.0,0.0,443.0,204.0,2408.0,-2204.0,1,1,0,0,1,3,111.38,23.4,109.08,102.96,115.2,12.240000000000006,3,0,11,109.08
2025-11-27,7,0.0,161.0,0.0,2.0,2833.0,187.0,8.0,0.0,0.0,161.0,2841.0,511.0,2330.0,1,1,0,0,1,3,119.08,30.7,156.995,108.6875,205.3025,96.61500000000001,3,0,11,156.995
2025-11-27,8,0.0,509.0,0.0,84.0,3700.0,206.0,0.0,60.0,0.0,509.0,3700.0,1368.0,2332.0,1,1,0,1,1,4,123.94,50.7,161.60375,131.7775,191.43,59.65250000000001,3,0,11,161.60375
2025-11-27,9,0.0,655.0,0.0,301.0,3397.0,178.0,0.0,135.0,0.0,655.0,3397.0,1924.0,1473.0,1,1,0,1,1,4,138.38,204.7,190.08749999999998,158.7,221.475,62.775,3,0,11,190.08749999999998
2025-11-27,10,0.0,492.0,0.0,492.0,3455.0,342.0,0.0,27.0,0.0,492.0,3455.0,1845.0,1610.0,1,1,0,1,1,4,134.0,384.5,83.54,31.505,135.575,104.07000000000001,3,0,11,83.54
2025-11-27,11,20.0,673.0,20.0,669.0,3333.0,607.0,74.0,326.0,0.0,736.0,3447.0,3011.0,436.0,0,0,0,0,1,1,150.0,148.2,84.7975,59.19,110.405,51.215,3,0,11,84.7975
2025-11-27,12,181.0,414.0,181.0,414.0,3085.0,701.0,171.0,204.0,0.0,414.0,3618.0,2147.0,1471.0,0,0,0,0,1,1,90.02,394.7,69.81125,32.3775,107.245,74.8675,3,0,11,69.81125
2025-11-27,13,73.0,3.0,73.0,3.0,2839.0,385.0,54.0,0.0,0.0,3.0,3039.0,394.0,2645.0,0,0,0,0,1,1,125.0,99.8,104.295,82.8425,125.7475,42.905,3,0,11,104.295
2025-11-27,14,0.0,422.0,0.0,108.0,3236.0,48.0,97.0,0.0,0.0,422.0,3333.0,1000.0,2333.0,1,1,0,0,1,3,134.0,203.5,119.74,96.98,142.5,45.519999999999996,3,0,11,119.74
2025-11-27,15,0.0,490.0,0.0,265.0,2963.0,218.0,266.0,0.0,0.0,490.0,3229.0,1463.0,1766.0,1,1,0,0,1,3,146.88,201.3,143.785,106.33250000000001,181.2375,74.90499999999999,3,0,11,143.785
2025-11-27,16,0.0,808.0,0.0,344.0,2816.0,356.0,324.0,0.0,0.0,808.0,3140.0,2316.0,824.0,1,1,0,0,1,3,149.9,208.6,193.35,171.57999999999998,215.12,43.54000000000001,3,0,11,193.35
2025-11-27,17,0.0,85.0,0.0,330.0,3652.0,257.0,104.0,0.0,0.0,330.0,3756.0,1002.0,2754.0,1,1,0,0,1,3,141.98,96.4,170.87625000000003,51.8975,289.855,237.9575,3,0,11,170.87625000000003
2025-11-27,18,0.0,12.0,3.0,0.0,811.0,0.0,0.0,28.0,0.0,12.0,814.0,52.0,762.0,1,0,0,1,1,3,136.41,245.2,141.005,72.675,209.335,136.66,3,0,11,141.005
2025-11-27,19,0.0,169.0,227.0,0.0,1056.0,20.0,0.0,147.0,0.0,169.0,1283.0,505.0,778.0,1,0,0,1,1,3,130.0,150.4,54.245000000000005,-107.7225,216.2125,323.935,3,0,11,54.245000000000005
2025-11-27,20,0.0,293.0,273.0,0.0,998.0,0.0,0.0,272.0,0.0,510.0,1271.0,1075.0,196.0,1,0,0,1,1,3,120.05,171.4,60.905,-46.495,168.305,214.8,3,0,11,60.905
2025-11-27,21,0.0,104.0,270.0,0.0,1946.0,151.0,0.0,152.0,0.0,205.0,2216.0,612.0,1604.0,1,0,0,1,1,3,118.54,65.7,182.88,59.510000000000005,306.25,246.74,3,0,11,182.88
2025-11-27,22,0.0,62.0,107.0,0.0,531.0,233.0,2.0,0.0,0.0,164.0,640.0,459.0,181.0,1,0,0,0,1,2,107.0,49.2,129.6575,47.337500000000006,211.9775,164.64,3,0,11,129.6575
2025-11-27,23,138.0,1040.0,459.0,0.0,781.0,200.0,138.0,0.0,0.0,1057.0,1516.0,2297.0,-781.0,0,0,0,0,1,1,82.0,114.3,131.00125,87.015,174.9875,87.9725,3,0,11,131.00125
