tradeday,hour,ceps_in,ceps_out,apg_in,apg_out,mavir_in,mavir_out,pse_in,pse_out,de_in,de_out,total_import_cap,total_export_cap,net_capacity,ceps_congested_in,apg_congested_in,mavir_congested_in,pse_congested_in,de_congested_in,congested_in_count,last_price,total_amount,idm_mid_price,idm_bid,idm_ask,idm_spread,dayofweek,is_weekend,month,idm_price,date,imbalance_mwh,imbalance_abs_mean,imbalance_std,imbalance_min,imbalance_max,n_periods,imbalance_sign,abs_imbalance,is_deficit
2025-11-26,16,1569.0,2202.0,2188.0,1609.0,2463.0,1521.0,0.0,1468.0,2569.0,1056.0,8789.0,7856.0,933.0,0,0,0,1,0,1,226.31,186.4,198.3975,143.57,253.225,109.65500000000002,2,0,11,198.3975,2025-11-26,7.551,2.69325,3.595541811280557,-1.611,6.837,4,1.0,7.551,0
2025-11-26,17,1677.0,2215.0,2609.0,1515.0,3115.0,1515.0,0.0,1700.0,2609.0,1515.0,10010.0,8460.0,1550.0,0,0,0,1,0,1,270.92,13.4,214.86125,165.3825,264.34000000000003,98.9575,2,0,11,214.86125,2025-11-26,22.02,5.505,5.20060977194021,1.103,12.77,4,1.0,22.02,0
2025-11-26,18,1434.0,1913.0,1968.0,1041.0,1968.0,1041.0,0.0,886.0,2593.0,212.0,7963.0,5093.0,2870.0,0,0,0,1,0,1,174.27,154.6,146.83875,64.505,229.1725,164.66750000000002,2,0,11,146.83875,2025-11-26,6.219,4.45775,5.4019518926032655,-3.183,8.0,4,1.0,6.219,0
2025-11-26,19,1860.0,2029.0,2332.0,1718.0,2378.0,1718.0,0.0,1452.0,1966.0,1560.0,8536.0,8477.0,59.0,0,0,0,1,0,1,151.34,232.7,104.8825,22.505,187.26,164.755,2,0,11,104.8825,2025-11-26,10.696000000000002,4.3825,4.729002784238272,-3.417,7.985,4,1.0,10.696000000000002,0
2025-11-26,20,1989.0,2024.0,2460.0,1432.0,2151.0,1432.0,0.0,600.0,1039.0,1909.0,7639.0,7397.0,242.0,0,0,0,1,0,1,130.32,251.3,136.38,103.7675,168.9925,65.225,2,0,11,136.38,2025-11-26,-22.330000000000002,7.0345,5.725778695222743,-9.589,2.904,4,-1.0,22.330000000000002,1
2025-11-26,21,1488.0,1750.0,2098.0,1268.0,1779.0,1268.0,529.0,104.0,1565.0,1248.0,7459.0,5638.0,1821.0,0,0,0,0,0,0,117.47,248.9,136.79875,93.645,179.9525,86.3075,2,0,11,136.79875,2025-11-26,-23.915000000000003,5.978750000000001,2.772825439270685,-8.563,-2.318,4,-1.0,23.915000000000003,1
2025-11-26,22,1059.0,1699.0,2222.0,936.0,1803.0,1021.0,1101.0,0.0,1355.0,1032.0,7540.0,4688.0,2852.0,0,0,0,0,0,0,102.27,142.9,109.225,92.035,126.415,34.379999999999995,2,0,11,109.225,2025-11-26,18.567999999999998,4.6419999999999995,2.9710718604570974,1.103,7.427,4,1.0,18.567999999999998,0
2025-11-26,23,1527.0,1596.0,2312.0,442.0,1227.0,940.0,1065.0,0.0,1149.0,778.0,7280.0,3756.0,3524.0,0,0,0,0,0,0,83.36,152.1,94.6375,52.2725,137.0025,84.72999999999999,2,0,11,94.6375,2025-11-26,11.086,5.34,6.638680315645071,-5.137,9.792,4,1.0,11.086,0
2025-11-27,0,1513.0,1905.0,1387.0,1325.0,1064.0,1621.0,1000.0,0.0,553.0,914.0,5517.0,5765.0,-248.0,0,0,0,0,0,0,84.0,44.6,119.5325,79.525,159.54,80.015,3,0,11,119.5325,2025-11-27,-40.679,10.16975,3.207781619229505,-13.282,-7.259,4,-1.0,40.679,1
2025-11-27,1,1395.0,1383.0,908.0,1408.0,893.0,2159.0,1000.0,0.0,327.0,1226.0,4523.0,6176.0,-1653.0,0,0,0,0,0,0,77.51,27.2,73.3375,72.5375,74.1375,1.599999999999998,3,0,11,73.3375,2025-11-27,-27.682,6.9205,3.843347369156215,-12.244,-3.277,4,-1.0,27.682,1
