month,rows,days
2024-02-01,506180,24
2024-03-01,575710,31
2024-04-01,804573,30
2024-05-01,480924,31
2024-06-01,461315,30
2024-07-01,408384,31
2024-08-01,460839,31
2024-09-01,517045,30
2024-10-01,618263,31
2024-11-01,539816,29
2024-12-01,611678,31
2025-01-01,596959,31
2025-02-01,532794,28
2025-03-01,707863,31
2025-04-01,645474,30
2025-05-01,711057,31
2025-06-01,478297,30
2025-07-01,533986,31
2025-08-01,606333,31
2025-09-01,210652,12
2025-11-01,146590,9
2025-12-01,666630,31
2026-01-01,698607,31
2026-02-01,639427,28
2026-03-01,173831,8
