update_hour,n_updates,n_days,avg_per_day
0,702991,685,1026.2642335766423
1,627938,684,918.0380116959064
2,576021,683,843.3689604685212
3,538961,683,789.108345534407
4,584258,684,854.1783625730994
5,579568,684,847.3216374269006
6,600707,684,878.2266081871345
7,623814,686,909.3498542274052
8,601054,685,877.451094890511
9,476402,685,695.4773722627738
10,453939,684,663.6535087719299
11,465613,683,681.7174231332357
12,416913,685,608.6321167883211
13,388308,685,566.8729927007299
14,355745,685,519.3357664233577
15,711982,689,1033.355587808418
16,617011,691,892.9247467438495
17,519638,691,752.0086830680174
18,510105,686,743.5932944606413
19,469307,685,685.1197080291971
20,443716,684,648.7076023391813
21,421052,687,612.8850072780203
22,877314,687,1277.0218340611355
23,770870,685,1125.3576642335765
