month,rev_enh,rev_end,rev_base,rev_pf,rev_naive,rev_enh_net,deg_cost,cap_enh,cap_base,n
2024-01,442.72999999999996,3182.62,3182.62,4463.82,2344.2,42.729999999999976,400.0,0.07760534035527392,0.7119532752425203,31
2024-02,226.02000000000004,3145.08,3145.08,3900.58,2109.24,26.020000000000024,200.0,0.05399745179283798,0.821604098131836,29
2024-03,1467.7600000000002,4415.14,4415.14,5268.13,2668.0499999999997,267.7600000000001,1200.0,0.22684822852078762,0.8329586242424346,31
2024-04,5118.21,6919.92,6806.01,7922.1,3764.9900000000002,2018.2099999999998,3100.0,0.6039191426143014,0.8582967274881367,30
2024-05,6698.740000000001,8313.550000000001,7259.62,9280.53,3196.7200000000003,3398.7400000000002,3300.0,0.6864148094524325,0.7919693231535311,31
2024-06,8499.88,9573.98,8343.16,11109.39,3851.79,4399.88,4100.0,0.7674366975488172,0.7572526023932454,30
2024-07,10293.14,11802.26,9950.49,16551.13,6682.03,6593.14,3700.0,0.6156664598031114,0.6051005254919987,31
2024-08,9569.81,10824.16,8373.77,13157.03,5508.71,5569.81,4000.0,0.6963182016665117,0.6074296484130772,31
2024-09,10400.36,11522.04,11018.87,13197.82,8200.57,6200.36,4200.0,0.738635078686974,0.8013967505121322,30
2024-10,9459.82,10116.1,10023.36,11354.84,6729.91,4359.82,5100.0,0.781655895975485,0.8690679192792163,31
2024-11,6563.52,8641.970000000001,8659.7,11029.51,4377.22,4063.52,2500.0,0.44444487045225206,0.7589003769959104,30
2024-12,7244.23,8295.69,8315.81,11331.95,4612.59,4244.23,3000.0,0.4910386269302756,0.7034834317069928,31
2025-01,6816.95,8374.88,7850.41,10326.22,4275.67,3516.9500000000003,3300.0,0.5151207146557646,0.7480658483970869,31
2025-02,5303.5199999999995,6219.349999999999,6101.679999999999,9444.42,2667.14,1903.5199999999998,3400.0,0.5021098849454916,0.6497804203869935,28
2025-03,7779.99,8882.52,8766.970000000001,10571.84,3844.51,3579.9900000000002,4200.0,0.7101765250380491,0.8359455514116395,31
2025-04,9137.199999999999,10427.57,9510.66,11389.93,4099.29,5337.2,3800.0,0.7604404884005349,0.835649528724129,30
2025-05,9364.55,10670.86,9697.23,11581.92,3032.02,5764.55,3600.0,0.7942657819560323,0.8441918533556864,31
2025-06,9258.01,10364.98,9203.02,11892.37,2671.14,5558.01,3700.0,0.7763886420817953,0.7643512622697551,30
2025-07,6856.05,8327.55,7480.54,9603.99,3930.43,3456.05,3400.0,0.6837485807713511,0.7633134156565946,31
2025-08,8855.47,9812.960000000001,9051.43,10527.17,3834.11,4855.47,4000.0,0.8307543867743514,0.8524977799244675,31
2025-09,11609.59,12585.289999999999,11678.17,13592.779999999999,7751.43,7009.59,4600.0,0.7934478403196589,0.8457638278925079,30
2025-10,6362.115000000001,7782.435,6887.18,9093.282500000001,4392.632500000001,3062.1150000000002,3300.0,0.5529694177996594,0.7131591140795496,31
2025-11,3670.935,5755.8099999999995,5714.825,6886.1125,1596.8824999999997,1870.935,1800.0,0.40110533783789054,0.828372623032662,30
2025-12,2026.4475000000002,4038.2225000000003,3943.9675,4727.74,1871.2525000000003,826.4475000000002,1200.0,0.26703442234177116,0.8203688766586344,31
2026-01,5720.64,7032.9400000000005,6942.77,8276.72,4096.7675,3020.64,2700.0,0.5123647048276049,0.8018771176180037,31
