target,feature,spearman_r,p_value,n_obs,abs_rho
DA-IDM,da_price,0.4618190463054676,0.0,15987,0.4618190463054676
DA-IDM,load_forecast_mw,-0.31750225368350377,0.0,15987,0.31750225368350377
DA-IDM,da_demand,0.27650217559030293,1.9382984868042536e-278,15987,0.27650217559030293
DA-IDM,sk_a_hydroreservoir,-0.2560364583773387,1.3547058992832537e-237,15981,0.2560364583773387
DA-IDM,sk_a_natgas,-0.2500898401393556,1.9947139297073874e-226,15981,0.2500898401393556
DA-IDM,da_supply,0.216117933529119,2.7040138472454465e-168,15987,0.216117933529119
DA-IDM,load_error_mw,-0.1140216503373958,2.1331427540770366e-47,15983,0.1140216503373958
DA-IDM,net_import,0.0849015990465505,5.7046241115866174e-27,15987,0.0849015990465505
DA-IDM,sk_a_nuclear,0.07258728535101654,4.0171875376882306e-20,15981,0.07258728535101654
DA-IDM,sk_a_solar,-0.05992085254654464,3.4181886835855155e-14,15982,0.05992085254654464
DA-IDM,temp_actual,-0.040688310635711995,5.392637148452024e-05,9843,0.040688310635711995
DA-Imbalance,da_price,0.48364369243126915,0.0,15979,0.48364369243126915
DA-Imbalance,da_demand,0.2601668627932621,1.6954198642614633e-245,15979,0.2601668627932621
DA-Imbalance,da_supply,0.2553377918532473,3.0813469005647772e-236,15979,0.2553377918532473
DA-Imbalance,load_error_mw,-0.16210775112908452,1.66776264394017e-94,15975,0.16210775112908452
DA-Imbalance,sk_a_solar,-0.11393764701444918,2.6443698845017067e-47,15974,0.11393764701444918
DA-Imbalance,sk_a_natgas,-0.07357118692399724,1.2766862907829947e-20,15973,0.07357118692399724
DA-Imbalance,sk_a_nuclear,0.07195479636736579,8.622623344556054e-20,15973,0.07195479636736579
DA-Imbalance,load_forecast_mw,-0.060792545386101765,1.4578305657483504e-14,15979,0.060792545386101765
DA-Imbalance,sk_a_hydroreservoir,-0.03491922284136606,1.013638297202514e-05,15973,0.03491922284136606
DA-Imbalance,temp_actual,-0.02259386384119437,0.031101626183872973,9104,0.02259386384119437
DA-Imbalance,net_import,-0.007591331062657054,0.3372846350769735,15979,0.007591331062657054
IDM-Imbalance,load_forecast_mw,0.2443804061758177,8.777771620273184e-206,15219,0.2443804061758177
IDM-Imbalance,sk_a_hydroreservoir,0.21711792801471316,9.521361605625598e-162,15213,0.21711792801471316
IDM-Imbalance,sk_a_natgas,0.15696705077909875,1.6309328216566688e-84,15213,0.15696705077909875
IDM-Imbalance,da_price,0.1447561725261289,4.709720324149768e-72,15219,0.1447561725261289
IDM-Imbalance,load_error_mw,-0.10313582124053748,2.935429994729262e-37,15215,0.10313582124053748
IDM-Imbalance,net_import,-0.10047293020024389,1.904937397756024e-35,15219,0.10047293020024389
IDM-Imbalance,da_supply,0.09683120074578962,4.9351566595336966e-33,15219,0.09683120074578962
IDM-Imbalance,sk_a_solar,-0.07503792783392202,1.899112856251698e-20,15214,0.07503792783392202
IDM-Imbalance,temp_actual,0.03594935409221827,0.0006040289188470578,9099,0.03594935409221827
IDM-Imbalance,sk_a_nuclear,0.027602736658005646,0.0006618396161575812,15213,0.027602736658005646
IDM-Imbalance,da_demand,0.026152343722536546,0.001252797143021442,15219,0.026152343722536546
