spread,lag_hours,autocorrelation
DA-IDM,1,0.9369351796362555
DA-IDM,2,0.8830935330646331
DA-IDM,3,0.8334315494987804
DA-IDM,6,0.6990934191477683
DA-IDM,12,0.5014555637420098
DA-IDM,24,0.2879341744040433
DA-IDM,48,0.08656201931827594
DA-IDM,168,-0.049180009834322996
DA-Imbalance,1,0.7042066082065488
DA-Imbalance,2,0.5799911240538649
DA-Imbalance,3,0.48780302304201956
DA-Imbalance,6,0.3408952834613945
DA-Imbalance,12,0.23643989590355355
DA-Imbalance,24,0.2159330354710933
DA-Imbalance,48,0.0774198795759905
DA-Imbalance,168,0.015350092813102425
IDM-Imbalance,1,0.6357005584226204
IDM-Imbalance,2,0.4910929281896679
IDM-Imbalance,3,0.38397382861925233
IDM-Imbalance,6,0.23133700528769963
IDM-Imbalance,12,0.14732360562272087
IDM-Imbalance,24,0.15866286433441248
IDM-Imbalance,48,0.05525137874348089
IDM-Imbalance,168,0.02953440733939315
