w_bess,w_spec,mean_daily,std_daily,sharpe,total_pnl
0.0000,1.0000,179.8995,564.4626,6.0889,70160.8000
0.0500,0.9500,183.9194,535.7935,6.5581,71728.5471
0.1000,0.9000,187.9392,507.2325,7.0788,73296.2943
0.1500,0.8500,191.9591,478.7989,7.6595,74864.0414
0.2000,0.8000,195.9789,450.5167,8.3108,76431.7885
0.2500,0.7500,199.9988,422.4165,9.0455,77999.5356
0.3000,0.7000,204.0187,394.5371,9.8794,79567.2827
0.3500,0.6500,208.0385,366.9289,10.8320,81135.0299
0.4000,0.6000,212.0584,339.6580,11.9278,82702.7770
0.4500,0.5500,216.0783,312.8125,13.1969,84270.5241
0.5000,0.5000,220.0981,286.5122,14.6764,85838.2713
0.5500,0.4500,224.1180,260.9220,16.4101,87406.0184
0.6000,0.4000,228.1379,236.2726,18.4472,88973.7655
0.6500,0.3500,232.1577,212.8911,20.8340,90541.5126
0.7000,0.3000,236.1776,191.2432,23.5939,92109.2597
0.7500,0.2500,240.1975,171.9847,26.6824,93677.0069
0.8000,0.2000,244.2173,156.0030,29.9082,95244.7540
0.8500,0.1500,248.2372,144.3903,32.8455,96812.5011
0.9000,0.1000,252.2570,138.2521,34.8593,98380.2483
0.9500,0.0500,256.2769,138.3190,35.3976,99947.9954
1.0000,0.0000,260.2968,144.5825,34.3953,101515.7425
