strategy,regime_type,regime_value,n_days,total_pnl,mean_daily,std_daily,win_rate,sharpe
BESS,high_vol,NormalVol,571,111257.1450,194.8461,95.6845,0.9947,38.9042
BESS,high_vol,HighVol,191,81065.3375,424.4259,203.2451,1.0000,39.8959
BESS,is_weekend,Weekday,545,155219.9450,284.8072,175.7981,0.9945,30.9516
BESS,is_weekend,Weekend,217,37102.5375,170.9794,90.9743,1.0000,35.9064
BESS,season,Shoulder,366,100437.7350,274.4200,163.6243,1.0000,32.0416
BESS,season,Summer,184,52402.4100,284.7957,132.8190,0.9946,40.9656
BESS,season,Winter,212,39482.3375,186.2374,172.9577,0.9906,20.5719
BESS,extreme_price,NormalPx,580,125556.2750,216.4763,117.6075,0.9948,35.1659
BESS,extreme_price,ExtremePx,182,66766.2075,366.8473,228.7379,1.0000,30.6403
Speculative,high_vol,NormalVol,283,49161.7850,173.7166,549.4000,0.6219,6.0409
Speculative,high_vol,HighVol,107,20999.0150,196.2525,604.8860,0.5514,6.1985
Speculative,is_weekend,Weekday,278,40366.0800,145.2017,552.3745,0.5719,5.0221
Speculative,is_weekend,Weekend,112,29794.7200,266.0243,587.0941,0.6786,8.6569
Speculative,season,Shoulder,183,36839.8900,201.3109,640.4786,0.6011,6.0049
Speculative,season,Summer,92,1479.8150,16.0849,201.2655,0.4891,1.5269
Speculative,season,Winter,115,31841.0950,276.8791,606.7107,0.6957,8.7188
Speculative,extreme_price,NormalPx,301,56456.1100,187.5618,565.6445,0.6179,6.3350
Speculative,extreme_price,ExtremePx,89,13704.6900,153.9853,562.8547,0.5506,5.2267
