strategy,total_pnl,annual_pnl,sharpe,sortino,max_drawdown,win_rate,profit_factor,avg_daily_pnl,std_daily_pnl,n_days
BESS baseline (gross),101515.74250000001,95073.39730288462,28.579423769762275,108.57763136350992,-56.70000000000073,0.9948717948717949,1704.8560339039934,260.29677564102565,144.58245364906972,390
BESS baseline (net),16397.330453456532,15356.730636217944,4.616291465554344,12.760247945541778,-5219.420795117503,0.5615384615384615,2.1767875019373757,42.04443706014496,144.58245364906972,390
Speculative (gross),70160.8,65708.2876923077,5.059353154909442,9.649115707388312,-3601.369999999999,0.6025641025641025,3.2561755912304076,179.89948717948718,564.462637208604,390
Speculative (net of txn costs),61929.8,57999.639615384614,4.471787604585556,8.707009565042188,-3649.369999999999,0.558974358974359,2.794829176950934,158.79435897435897,563.7079672772281,390
Portfolio baseline (gross),171676.5425,160781.6849951923,12.194765207392797,17.2531847871077,-3308.287500000006,0.8897435897435897,14.661335802842457,440.19626282051286,573.0244837073515,390
Portfolio baseline (net),78327.13045345653,73356.37025160255,5.569144074662759,10.219875557408901,-3866.164515742643,0.6615384615384615,3.468086375472268,200.83879603450393,572.4788234570137,390
BESS enhanced (gross),108880.8725,101971.12482211538,29.202601725076196,0.0,-39.97999999999956,0.9974358974358974,2724.3835042521287,279.18172435897435,151.76293267330837,390
BESS enhanced (net),23762.460453456533,22254.458155448712,6.373255951178794,18.064270435664696,-4532.840795117489,0.6256410256410256,2.9775705129439274,60.929385778093675,151.7629326733084,390
Portfolio enhanced (gross),179041.67250000002,167679.41251442308,12.624049423305292,17.314947623086255,-3253.1600000000035,0.9076923076923077,16.063930871809287,459.08121153846156,577.286103651037,390
Portfolio enhanced (net),85692.26045345652,80254.09777083331,6.04807576666916,11.122060021297049,-3823.2570157426453,0.676923076923077,3.87128652461029,219.7237447524526,576.713395974184,390
