Dátum;Zúčtovacia perióda;Veľkosť odchýlky sústavy (MWh);Zúčtovacia cena PNRE (EUR/MWh);Cena za PRE (EUR/MWh);Cena odchýlky sústavy (EUR/MWh);Zúčtovacia cena odchýlky (EUR/MWh);Platba SZ za odchýlku (EUR);Platba OKTE za odchýlku (EUR);Platba za odchýlku sústavy (EUR);Celkové náklady na RE (EUR);Platba za PRE (EUR);Saldo výnosov a nákladov za odchýlky a RE (EUR);Zúčtovanie v zvláštnom režime
1.2.2026;1;-2,545;-0,3387;-0,3387;89,5890;119,9220;-2753,6490;2446,4088;-307,2402;211,2583;-36,3357;132,3176;Nie
1.2.2026;2;6,106;1,1607;1,1607;116,0580;101,0200;-1660,2637;2272,7480;612,4843;-711,5395;124,5199;-25,4647;Nie
1.2.2026;3;-0,112;-0,2656;-0,2656;128,4950;128,4950;-2715,8703;2699,5515;-16,3189;180,3249;-28,4936;-135,5125;Nie
1.2.2026;4;-3,552;-0,5263;-0,5263;131,4100;131,4100;-2958,8276;2491,0080;-467,8196;351,8731;-56,4615;172,4080;Nie
1.2.2026;5;-4,654;-0,8655;-0,8655;153,0170;153,0170;-3470,5786;2758,8965;-711,6821;519,7253;-81,7465;273,7032;Nie
1.2.2026;6;4,672;0,7489;0,7489;104,1040;97,5142;-1352,0344;1806,9381;454,9037;-438,9147;70,7336;-86,7226;Nie
1.2.2026;7;-0,686;-0,2024;-0,2024;127,6970;127,6970;-2478,5988;2389,5940;-89,0048;127,7063;-19,1167;-19,5848;Nie
1.2.2026;8;-2,962;-0,4666;-0,4666;88,0850;107,2656;-2103,8002;1783,5051;-320,2951;293,9887;-44,0704;70,3768;Nie
1.2.2026;9;-2,601;-0,2295;-0,2295;66,7440;111,0450;-1881,4354;1576,1727;-305,2627;138,7526;-21,0392;187,5493;Nie
1.2.2026;10;-0,422;-0,0391;-0,0391;86,7240;109,5538;-1593,7887;1537,5876;-56,2011;23,2174;-3,5845;36,5682;Nie
1.2.2026;11;-0,900;-0,1688;-0,1688;87,6690;109,3290;-1466,7579;1359,5061;-107,2517;99,8110;-15,4746;22,9153;Nie
1.2.2026;12;6,820;0,9405;0,9405;96,3210;96,3210;-1383,6512;2034,9738;651,3226;-553,7278;86,2194;-183,8142;Nie
1.2.2026;13;0,751;0,1832;0,1832;94,7640;93,6400;-1704,5289;1768,7660;64,2370;-119,8205;16,5961;38,9874;Nie
1.2.2026;14;-1,852;-0,2973;-0,2973;161,5230;161,5230;-3061,0224;2748,9599;-312,0624;195,9740;-26,9324;143,0208;Nie
1.2.2026;15;-2,076;-0,3242;-0,3242;122,1900;122,1900;-2038,2514;1776,5204;-261,7310;214,2307;-29,3693;76,8696;Nie
1.2.2026;16;-1,476;-0,3122;-0,3122;99,7210;108,6140;-1984,1606;1814,9399;-169,2206;206,8478;-28,2822;-9,3450;Nie
1.2.2026;17;-1,253;-0,0473;-0,0473;97,8700;111,5903;-1827,2912;1680,3267;-146,9644;31,4146;-4,2926;119,8424;Nie
1.2.2026;18;-1,210;-0,3807;-0,3807;112,4300;112,4300;-2022,7281;1879,4923;-143,2358;254,6197;-34,5493;-76,8346;Nie
1.2.2026;19;1,709;0,1979;0,1979;94,7750;94,7750;-1451,4791;1609,1847;157,7056;-132,5782;17,9598;-43,0872;Nie
1.2.2026;20;-1,955;-0,4176;-0,4176;95,3050;111,5903;-1959,8604;1736,3451;-223,5154;281,1956;-37,8980;-19,7822;Nie
1.2.2026;21;3,411;0,6849;0,6849;96,6880;96,6880;-1641,0854;1966,4405;325,3551;-430,9625;66,8901;38,7173;Nie
1.2.2026;22;2,043;0,3079;0,3079;99,1660;95,4100;-1801,8179;1992,2562;190,4384;-193,2887;30,0707;-27,2204;Nie
1.2.2026;23;9,699;1,4947;1,4947;90,9240;90,9240;-1092,7246;1969,5048;876,7801;-899,3791;145,9784;-123,3794;Nie
1.2.2026;24;13,161;1,8201;1,8201;84,2830;84,2830;-1016,7058;2122,6674;1105,9615;-1100,3704;177,7582;-183,3494;Nie
1.2.2026;25;16,756;2,4635;2,4635;89,0980;89,0980;-1413,3616;2902,1892;1488,8276;-1631,7649;267,6716;-124,7343;Nie
1.2.2026;26;5,326;0,6899;0,6899;113,9290;96,6800;-1658,3520;2167,0822;508,7302;-470,0578;74,9611;-113,6334;Nie
1.2.2026;27;4,777;0,7715;0,7715;117,0630;96,1300;-1601,8142;2057,6627;455,8485;-499,4710;83,8273;-40,2048;Nie
1.2.2026;28;10,119;1,6131;1,6131;101,2740;99,8774;-1228,0925;2233,8579;1005,7654;-1045,5411;175,2714;-135,4957;Nie
1.2.2026;29;16,918;2,2824;2,2824;90,6780;90,6780;-1330,7903;2859,8934;1529,1031;-1494,3600;307,9779;-342,7210;Nie
1.2.2026;30;18,233;2,4757;2,4757;92,6280;92,6280;-1232,0450;2914,3548;1682,3097;-1645,4547;334,0611;-370,9161;Nie
1.2.2026;31;15,954;1,8812;1,8812;79,5760;79,5760;-1232,7118;2494,5484;1261,8366;-1261,4554;253,8416;-254,2228;Nie
1.2.2026;32;14,548;1,5934;1,5934;77,2460;77,2460;-1237,8672;2350,3640;1112,4969;-1094,1539;215,0070;-233,3500;Nie
1.2.2026;33;16,189;2,1079;2,1079;92,5900;92,5900;-1413,5715;2894,1782;1480,6067;-1459,1581;357,3987;-378,8473;Nie
1.2.2026;34;21,303;2,7104;2,7104;90,8540;90,8540;-1285,4932;3201,3315;1915,8383;-1908,1650;459,5537;-467,2270;Nie
1.2.2026;35;18,138;2,0418;2,0418;82,8210;82,8210;-1207,1989;2693,7530;1486,5541;-1506,1437;346,1913;-326,6017;Nie
1.2.2026;36;20,100;2,3346;2,3346;89,6270;89,6270;-1143,8198;2920,4958;1776,6760;-1753,7166;395,8361;-418,7955;Nie
1.2.2026;37;3,085;0,3824;0,3824;82,1980;82,1980;-1990,2602;2216,5513;226,2911;-295,9523;77,8142;-8,1530;Nie
1.2.2026;38;0,539;-0,1202;-0,1202;65,3460;65,3460;-1527,0053;1543,2765;16,2712;94,5383;-24,4594;-86,3501;Nie
1.2.2026;39;-8,094;-1,1548;-1,1548;109,5940;120,6150;-3748,7142;2732,6534;-1016,0608;912,0167;-234,9891;339,0332;Nie
1.2.2026;40;-4,443;-0,7015;-0,7015;128,2320;128,2320;-3815,1585;3195,4132;-619,7453;558,3802;-142,7475;204,1126;Nie
1.2.2026;41;-9,373;-1,4642;-1,4642;144,7790;144,7790;-5219,2830;3785,1022;-1434,1808;1147,2951;-330,1932;617,0789;Nie
1.2.2026;42;-4,164;-0,7885;-0,7885;116,7240;121,6380;-4840,2193;4262,3172;-577,9021;622,4632;-177,8154;133,2544;Nie
1.2.2026;43;-9,835;-1,3364;-1,3364;102,4910;120,7360;-5279,5438;4004,6924;-1274,8514;1087,0470;-301,3729;489,1773;Nie
1.2.2026;44;-14,542;-1,8993;-1,8993;100,1700;118,7010;-6292,5774;4480,1318;-1812,4456;1558,7629;-428,3130;681,9957;Nie
1.2.2026;45;-13,478;-1,5312;-1,5312;95,0120;127,4577;-5377,0580;3590,6109;-1786,4471;1306,8316;-352,4761;832,0916;Nie
1.2.2026;46;-2,256;-0,3095;-0,3095;86,2480;124,7003;-4694,0934;4347,4266;-346,6668;259,7438;-71,2457;158,1687;Nie
1.2.2026;47;-5,446;-0,5003;-0,5003;83,4410;121,3960;-5122,9112;4408,8599;-714,0513;418,2319;-115,1671;410,9864;Nie
1.2.2026;48;3,143;0,2879;0,2879;89,2150;89,2150;-3762,9995;4007,1809;244,1815;-239,0629;66,2734;-71,3920;Nie
1.2.2026;49;3,589;0,4988;0,4988;96,5370;96,5370;-3874,1263;4180,2452;306,1188;-409,8196;104,6742;-0,9734;Nie
1.2.2026;50;2,032;0,3075;0,3075;125,6950;105,9681;-4335,6848;4507,8830;172,1982;-249,3587;64,5295;12,6310;Nie
1.2.2026;51;-3,797;-0,4751;-0,4751;112,8670;118,7120;-4442,3218;3943,8501;-498,4717;380,0502;-99,7007;218,1222;Nie
1.2.2026;52;-9,488;-1,9854;-1,9854;158,3210;158,3210;-7017,2617;5453,8418;-1563,4199;1582,3806;-416,6402;397,6794;Nie
1.2.2026;53;-13,753;-1,7365;-1,7365;98,3310;113,0910;-5496,2226;3898,3599;-1597,8627;1387,5299;-325,9723;536,3051;Nie
1.2.2026;54;-6,200;-0,8635;-0,8635;111,5180;111,5180;-4826,1645;4088,9190;-737,2455;679,3051;-162,0945;220,0349;Nie
1.2.2026;55;-8,882;-1,2749;-1,2749;112,5680;114,0146;-4404,7260;3346,6706;-1058,0555;984,5378;-239,3217;312,8394;Nie
1.2.2026;56;-4,535;-0,5663;-0,5663;112,3440;112,3440;-4320,9749;3755,0982;-565,8767;433,2186;-106,3047;238,9628;Nie
1.2.2026;57;-1,289;-0,3535;-0,3535;90,8230;113,2796;-4454,2672;4247,0788;-207,1884;269,7815;-60,3403;-2,2528;Nie
1.2.2026;58;-8,799;-1,1883;-1,1883;109,4290;121,1099;-4981,6135;3855,1703;-1126,4432;900,1682;-202,8357;429,1107;Nie
1.2.2026;59;-5,597;-0,8704;-0,8704;115,2980;115,2980;-4431,5939;3741,9966;-689,5973;654,8053;-148,5721;183,3641;Nie
1.2.2026;60;-1,559;-0,1656;-0,1656;119,1000;119,1000;-4075,0065;3839,0694;-235,9371;123,2802;-28,2669;140,9238;Nie
1.2.2026;61;-3,802;-0,6844;-0,6844;126,0570;126,0570;-3842,9737;3306,4751;-536,4986;498,3388;-111,8857;150,0455;Nie
1.2.2026;62;-6,149;-1,0654;-1,0654;112,1860;121,1911;-3506,4221;2713,5899;-792,8322;779,1910;-174,1716;187,8128;Nie
1.2.2026;63;-15,980;-2,4261;-2,4261;106,6210;130,4897;-4499,8068;2370,3454;-2129,4614;1775,1826;-396,6188;750,8976;Nie
1.2.2026;64;6,354;0,9349;0,9349;112,7560;112,7560;-2499,5750;3179,9447;680,3697;-679,5844;152,8375;-153,6228;Nie
1.2.2026;65;6,633;0,8050;0,8050;94,9290;94,9290;-2098,4055;2716,4883;618,0827;-616,7410;138,8899;-140,2316;Nie
1.2.2026;66;2,944;0,3654;0,3654;90,2680;90,2680;-2079,6845;2331,7127;252,0283;-280,8450;63,0439;-34,2272;Nie
1.2.2026;67;4,010;0,3789;0,3789;63,0830;63,0830;-1276,6738;1520,5526;243,8789;-291,5351;65,3731;-17,7169;Nie
1.2.2026;68;10,885;1,1970;1,1970;91,9380;91,9380;-1679,0637;2665,3746;986,3109;-926,6929;206,5232;-266,1412;Nie
1.2.2026;69;0,265;0,2603;0,2603;183,0600;124,5800;-2789,2216;2798,9389;9,7172;-202,3246;48,3604;144,2470;Nie
1.2.2026;70;2,578;0,6847;0,6847;131,4490;127,2200;-2683,7059;2987,2528;303,5469;-533,3152;127,2084;102,5599;Nie
1.2.2026;71;1,096;0,5048;0,5048;155,2320;133,6000;-3125,0376;3253,8280;128,7904;-392,8499;93,7853;170,2742;Nie
1.2.2026;72;4,357;0,2591;0,2591;108,5380;108,5380;-2850,0993;3307,9126;457,8133;-200,6011;48,1374;-305,3496;Nie
1.2.2026;73;2,637;0,3436;0,3436;120,2510;120,2510;-2544,6314;2842,9741;298,3427;-270,8436;65,9375;-93,4367;Nie
