Date;Settlement Term;System Imbalance (MWh);SREC (EUR/MWh);SREC price (EUR/MWh);Imbalance Settlement Price (EUR/MWh);Payment of subject for imbalance (EUR);Payment of OKTE for imbalance (EUR);Payment for System Imbalance (EUR);Total Cost of RE (EUR);Payment for SREC (EUR);Balance of Revenues and Expenses for Imbalance and RE (EUR);Settlement in special mode
2/1/2024;1;1.033;-0.2564;-0.2564;-5.0000;-123.2850;118.2750;-5.0100;182.2557;-25.4918;-151.7539;No
2/1/2024;2;1.002;-0.3901;-0.3901;-1.2500;-21.6163;20.4038;-1.2125;275.1085;-38.7845;-235.1115;No
2/1/2024;3;0.995;-0.1873;-0.1873;-1.2500;-25.2513;24.0263;-1.2250;131.6968;-18.6217;-111.8501;No
2/1/2024;4;6.767;-0.0069;-0.0069;-5.0000;-133.5450;99.8800;-33.6650;4.8190;-0.6860;29.5320;No
2/1/2024;5;0.254;-0.2939;-0.2939;-5.0000;-106.0550;104.8900;-1.1650;213.7762;-26.5209;-186.0903;No
2/1/2024;6;0.130;-0.2806;-0.2806;0.0000;0.0000;0.0000;0.0000;202.9190;-25.3208;-177.5982;No
2/1/2024;7;0.146;-0.2877;-0.2877;0.0000;0.0000;0.0000;0.0000;207.3730;-25.9615;-181.4115;No
2/1/2024;8;4.737;-0.0049;-0.0049;-5.0000;-97.2200;73.6500;-23.5700;3.5213;-0.4422;20.4909;No
2/1/2024;9;-1.570;-0.4673;-0.4673;182.4150;-3,435.2393;3,145.7467;-289.4926;344.3865;-40.9523;-13.9416;No
2/1/2024;10;7.901;0.0000;0.0000;-1.2500;-20.9713;11.1263;-9.8450;0.0050;0.0000;9.8400;No
2/1/2024;11;-0.330;-0.3307;-0.3307;136.5000;-2,027.4345;1,978.8405;-48.5940;242.1760;-28.9812;-164.6008;No
2/1/2024;12;-0.249;-0.3457;-0.3457;136.5000;-1,942.9410;1,904.8575;-38.0835;252.4200;-30.2958;-184.0407;No
2/1/2024;13;-0.124;-0.2497;-0.2497;128.0000;-1,953.9200;1,933.0560;-20.8640;180.4033;-21.7771;-137.7622;No
2/1/2024;14;-4.012;-0.7174;-0.7174;129.0000;-2,366.2470;1,845.9900;-520.2570;523.2090;-62.5666;59.6146;No
2/1/2024;15;-6.124;-1.0885;-1.0885;129.0000;-2,442.6150;1,651.4580;-791.1570;794.6320;-94.9314;91.4564;No
2/1/2024;16;-2.664;-0.6063;-0.6063;132.0000;-1,810.7760;1,457.0160;-353.7600;441.1224;-52.8772;-34.4852;No
2/1/2024;17;8.405;-0.0181;-0.0181;-5.0000;-111.0500;69.2050;-41.8450;13.3613;-1.6570;30.1407;No
2/1/2024;18;2.331;-0.1660;-0.1660;-1.2500;-23.5950;20.7188;-2.8763;123.5388;-15.1971;-105.4654;No
2/1/2024;19;-0.550;-0.2568;-0.2568;144.2550;-2,536.0029;2,452.0465;-83.9564;192.3320;-23.5098;-84.8658;No
2/1/2024;20;-6.088;-1.0680;-1.0680;183.8700;-4,360.4771;3,239.0539;-1,121.4231;811.4271;-97.7743;407.7704;No
