Date;Settlement Term;System Imbalance (MWh);SREC (EUR/MWh);SREC price (EUR/MWh);System imbalance price (EUR/MWh);Imbalance Settlement Price (EUR/MWh);Payment of subject for imbalance (EUR);Payment of OKTE for imbalance (EUR);Payment for System Imbalance (EUR);Total Cost of RE (EUR);Payment for SREC (EUR);Balance of Revenues and Expenses for Imbalance and RE (EUR);Settlement in special mode
9/1/2024;1;-11.274;-2.6020;-2.6020;127.9423;198.6000;-4,129.2912;1,901.9922;-2,227.2990;1,333.4191;-173.1917;1,067.0716;No
9/1/2024;2;-0.035;-0.6096;-0.6096;127.6833;187.9950;-2,825.1889;2,817.4811;-7.7078;304.3996;-40.5756;-256.1162;No
9/1/2024;3;-3.316;-1.7000;-1.7000;127.3056;155.7750;-3,117.8366;2,600.8194;-517.0172;838.4578;-113.1537;-208.2869;No
9/1/2024;4;-4.388;-1.2642;-1.2642;127.2000;155.7750;-2,258.4260;1,569.9005;-688.5255;616.6018;-84.1464;156.0701;No
9/1/2024;5;-12.438;-3.1865;-3.1865;128.6222;183.0000;-3,950.2380;1,675.7310;-2,274.5070;1,540.7932;-180.6076;914.3214;No
9/1/2024;6;-7.470;-1.9502;-1.9502;128.2889;136.0950;-2,485.5030;1,470.7787;-1,014.7243;929.3213;-110.5354;195.9384;No
9/1/2024;7;-0.132;-0.3767;-0.3767;127.0622;136.0950;-2,323.1417;2,303.9523;-19.1894;175.6817;-21.3510;-135.1413;No
9/1/2024;8;-2.088;-0.6678;-0.6678;127.0000;136.0950;-2,150.3010;1,866.5429;-283.7581;311.7741;-37.8502;9.8342;No
9/1/2024;9;-6.342;-1.4547;-1.4547;128.9800;153.6750;-3,075.4978;2,106.8843;-968.6135;674.5350;-78.1654;372.2439;No
9/1/2024;10;-9.215;-2.5195;-2.5195;129.0000;131.7450;-2,835.1524;1,619.6730;-1,215.4794;1,169.1062;-135.3803;181.7535;No
9/1/2024;11;-2.996;-0.8803;-0.8803;129.0000;131.7450;-2,456.6490;2,057.7252;-398.9239;403.7618;-47.3012;42.4632;No
9/1/2024;12;-6.411;-1.7234;-1.7234;129.0178;131.7450;-2,420.8144;1,572.6401;-848.1743;797.3351;-92.6035;143.4427;No
9/1/2024;13;-5.851;-1.4442;-1.4442;126.4933;138.1650;-3,086.8824;2,276.2684;-810.6141;667.3007;-75.9274;219.2407;No
9/1/2024;14;-2.666;-0.8964;-0.8964;126.0000;138.1650;-2,422.4469;2,050.3686;-372.0783;413.0313;-47.1273;6.1744;No
9/1/2024;15;2.388;-0.2050;-0.2050;-3.1061;-3.1061;-57.7921;50.3716;-7.4205;93.0407;-10.7777;-74.8426;No
9/1/2024;16;-2.817;-0.9083;-0.9083;126.0000;138.1650;-2,500.2338;2,107.8452;-392.3886;418.7282;-47.7530;21.4134;No
9/1/2024;17;-3.904;-1.1068;-1.1068;126.0200;134.5800;-2,830.4866;2,305.7591;-524.7274;507.4118;-57.9067;75.2223;No
9/1/2024;18;-4.379;-0.3066;-0.3066;126.0000;146.9550;-212,142.4745;211,497.7830;-644.6916;577.4387;-16.0410;83.2939;No
9/1/2024;19;2.317;-0.2042;-0.2042;-2.9304;-2.9304;-59.0329;52.2930;-6.7399;92.6997;-10.6835;-75.2762;No
9/1/2024;20;-6.774;-1.8197;-1.8197;126.0000;134.5800;-3,049.9865;2,138.8799;-911.1066;839.6474;-95.2049;166.6641;No
9/1/2024;21;-5.390;-1.3642;-1.3642;126.1333;146.6250;-2,717.8410;1,927.8255;-790.0155;629.9813;-75.5494;235.5836;No
9/1/2024;22;-5.549;-1.4099;-1.4099;126.0000;133.8150;-2,493.3749;1,747.8915;-745.4834;655.7139;-78.0803;167.8497;No
9/1/2024;23;-2.007;-0.8351;-0.8351;126.0000;133.8150;-2,203.3978;1,931.8872;-271.5106;383.7341;-46.2478;-65.9756;No
9/1/2024;24;-0.136;-0.4439;-0.4439;126.0000;133.8150;-1,871.1351;1,849.5909;-21.5442;203.3051;-24.5832;-157.1777;No
9/1/2024;25;0.246;-0.2113;-0.2113;-2.9000;-2.9000;-52.9221;52.1072;-0.8149;97.9832;-13.4427;-83.7256;No
9/1/2024;26;-0.308;-0.5249;-0.5249;120.5422;128.2500;-1,966.0725;1,924.9043;-41.1683;248.6377;-33.3936;-174.0758;No
9/1/2024;27;0.932;-0.2714;-0.2714;-3.0131;-3.0131;-52.8558;50.1139;-2.7419;129.7312;-17.2662;-109.7231;No
9/1/2024;28;1.563;-0.4258;-0.4258;-3.8432;-3.8432;-68.7318;63.0631;-5.6687;205.9723;-27.0890;-173.2146;No
9/1/2024;29;-9.429;-2.2232;-2.2232;128.3233;158.2200;-3,578.6200;2,074.2642;-1,504.3558;1,108.9981;-183.1717;578.5293;No
9/1/2024;30;0.245;-0.4622;-0.4622;-2.9973;-2.9973;-61.0280;60.8242;-0.2038;234.1808;-38.0811;-195.8959;No
9/1/2024;31;2.635;-0.2762;-0.2762;-2.9136;-2.9136;-58.2312;51.1016;-7.1296;141.6801;-22.7564;-111.7941;No
9/1/2024;32;2.715;-0.1132;-0.1132;-3.7633;-3.7633;-74.8972;65.5040;-9.3932;59.3757;-9.3267;-40.6558;No
9/1/2024;33;-5.959;-1.2018;-1.2018;118.1244;179.6250;-4,289.6246;3,169.6628;-1,119.9619;651.5396;-133.1859;601.6082;No
9/1/2024;34;-1.766;-0.7695;-0.7695;125.8400;134.6550;-2,307.8520;2,037.4648;-270.3872;424.9270;-85.2775;-69.2622;No
9/1/2024;35;-3.972;-1.2415;-1.2415;119.9467;119.9467;-2,488.5342;1,959.4493;-529.0849;712.3621;-137.5855;-45.6917;No
9/1/2024;36;3.438;-0.1901;-0.1901;-2.9267;-2.9267;-73.0417;64.1738;-8.8679;109.8933;-21.0673;-79.9581;No
9/1/2024;37;-1.508;-0.4294;-0.4294;123.9422;159.4050;-3,628.2172;3,310.8419;-317.3754;255.0429;-59.2387;121.5712;No
9/1/2024;38;0.083;-0.4226;-0.4226;-3.0326;-3.0326;-64.2001;65.6285;1.4284;255.6911;-58.3006;-198.8188;No
9/1/2024;39;2.501;-0.2377;-0.2377;-3.5955;-3.5955;-71.8165;65.0138;-6.8027;146.3238;-32.7924;-106.7287;No
9/1/2024;40;9.393;-0.2559;-0.2559;-4.0489;-4.0489;-96.3476;60.5311;-35.8166;158.7362;-35.3032;-87.6164;No
9/1/2024;41;13.070;-0.1015;-0.1015;-5.0000;-5.0000;-136.9800;74.7850;-62.1950;68.1337;-15.8749;9.9362;No
9/1/2024;42;3.335;-0.0745;-0.0745;-3.1578;-3.1578;-56.9193;48.3270;-8.5924;51.6372;-11.6520;-31.3928;No
9/1/2024;43;8.303;-0.0592;-0.0592;-4.9556;-4.9556;-95.2119;57.3660;-37.8459;41.5185;-9.2591;5.5865;No
9/1/2024;44;25.049;-0.1794;-0.1794;-5.0000;-5.0000;-184.1500;62.2200;-121.9300;126.6310;-28.0587;23.3577;No
9/1/2024;45;15.729;-0.1046;-0.1046;-5.0000;-5.0000;-131.0200;55.8750;-75.1450;79.0970;-16.7968;12.8448;No
9/1/2024;46;11.000;-0.0717;-0.0717;-5.0000;-5.0000;-127.8900;76.3050;-51.5850;55.1158;-11.5137;7.9829;No
9/1/2024;47;3.159;-0.1082;-0.1082;-4.0756;-11.5200;-267.9206;240.0192;-27.9014;83.8227;-17.3749;-38.5464;No
