Delivery day;Period number;Period;Period (min);Price SK (EUR/MWh);Demand successful (MW);Supply successful (MW);Flow CZ ➝ SK (MW);Flow SK ➝ CZ (MW);Flow PL ➝ SK (MW);Flow SK ➝ PL (MW);Flow HU ➝ SK (MW);Flow SK ➝ HU (MW);Publication status
1.1.2026;1;00:00 - 00:15;15;106.27;793.6;1,501.5;0.0;0.0;0.0;0.0;0.0;707.9;Final
1.1.2026;2;00:15 - 00:30;15;101.46;768.1;1,501.4;0.0;0.0;0.0;0.0;0.0;733.3;Final
1.1.2026;3;00:30 - 00:45;15;101.80;748.9;1,502.5;0.0;0.0;0.0;0.0;0.0;753.6;Final
1.1.2026;4;00:45 - 01:00;15;95.04;729.8;1,504.5;0.0;0.0;182.3;0.0;0.0;957.0;Final
1.1.2026;5;01:00 - 01:15;15;101.95;708.2;1,514.2;0.0;0.0;68.6;0.0;0.0;874.6;Final
1.1.2026;6;01:15 - 01:30;15;100.55;690.0;1,517.4;0.0;0.0;0.0;0.0;0.0;827.4;Final
1.1.2026;7;01:30 - 01:45;15;95.51;673.0;1,523.0;0.0;0.0;0.0;407.3;0.0;442.7;Final
1.1.2026;8;01:45 - 02:00;15;88.98;654.6;1,527.5;0.0;0.0;4,840.3;0.0;0.0;5,713.2;Final
1.1.2026;9;02:00 - 02:15;15;100.02;693.9;1,297.4;0.0;0.0;501.4;0.0;0.0;1,104.9;Final
1.1.2026;10;02:15 - 02:30;15;92.43;673.8;1,310.8;0.0;0.0;4,814.7;0.0;0.0;5,451.7;Final
1.1.2026;11;02:30 - 02:45;15;88.99;661.7;1,319.1;0.0;0.0;924.6;0.0;0.0;1,582.0;Final
1.1.2026;12;02:45 - 03:00;15;82.09;663.3;1,330.4;0.0;0.0;0.0;667.1;0.0;0.0;Final
1.1.2026;13;03:00 - 03:15;15;85.07;646.6;1,352.9;0.0;0.0;0.0;0.0;0.0;706.3;Final
1.1.2026;14;03:15 - 03:30;15;80.43;654.2;1,362.9;0.0;0.0;0.0;0.0;0.0;708.7;Final
1.1.2026;15;03:30 - 03:45;15;53.99;663.8;1,367.9;0.0;0.0;695.3;0.0;0.0;1,399.4;Final
1.1.2026;16;03:45 - 04:00;15;53.52;670.3;1,365.5;0.0;0.0;4,747.2;0.0;0.0;5,442.4;Final
1.1.2026;17;04:00 - 04:15;15;55.51;773.0;1,362.5;0.0;0.0;4,721.7;0.0;0.0;5,311.2;Final
1.1.2026;18;04:15 - 04:30;15;48.40;774.1;1,359.0;0.0;0.0;0.0;0.0;0.0;584.9;Final
1.1.2026;19;04:30 - 04:45;15;48.98;774.2;1,355.4;0.0;0.0;0.0;0.0;0.0;581.2;Final
