Delivery day;Period number;Period;Buy Orders (MW);Sell Orders (MW);Buy trades (MW);Sell trades (MW);Traded Quantity Difference (MW);Weighted average price of all trades (EUR/MWh);Total Traded Quantity (MW)
1.11.2025;1;00:00 - 00:15;41.9;31.1;0.2;6.1;-5.9;113.50;6.3
1.11.2025;2;00:15 - 00:30;41.8;79.4;0.0;6.5;-6.5;100.26;6.5
1.11.2025;3;00:30 - 00:45;22.1;77.4;0.0;16.1;-16.1;99.41;16.1
1.11.2025;4;00:45 - 01:00;21.2;58.9;0.0;13.3;-13.3;84.88;13.3
1.11.2025;5;01:00 - 01:15;36.2;170.0;0.0;5.0;-5.0;88.08;5.0
1.11.2025;6;01:15 - 01:30;20.0;215.0;0.0;5.0;-5.0;80.02;5.0
1.11.2025;7;01:30 - 01:45;20.0;75.0;0.0;5.0;-5.0;78.31;5.0
1.11.2025;8;01:45 - 02:00;50.0;150.0;0.0;5.0;-5.0;67.49;5.0
1.11.2025;9;02:00 - 02:15;133.4;55.0;0.0;5.0;-5.0;77.95;5.0
1.11.2025;10;02:15 - 02:30;205.4;34.7;0.0;8.0;-8.0;65.95;8.0
1.11.2025;11;02:30 - 02:45;106.1;351.9;0.2;10.2;-10.0;63.82;10.4
1.11.2025;12;02:45 - 03:00;323.4;431.4;0.0;14.7;-14.7;73.04;14.7
1.11.2025;13;03:00 - 03:15;124.2;55.0;0.0;5.0;-5.0;71.79;5.0
1.11.2025;14;03:15 - 03:30;40.0;75.0;0.0;5.0;-5.0;73.86;5.0
1.11.2025;15;03:30 - 03:45;100.0;114.0;0.0;13.2;-13.2;73.47;13.2
1.11.2025;16;03:45 - 04:00;30.0;79.4;0.0;5.0;-5.0;70.66;5.0
1.11.2025;17;04:00 - 04:15;216.2;77.3;22.0;27.6;-5.6;70.42;49.6
1.11.2025;18;04:15 - 04:30;143.2;96.7;13.1;18.0;-4.9;71.91;31.1
1.11.2025;19;04:30 - 04:45;221.2;65.5;8.1;10.0;-1.9;69.54;18.1
1.11.2025;20;04:45 - 05:00;356.2;77.8;22.4;22.0;0.4;61.86;44.4
1.11.2025;21;05:00 - 05:15;35.0;208.7;0.0;12.9;-12.9;78.43;12.9
1.11.2025;22;05:15 - 05:30;83.8;215.6;0.0;6.0;-6.0;55.14;6.0
1.11.2025;23;05:30 - 05:45;60.0;240.6;0.0;36.0;-36.0;64.88;36.0
1.11.2025;24;05:45 - 06:00;63.2;284.2;0.0;44.6;-44.6;79.37;44.6
1.11.2025;25;06:00 - 06:15;26,450.4;105.5;13.2;28.3;-15.1;64.27;41.5
1.11.2025;26;06:15 - 06:30;150.4;85.0;7.1;16.8;-9.7;83.70;23.9
1.11.2025;27;06:30 - 06:45;308.4;130.9;18.7;33.8;-15.1;81.55;52.5
1.11.2025;28;06:45 - 07:00;218.6;160.2;36.0;49.9;-13.9;69.65;85.9
1.11.2025;29;07:00 - 07:15;103.6;224.7;35.3;42.8;-7.5;94.95;78.1
1.11.2025;30;07:15 - 07:30;575.7;261.7;49.5;71.9;-22.4;81.52;121.4
1.11.2025;31;07:30 - 07:45;284.1;272.9;59.3;79.8;-20.5;70.82;139.1
1.11.2025;32;07:45 - 08:00;389.8;289.1;52.7;86.6;-33.9;45.28;139.3
1.11.2025;33;08:00 - 08:15;154.1;913.7;11.1;81.6;-70.5;67.95;92.7
1.11.2025;34;08:15 - 08:30;506.7;383.4;40.7;46.8;-6.1;59.85;87.5
1.11.2025;35;08:30 - 08:45;413.3;1,333.6;57.1;67.3;-10.2;44.51;124.4
1.11.2025;36;08:45 - 09:00;359.5;301.1;81.9;97.2;-15.3;21.03;179.1
1.11.2025;37;09:00 - 09:15;354.4;391.3;66.2;106.5;-40.3;57.75;172.7
1.11.2025;38;09:15 - 09:30;331.7;511.9;39.2;83.6;-44.4;43.22;122.8
1.11.2025;39;09:30 - 09:45;484.6;489.7;61.1;116.6;-55.5;25.64;177.7
1.11.2025;40;09:45 - 10:00;524.3;427.0;67.2;102.6;-35.4;13.46;169.8
1.11.2025;41;10:00 - 10:15;330.1;595.5;14.4;37.4;-23.0;11.49;51.8
1.11.2025;42;10:15 - 10:30;718.1;397.0;31.8;55.6;-23.8;9.02;87.4
1.11.2025;43;10:30 - 10:45;250.1;232.2;14.1;49.5;-35.4;-15.39;63.6
1.11.2025;44;10:45 - 11:00;220.1;216.4;18.2;31.0;-12.8;-6.75;49.2
1.11.2025;45;11:00 - 11:15;242.1;901.5;71.7;161.6;-89.9;16.87;233.3
1.11.2025;46;11:15 - 11:30;391.5;641.2;69.7;170.9;-101.2;16.37;240.6
1.11.2025;47;11:30 - 11:45;215.0;681.4;59.7;123.9;-64.2;16.56;183.6
1.11.2025;48;11:45 - 12:00;381.1;517.8;79.5;146.0;-66.5;16.22;225.5
1.11.2025;49;12:00 - 12:15;282.8;430.0;24.0;96.9;-72.9;24.58;120.9
1.11.2025;50;12:15 - 12:30;367.4;533.8;17.5;67.0;-49.5;26.39;84.5
1.11.2025;51;12:30 - 12:45;152.4;510.1;74.0;70.9;3.1;23.11;144.9
1.11.2025;52;12:45 - 13:00;289.8;743.3;91.0;97.7;-6.7;24.70;188.7
1.11.2025;53;13:00 - 13:15;122.7;336.7;27.1;50.9;-23.8;22.37;78.0
1.11.2025;54;13:15 - 13:30;196.5;492.3;37.4;51.8;-14.4;30.47;89.2
1.11.2025;55;13:30 - 13:45;1,475.5;298.1;68.0;80.1;-12.1;40.74;148.1
1.11.2025;56;13:45 - 14:00;201.8;1,351.7;77.1;77.8;-0.7;43.26;154.9
1.11.2025;57;14:00 - 14:15;541.5;322.9;44.6;69.4;-24.8;45.43;114.0
1.11.2025;58;14:15 - 14:30;1,479.0;276.6;50.0;60.4;-10.4;56.01;110.4
1.11.2025;59;14:30 - 14:45;1,159.1;467.4;38.0;36.5;1.5;64.48;74.5
1.11.2025;60;14:45 - 15:00;1,379.8;699.7;57.6;55.5;2.1;80.88;113.1
1.11.2025;61;15:00 - 15:15;922.8;441.1;62.3;86.8;-24.5;58.96;149.1
1.11.2025;62;15:15 - 15:30;1,078.8;310.7;57.4;88.5;-31.1;72.46;145.9
