X,A,Y,rule,total_rev,rev_per_mwh,n_curtailed,pct_curtailed
-5,,,rule1_only,83909.81857022727,30.64191446473389,8039,80.42216886754701
-5,0.0,-20.0,combined,78893.7684022598,28.81016958890586,8201,82.04281712685074
-5,0.0,-18.0,combined,79145.60994050148,28.902136262233967,8193,81.96278511404562
-5,0.0,-16.0,combined,79731.5621953065,29.116112399688326,8179,81.82272909163666
-5,0.0,-14.0,combined,80468.99237024735,29.38540475103979,8161,81.64265706282514
-5,0.0,-12.0,combined,81111.08683189208,29.619882716875583,8141,81.44257703081233
-5,0.0,-10.0,combined,81554.91950200853,29.781960086915184,8127,81.30252100840336
-5,0.0,-8.0,combined,82474.41146212329,30.11773716846454,8096,80.9923969587835
-5,0.0,-6.0,combined,83560.26736718626,30.514266494006087,8054,80.57222889155662
-5,5.0,-20.0,combined,72737.55660578841,26.562064200185663,8284,82.87314925970388
-5,5.0,-18.0,combined,73173.20421166348,26.721152575103524,8269,82.72308923569427
-5,5.0,-16.0,combined,73791.90448650107,26.947087527936414,8253,82.56302521008404
-5,5.0,-14.0,combined,74677.40739565965,27.27045259847344,8231,82.34293717486995
-5,5.0,-12.0,combined,75469.94307319584,27.55986819792428,8207,82.10284113645459
-5,5.0,-10.0,combined,78386.23418710209,28.624829895961913,8181,81.84273709483793
-5,5.0,-8.0,combined,81138.38830797627,29.62985258106058,8131,81.34253701480593
-5,5.0,-6.0,combined,83336.37970911832,30.43250792766518,8065,80.68227290916367
-5,10.0,-20.0,combined,70899.61540883002,25.890890815377606,8332,83.35334133653461
-5,10.0,-18.0,combined,71789.11246890275,26.21571445694667,8310,83.13325330132054
-5,10.0,-16.0,combined,72575.24389834303,26.50279137392019,8290,82.93317326930773
-5,10.0,-14.0,combined,73900.74772757964,26.98683454848804,8260,82.6330532212885
-5,10.0,-12.0,combined,74832.61149169333,27.327129525158245,8232,82.35294117647058
-5,10.0,-10.0,combined,77900.13145097929,28.447316480784142,8200,82.0328131252501
-5,10.0,-8.0,combined,80782.05938160385,29.499729543384404,8144,81.47258903561423
-5,10.0,-6.0,combined,83272.04275225828,30.40901356714077,8069,80.72228891556622
-5,15.0,-20.0,combined,68689.5612011136,25.08383041232603,8381,83.84353741496598
-5,15.0,-18.0,combined,69750.79796021097,25.471369398265768,8354,83.5734293717487
-5,15.0,-16.0,combined,70843.33533575578,25.870338641453326,8328,83.31332533013205
-5,15.0,-14.0,combined,72438.77344115727,26.452955536502074,8293,82.96318527410963
-5,15.0,-12.0,combined,73748.18046688629,26.93112053275135,8258,82.61304521808724
-5,15.0,-10.0,combined,77080.60080073967,28.14804294505539,8221,82.24289715886354
-5,15.0,-8.0,combined,80260.8951205168,29.309412474626352,8157,81.60264105642257
