X,A,Y,F,rule,total_rev,rev_per_mwh,n_curtailed,pct_curtailed
5,,,,rule1_only,137888.53729558457,50.35368729754038,4573,45.74829931972789
5,0.0,-10.0,,rule12,136065.42471879596,49.68792897998684,4886,48.87955182072829
5,0.0,-7.0,,rule12,136951.81352768524,50.011617560504405,4841,48.42937174869948
5,0.0,-4.0,,rule12,137982.60975329415,50.388040371492174,4788,47.89915966386555
5,0.0,-1.0,,rule12,138159.62993883813,50.45268402674487,4719,47.208883553421366
5,0.0,2.0,,rule12,137995.96120092404,50.39291600968597,4646,46.47859143657463
5,5.0,-10.0,,rule12,133828.90233663912,48.87120301513261,5120,51.220488195278115
5,5.0,-7.0,,rule12,135158.9567290101,49.356907949536264,5046,50.48019207683073
5,5.0,-4.0,,rule12,137223.27000999678,50.11074715527198,4947,49.48979591836735
5,5.0,-1.0,,rule12,137708.3232395119,50.28787731504233,4824,48.25930372148859
5,5.0,2.0,,rule12,137641.63126164564,50.26352295561118,4702,47.038815526210485
5,10.0,-10.0,,rule12,132766.30477175,48.483167094562525,5217,52.190876350540215
5,10.0,-7.0,,rule12,134418.87023795123,49.08664557330969,5131,51.330532212885146
5,10.0,-4.0,,rule12,136773.115967667,49.94636136710014,5016,50.18007202881153
5,10.0,-1.0,,rule12,137245.45155997147,50.11884734150288,4877,48.789515806322534
5,10.0,2.0,,rule12,137378.41092105274,50.16740100827226,4736,47.37895158063225
5,15.0,-10.0,,rule12,131410.48723092157,47.988054057450185,5285,52.871148459383754
5,15.0,-7.0,,rule12,133470.07024613267,48.740165880124415,5187,51.89075630252101
5,15.0,-4.0,,rule12,136022.56251412362,49.67227669957772,5059,50.610244097639054
5,15.0,-1.0,,rule12,136772.73589387804,49.94622257299082,4908,49.09963985594238
5,15.0,2.0,,rule12,137262.5428671037,50.12508868941854,4747,47.4889955982393
5,20.0,-10.0,,rule12,130249.1068090587,47.563944934654806,5356,53.58143257302921
5,20.0,-7.0,,rule12,132546.21754666755,48.40279635797092,5247,52.49099639855942
5,20.0,-4.0,,rule12,135544.46628132398,49.4976870732267,5101,51.03041216486594
5,20.0,-1.0,,rule12,136593.073485422,49.880614039374095,4938,49.39975990396158
5,20.0,2.0,,rule12,137148.30628210076,50.08337214508501,4765,47.66906762705082
5,25.0,-10.0,,rule12,129377.8087817767,47.24576715665232,5422,54.24169667867147
5,25.0,-7.0,,rule12,131869.32737823587,48.15561180917174,5303,53.051220488195284
5,25.0,-4.0,,rule12,135031.29165145935,49.31028763199656,5149,51.510604241696676
5,25.0,-1.0,,rule12,136255.0883675509,49.75718973398733,4970,49.719887955182074
5,25.0,2.0,,rule12,137014.82910745277,50.03462938484253,4782,47.8391356542617
5,30.0,-10.0,,rule12,127839.2579883894,46.68392418506771,5492,54.94197679071628
5,30.0,-7.0,,rule12,130754.93327114986,47.74866099589172,5359,53.611444577831136
5,30.0,-4.0,,rule12,134314.88146500193,49.04867129163086,5189,51.91076430572229
5,30.0,-1.0,,rule12,135788.41526809867,49.586771570296044,4996,49.97999199679872
5,30.0,2.0,,rule12,136813.60762457695,49.96114797859223,4796,47.979191676670666
5,35.0,-10.0,,rule12,127239.87273230271,46.46504262792241,5529,55.312124849939984
5,35.0,-7.0,,rule12,130409.26104362078,47.62242953681741,5389,53.91156462585034
5,35.0,-4.0,,rule12,134023.36297408974,48.942215517853406,5214,52.160864345738304
5,35.0,-1.0,,rule12,135603.56509076816,49.5192685841251,5013,50.150060024009605
5,35.0,2.0,,rule12,136682.00132795252,49.91308841949771,4803,48.04921968787515
5,40.0,-10.0,,rule12,126527.99171048962,46.20508023316157,5580,55.82232893157263
5,40.0,-7.0,,rule12,129736.94331709098,47.37691473747115,5437,54.39175670268107
5,40.0,-4.0,,rule12,133518.74089651264,48.75793926983372,5254,52.5610244097639
5,40.0,-1.0,,rule12,135237.4633297848,49.38557673451096,5044,50.460184073629456
5,40.0,2.0,,rule12,136500.66742214243,49.84686949391705,4816,48.17927170868347
5,45.0,-10.0,,rule12,125256.47804799711,45.74075301197675,5644,56.4625850340136
5,45.0,-7.0,,rule12,128700.1541527719,46.998303444628945,5493,54.951980792316924
5,45.0,-4.0,,rule12,132824.80228563608,48.5045290263059,5296,52.9811924769908
5,45.0,-1.0,,rule12,134750.47271444398,49.20773908648992,5072,50.74029611844738
5,45.0,2.0,,rule12,136265.0509096689,49.76082782269534,4832,48.33933573429372
5,50.0,-10.0,,rule12,124010.98001241643,45.2859260927609,5709,57.11284513805522
5,50.0,-7.0,,rule12,127828.95105025248,46.680160330942336,5547,55.4921968787515
5,50.0,-4.0,,rule12,132145.9370777157,48.25662323901392,5341,53.431372549019606
5,50.0,-1.0,,rule12,134346.87118080378,49.06035319193828,5105,51.07042817126851
5,50.0,2.0,,rule12,136158.74746884525,49.72200827813514,4844,48.4593837535014
5,55.0,-10.0,,rule12,122309.81008677812,44.664698395697535,5760,57.62304921968787
5,55.0,-7.0,,rule12,126428.31551454475,46.16868080431813,5590,55.922368947579024
5,55.0,-4.0,,rule12,131111.84230875364,47.878995876699406,5372,53.74149659863946
5,55.0,-1.0,,rule12,133999.20548344738,48.9333937640401,5122,51.24049619847939
5,55.0,2.0,,rule12,135964.13973667083,49.650942059841825,4854,48.5594237695078
5,60.0,-10.0,,rule12,120903.7671973508,44.15124422924,5817,58.19327731092437
5,60.0,-7.0,,rule12,125327.30966057035,45.766619069737935,5635,56.372549019607845
5,60.0,-4.0,,rule12,130136.27941731566,47.522742994929764,5412,54.14165666266506
