,actual,forecast,error
2026-03-21 09:00:00+00:00,236.5,155.0,-81.5
2026-03-21 09:15:00+00:00,241.925,155.0,-86.92500000000001
2026-03-21 09:30:00+00:00,247.35,155.0,-92.35
2026-03-21 10:00:00+00:00,258.2,155.0,-103.19999999999999
2026-03-21 10:15:00+00:00,246.79999999999998,152.325,-94.475
2026-03-21 10:30:00+00:00,235.39999999999998,149.65,-85.74999999999997
2026-03-21 11:00:00+00:00,212.6,144.3,-68.29999999999998
2026-03-21 11:15:00+00:00,194.05,141.05,-53.0
2026-03-21 11:30:00+00:00,175.5,137.8,-37.69999999999999
2026-03-21 12:00:00+00:00,138.4,131.3,-7.099999999999994
2026-03-21 12:15:00+00:00,124.5,126.30000000000001,1.8000000000000114
2026-03-21 12:30:00+00:00,110.6,121.30000000000001,10.700000000000017
2026-03-21 13:00:00+00:00,82.8,111.3,28.5
2026-03-21 13:15:00+00:00,74.975,101.425,26.450000000000003
2026-03-21 13:30:00+00:00,67.15,91.55,24.39999999999999
2026-03-21 14:00:00+00:00,51.5,71.8,20.299999999999997
2026-03-21 14:15:00+00:00,44.875,61.974999999999994,17.099999999999994
2026-03-21 14:30:00+00:00,38.25,52.15,13.899999999999999
2026-03-21 15:00:00+00:00,25.0,32.5,7.5
2026-03-21 15:15:00+00:00,19.775,25.45,5.675000000000001
2026-03-21 15:30:00+00:00,14.55,18.4,3.849999999999998
2026-03-21 16:00:00+00:00,4.1,4.3,0.20000000000000018
2026-03-21 16:15:00+00:00,3.1499999999999995,3.2249999999999996,0.07500000000000018
2026-03-21 16:30:00+00:00,2.1999999999999997,2.15,-0.04999999999999982
2026-03-21 17:00:00+00:00,0.3,0.0,-0.3
2026-03-21 17:15:00+00:00,0.3,0.0,-0.3
2026-03-21 17:30:00+00:00,0.3,0.0,-0.3
2026-03-21 18:00:00+00:00,0.3,0.0,-0.3
2026-03-21 18:15:00+00:00,0.275,0.0,-0.275
2026-03-21 18:30:00+00:00,0.25,0.0,-0.25
2026-03-21 19:00:00+00:00,0.2,0.0,-0.2
2026-03-21 19:15:00+00:00,0.17500000000000002,0.0,-0.17500000000000002
2026-03-21 19:30:00+00:00,0.15000000000000002,0.0,-0.15000000000000002
2026-03-21 20:00:00+00:00,0.1,0.0,-0.1
2026-03-21 20:15:00+00:00,0.1,0.0,-0.1
2026-03-21 20:30:00+00:00,0.1,0.0,-0.1
2026-03-21 21:00:00+00:00,0.1,0.0,-0.1
2026-03-21 21:15:00+00:00,0.1,0.0,-0.1
