feature,importance,pct
load_deviation,1407,4.538709677419355
proxy_yesterday,1260,4.064516129032258
load_rmean16,1220,3.9354838709677415
load_momentum,1167,3.764516129032258
solar_surprise_lag,1124,3.6258064516129034
proxy_rmean32,1103,3.5580645161290323
solar_surprise_rmean4,1095,3.532258064516129
load_rmean4,1085,3.5000000000000004
proxy_yesterday_2,1013,3.267741935483871
reg_vol_rmean4,1003,3.235483870967742
hour_cos,940,3.032258064516129
hour_sin,881,2.841935483870968
proxy_rstd8,848,2.735483870967742
proxy_lag23,761,2.4548387096774196
month_cos,660,2.129032258064516
month_sin,631,2.0354838709677416
proxy_lag16,628,2.0258064516129033
proxy_momentum4,622,2.0064516129032257
proxy_lag20,618,1.9935483870967743
proxy_rmax4,605,1.9516129032258065
proxy_lag22,596,1.9225806451612906
proxy_rmin4,591,1.9064516129032256
proxy_rmean16,587,1.8935483870967742
proxy_lag17,556,1.793548387096774
proxy_lag21,542,1.7483870967741935
proxy_lag18,537,1.732258064516129
qh_in_hour,532,1.7161290322580645
proxy_lag15,530,1.7096774193548387
proxy_lag14,510,1.6451612903225807
proxy_range4,504,1.6258064516129032
proxy_lag13,491,1.5838709677419356
proxy_lag19,465,1.5
proxy_rstd4,445,1.435483870967742
proxy_acceleration,443,1.429032258064516
proxy_lag12,435,1.403225806451613
proxy_rmean8,417,1.3451612903225807
proxy_lag11,406,1.3096774193548388
proxy_lag9,391,1.261290322580645
proxy_dev_from_hour,386,1.2451612903225806
proxy_lag10,360,1.1612903225806452
proxy_momentum,348,1.1225806451612903
proxy_lag8,310,1.0
proxy_pos_ratio_16,263,0.8483870967741937
reg_rmean8,262,0.8451612903225806
proxy_rmean4,246,0.7935483870967742
reg_momentum,223,0.7193548387096774
reg_rstd8,199,0.6419354838709678
proxy_lag8_pos,184,0.5935483870967742
reg_rmean4,163,0.5258064516129033
proxy_lag8_neg,153,0.4935483870967742
is_weekend,146,0.4709677419354839
proxy_pos_ratio_8,86,0.27741935483870966
proxy_pos_ratio_4,22,0.07096774193548387
