condition,group,correlation,p_value,n_samples
hour,0,-0.5686397794419576,9.784993919775371e-255,2978
hour,1,-0.6699312271713749,0.0,2977
hour,2,-0.7094507859195734,0.0,2970
hour,3,-0.777711185492079,0.0,2974
hour,4,-0.7446624766154628,0.0,2974
hour,5,-0.6623613932577453,0.0,2968
hour,6,-0.49912634260274114,1.7523793872085358e-186,2963
hour,7,-0.6343109624960902,0.0,2970
hour,8,-0.6403724285627269,0.0,2971
hour,9,-0.6943407640847605,0.0,2965
hour,10,-0.6959944838551416,0.0,2963
hour,11,-0.7647787377847839,0.0,2975
hour,12,-0.7720223875054482,0.0,2981
hour,13,-0.7847468365349924,0.0,2985
hour,14,-0.7382588007322001,0.0,3000
hour,15,-0.6724191871869606,0.0,3002
hour,16,-0.63836084106119,0.0,3000
hour,17,-0.5946531541865134,4.249150364054326e-281,2944
hour,18,-0.5928847841546584,5.611045968822928e-275,2901
hour,19,-0.6009180533586321,1.9644925168852103e-285,2912
hour,20,-0.6391933938569752,0.0,2936
hour,21,-0.49204905482237027,2.567718562589472e-180,2960
hour,22,-0.4588408726186514,2.526589157276937e-154,2965
hour,23,-0.531517527655544,7.992978256495148e-216,2964
