hour,mean_error,std_error,count
0,-0.0866881956155144,3.8002403820149477,2965
1,0.3551468433490884,2.797587672803835,2962
2,-0.08514681787406914,2.7701513662891735,2954
3,-0.1301410087719299,2.4574037734367704,2964
4,-0.1596273508594541,3.248143284273273,2967
5,-0.17574545454545465,3.580191139104745,2959
6,-0.8267321597833448,3.6185746584693144,2954
7,0.23295565749235464,3.9083413148636112,2943
8,0.512540997277059,4.532211864385343,2938
9,-0.0012287419024890381,4.85632283647735,2933
10,0.453779339267374,5.248806400012305,2921
11,-0.4572425340136056,5.98103179481374,2940
12,0.07758727580372238,6.73575174272891,2955
13,0.5417167346245327,5.528948140163339,2943
14,-0.1956590357383684,6.316296707407708,2966
15,0.02344853633916541,5.58630419044178,2972
16,-0.2851367169179231,5.329581411721358,2985
17,-0.09911728611500711,4.237871471155534,2852
18,-0.31992965601111895,3.9203494927958102,2878
19,0.33923014578271427,4.538546227491564,2881
20,0.14455334356874788,5.312069649723738,2931
21,0.3840242203389831,5.2888088565865194,2950
22,-0.015556465809072474,3.889444384224058,2954
23,0.4474341847090663,3.7980242717581443,2956
