model1,model2,error_corr
rf_full,xgb_residual,0.6675488647210046
rf_full,lgb_residual,0.6755287493734534
rf_time,xgb_residual,0.6760670370157998
xgb_historical,xgb_residual,0.676864562331286
rf_minimal,xgb_residual,0.6773022477783537
rf_historical,xgb_residual,0.6815701706931288
xgb_historical,lgb_residual,0.6817286294070396
xgb_minimal,xgb_residual,0.6817960560797405
lgb_minimal,xgb_residual,0.6820774253515021
rf_time,lgb_residual,0.6843582571813298
rf_full,ridge_residual,0.6844260474180182
xgb_minimal,ridge_residual,0.6845278560116339
rf_full,rf_residual,0.6849428147879754
xgb_minimal,lgb_residual,0.6853537691765721
rf_minimal,lgb_residual,0.6854622438097114
rf_proxy,xgb_residual,0.6863395810919964
lgb_historical,xgb_residual,0.6867183412109392
xgb_historical,ridge_residual,0.687701181307944
lgb_minimal,lgb_residual,0.689578585307261
rf_historical,lgb_residual,0.6895896643597431
xgb_minimal,rf_residual,0.689625550792454
lgb_minimal,ridge_residual,0.6900968531263515
xgb_historical,rf_residual,0.6902278526358535
xgb_full,xgb_residual,0.6912661634015438
rf_time,ridge_residual,0.6914113934542421
xgb_full,ridge_residual,0.6914825017582699
lgb_full,xgb_residual,0.6923313243318302
rf_time,rf_residual,0.6927645608142866
rf_minimal,ridge_residual,0.6931078202316182
xgb_full,rf_residual,0.6931968134135462
rf_proxy,lgb_residual,0.6936035239953258
xgb_full,lgb_residual,0.6941144772982473
lgb_minimal,rf_residual,0.6944789733648492
lgb_historical,lgb_residual,0.6947117386790308
rf_minimal,rf_residual,0.6951965492330487
ridge_minimal,xgb_residual,0.6968182477192889
rf_historical,ridge_residual,0.6984461079656149
lgb_full,ridge_residual,0.6989707177887461
lgb_time,xgb_residual,0.6992521198226057
xgb_time,ridge_residual,0.699364928317606
ridge_historical,xgb_residual,0.6994426286324039
xgb_time,xgb_residual,0.6994699811249455
rf_historical,rf_residual,0.6996012997719615
ridge_full,xgb_residual,0.699743512752316
lgb_full,rf_residual,0.6997999899306566
lgb_full,lgb_residual,0.7003334926098497
xgb_time,rf_residual,0.7010391061117706
ridge_time,xgb_residual,0.702241738165559
lgb_historical,ridge_residual,0.7022992389071584
xgb_proxy,xgb_residual,0.702532590730905
rf_proxy,rf_residual,0.7036958917643108
xgb_time,lgb_residual,0.7037963607967271
rf_proxy,ridge_residual,0.7038723645186825
lgb_historical,rf_residual,0.7039806824827163
lgb_time,ridge_residual,0.7040299249216387
ridge_minimal,lgb_residual,0.7055804152638171
xgb_proxy,lgb_residual,0.7062858037060208
lgb_time,rf_residual,0.7064332161583479
ridge_historical,lgb_residual,0.7080861566705593
lgb_time,lgb_residual,0.7081421330114833
ridge_full,lgb_residual,0.7088070710349293
xgb_proxy,ridge_residual,0.7097701905338738
ridge_time,lgb_residual,0.7116323699345901
ridge_proxy,xgb_residual,0.7120359548936073
xgb_proxy,rf_residual,0.7125842282780216
lgb_proxy,xgb_residual,0.7158164910838423
ridge_minimal,rf_residual,0.7179856659674266
ridge_full,rf_residual,0.718147701648021
ridge_historical,rf_residual,0.7199860924259612
