Obchodný deň;Číslo periódy;Perióda;Perióda (min);Cena SK (EUR/MWh);Dopyt úspešný (MW);Ponuka úspešná (MW);Tok CZ ➝ SK (MW);Tok SK ➝ CZ (MW);Tok PL ➝ SK (MW);Tok SK ➝ PL (MW);Tok HU ➝ SK (MW);Tok SK ➝ HU (MW);Stav zverejnenia
1.1.2024;1;00:00 - 01:00;60;0,10;557,0;1892,9;520,5;0,0;164,8;0,0;0,0;2021,2;Konečné
1.1.2024;2;01:00 - 02:00;60;0,01;449,9;1727,7;526,3;0,0;203,6;0,0;0,0;2007,7;Konečné
1.1.2024;3;02:00 - 03:00;60;0,05;424,8;1466,9;392,9;0,0;60,0;0,0;0,0;1495,0;Konečné
1.1.2024;4;03:00 - 04:00;60;0,01;413,1;1486,3;313,4;0,0;57,2;0,0;0,0;1443,8;Konečné
1.1.2024;5;04:00 - 05:00;60;0,01;419,0;1526,3;243,0;0,0;33,2;0,0;0,0;1383,5;Konečné
1.1.2024;6;05:00 - 06:00;60;0,01;441,4;1505,0;291,5;0,0;47,9;0,0;0,0;1403,0;Konečné
1.1.2024;7;06:00 - 07:00;60;0,04;451,6;1882,0;235,6;0,0;0,0;42,1;0,0;1623,9;Konečné
1.1.2024;8;07:00 - 08:00;60;0,01;453,2;1723,6;332,2;0,0;65,2;0,0;0,0;1667,8;Konečné
1.1.2024;9;08:00 - 09:00;60;0,00;578,7;1768,5;433,7;0,0;102,2;0,0;0,0;1725,7;Konečné
1.1.2024;10;09:00 - 10:00;60;0,04;704,9;1904,6;450,0;0,0;174,8;0,0;0,0;1824,5;Konečné
1.1.2024;11;10:00 - 11:00;60;0,06;697,2;1902,9;405,9;0,0;159,0;0,0;0,0;1770,6;Konečné
1.1.2024;12;11:00 - 12:00;60;0,54;846,5;1906,0;388,8;0,0;87,1;0,0;0,0;1535,4;Konečné
1.1.2024;13;12:00 - 13:00;60;2,24;795,7;1888,6;294,2;0,0;0,0;191,8;0,0;1195,3;Konečné
1.1.2024;14;13:00 - 14:00;60;3,44;749,6;1902,8;281,0;0,0;0,0;367,3;0,0;1066,9;Konečné
1.1.2024;15;14:00 - 15:00;60;11,18;723,6;1947,6;364,2;0,0;0,0;256,0;0,0;1332,2;Konečné
1.1.2024;16;15:00 - 16:00;60;43,85;734,0;1997,3;187,6;0,0;0,0;358,5;0,0;1092,4;Konečné
1.1.2024;17;16:00 - 17:00;60;55,61;877,1;2211,4;197,1;0,0;0,0;624,0;0,0;907,4;Konečné
1.1.2024;18;17:00 - 18:00;60;63,03;878,8;2230,0;180,3;0,0;0,0;614,6;0,0;916,9;Konečné
1.1.2024;19;18:00 - 19:00;60;61,39;886,5;2329,8;95,8;0,0;0,0;740,9;0,0;798,2;Konečné
1.1.2024;20;19:00 - 20:00;60;54,94;876,6;2327,3;108,8;0,0;0,0;682,2;0,0;877,3;Konečné
1.1.2024;21;20:00 - 21:00;60;48,40;873,6;2219,4;157,8;0,0;0,0;543,5;0,0;960,1;Konečné
1.1.2024;22;21:00 - 22:00;60;40,46;765,4;1948,8;189,3;0,0;0,0;615,2;0,0;757,5;Konečné
1.1.2024;23;22:00 - 23:00;60;44,59;612,8;1945,2;28,9;0,0;0,0;573,2;0,0;788,1;Konečné
1.1.2024;24;23:00 - 00:00;60;35,55;485,6;1937,0;0,0;136,5;0,0;624,4;0,0;690,5;Konečné
2.1.2024;1;00:00 - 01:00;60;29,71;452,0;1557,9;0,0;103,1;0,0;409,8;0,0;593,0;Konečné
2.1.2024;2;01:00 - 02:00;60;19,76;451,7;1629,2;0,0;213,1;0,0;340,3;0,0;624,1;Konečné
2.1.2024;3;02:00 - 03:00;60;28,56;451,3;1549,0;0,0;110,8;0,0;311,5;0,0;675,4;Konečné
2.1.2024;4;03:00 - 04:00;60;16,92;453,7;1548,4;0,0;76,8;0,0;197,8;0,0;820,1;Konečné
2.1.2024;5;04:00 - 05:00;60;10,17;471,6;1520,7;86,1;0,0;81,8;0,0;0,0;1217,0;Konečné
2.1.2024;6;05:00 - 06:00;60;42,27;524,8;1524,9;263,3;0,0;194,6;0,0;0,0;1458,0;Konečné
2.1.2024;7;06:00 - 07:00;60;46,94;680,1;1744,8;92,2;0,0;0,0;149,3;0,0;1007,6;Konečné
2.1.2024;8;07:00 - 08:00;60;76,73;826,6;1745,0;68,3;0,0;0,0;147,8;0,0;838,9;Konečné
2.1.2024;9;08:00 - 09:00;60;80,12;972,4;1871,7;50,7;0,0;0,0;237,4;0,0;712,6;Konečné
2.1.2024;10;09:00 - 10:00;60;78,46;1044,4;1840,0;7,1;0,0;0,0;282,0;0,0;520,7;Konečné
2.1.2024;11;10:00 - 11:00;60;77,51;1003,5;1734,7;0,0;70,5;0,0;522,7;0,0;138,0;Konečné
2.1.2024;12;11:00 - 12:00;60;79,66;1097,1;1720,8;0,0;120,6;0,0;672,3;169,2;0,0;Konečné
2.1.2024;13;12:00 - 13:00;60;81,93;1088,3;1727,4;0,0;158,8;0,0;761,9;281,6;0,0;Konečné
2.1.2024;14;13:00 - 14:00;60;83,02;1098,3;1708,9;0,0;102,0;0,0;597,1;88,5;0,0;Konečné
2.1.2024;15;14:00 - 15:00;60;85,98;1118,6;1712,3;110,0;0,0;0,0;185,1;0,0;518,6;Konečné
2.1.2024;16;15:00 - 16:00;60;87,67;1075,8;1752,8;167,5;0,0;0,0;20,7;0,0;823,8;Konečné
2.1.2024;17;16:00 - 17:00;60;90,19;1207,9;2050,1;207,2;0,0;218,5;0,0;0,0;1267,9;Konečné
2.1.2024;18;17:00 - 18:00;60;87,77;1232,1;2161,8;177,3;0,0;198,1;0,0;0,0;1305,1;Konečné
2.1.2024;19;18:00 - 19:00;60;83,15;1216,4;2205,3;111,3;0,0;30,0;0,0;0,0;1130,2;Konečné
2.1.2024;20;19:00 - 20:00;60;76,81;1178,8;2109,7;109,1;0,0;0,0;19,2;0,0;1020,8;Konečné
2.1.2024;21;20:00 - 21:00;60;60,22;1068,0;1845,8;230,4;0,0;193,0;0,0;0,0;1201,2;Konečné
2.1.2024;22;21:00 - 22:00;60;48,02;932,9;1788,5;384,5;0,0;588,4;0,0;0,0;1828,5;Konečné
2.1.2024;23;22:00 - 23:00;60;40,93;755,6;1807,6;327,6;0,0;624,6;0,0;0,0;2004,2;Konečné
2.1.2024;24;23:00 - 00:00;60;25,28;629,6;1784,7;220,8;0,0;441,0;0,0;0,0;1816,9;Konečné
3.1.2024;1;00:00 - 01:00;60;21,93;623,9;1569,9;308,7;0,0;467,0;0,0;0,0;1721,7;Konečné
3.1.2024;2;01:00 - 02:00;60;20,69;510,3;1558,5;162,5;0,0;330,6;0,0;0,0;1541,3;Konečné
3.1.2024;3;02:00 - 03:00;60;19,77;517,8;1553,6;98,9;0,0;150,9;0,0;0,0;1285,6;Konečné
3.1.2024;4;03:00 - 04:00;60;19,08;521,6;1541,9;55,8;0,0;62,6;0,0;0,0;1138,7;Konečné
3.1.2024;5;04:00 - 05:00;60;20,47;567,5;1394,4;137,1;0,0;219,1;0,0;0,0;1183,1;Konečné
3.1.2024;6;05:00 - 06:00;60;22,82;731,4;1413,0;359,4;0,0;567,9;0,0;0,0;1608,9;Konečné
3.1.2024;7;06:00 - 07:00;60;37,74;893,4;1682,2;245,6;0,0;643,9;0,0;0,0;1678,3;Konečné
3.1.2024;8;07:00 - 08:00;60;47,24;1075,4;1683,5;224,6;0,0;501,9;0,0;0,0;1334,6;Konečné
3.1.2024;9;08:00 - 09:00;60;62,80;1127,0;1711,4;306,9;0,0;658,7;0,0;0,0;1550,0;Konečné
3.1.2024;10;09:00 - 10:00;60;65,06;1192,0;1747,3;384,1;0,0;837,9;0,0;0,0;1777,3;Konečné
3.1.2024;11;10:00 - 11:00;60;60,00;1105,4;1659,2;205,0;0,0;555,5;0,0;0,0;1314,3;Konečné
3.1.2024;12;11:00 - 12:00;60;58,12;1180,9;1650,6;226,6;0,0;498,6;0,0;0,0;1194,9;Konečné
3.1.2024;13;12:00 - 13:00;60;57,39;1179,9;1599,0;271,7;0,0;568,0;0,0;0,0;1258,8;Konečné
3.1.2024;14;13:00 - 14:00;60;57,08;1195,8;1610,3;205,1;0,0;426,5;0,0;0,0;1046,1;Konečné
3.1.2024;15;14:00 - 15:00;60;63,14;1157,9;1617,5;216,0;0,0;292,8;0,0;0,0;968,4;Konečné
3.1.2024;16;15:00 - 16:00;60;72,82;1110,8;1637,1;145,6;0,0;0,0;17,4;0,0;654,5;Konečné
3.1.2024;17;16:00 - 17:00;60;80,59;1256,9;1898,6;201,8;0,0;99,7;0,0;0,0;943,2;Konečné
3.1.2024;18;17:00 - 18:00;60;85,06;1255,1;2093,0;150,0;0,0;0,0;0,7;0,0;987,2;Konečné
3.1.2024;19;18:00 - 19:00;60;85,57;1243,6;2132,4;91,7;0,0;0,0;184,6;0,0;795,9;Konečné
3.1.2024;20;19:00 - 20:00;60;83,36;1197,1;2151,5;60,3;0,0;0,0;347,6;0,0;667,1;Konečné
3.1.2024;21;20:00 - 21:00;60;73,23;1066,0;1809,3;249,9;0,0;0,0;29,2;0,0;964,0;Konečné
3.1.2024;22;21:00 - 22:00;60;67,41;881,9;1769,0;144,3;0,0;0,0;176,9;0,0;854,5;Konečné
