datetime,heat_load_kW
2021-01-01 00:00,6127
2021-01-01 01:00,7742
2021-01-01 02:00,9368
2021-01-01 03:00,11370
2021-01-01 04:00,20378
2021-01-01 05:00,20060
2021-01-01 06:00,19128
2021-01-01 07:00,15697
2021-01-01 08:00,16072
2021-01-01 09:00,16398
2021-01-01 10:00,15771
2021-01-01 11:00,15834
2021-01-01 12:00,16020
2021-01-01 13:00,16600
2021-01-01 14:00,15680
2021-01-01 15:00,16079
2021-01-01 16:00,17070
2021-01-01 17:00,18961
2021-01-01 18:00,18411
2021-01-01 19:00,18783
2021-01-01 20:00,19138
2021-01-01 21:00,19210
2021-01-01 22:00,16991
2021-01-01 23:00,8933
2021-01-02 00:00,9955
2021-01-02 01:00,13334
2021-01-02 02:00,13725
2021-01-02 03:00,15140
2021-01-02 04:00,23168
2021-01-02 05:00,22629
2021-01-02 06:00,22791
2021-01-02 07:00,17399
2021-01-02 08:00,18914
2021-01-02 09:00,19853
2021-01-02 10:00,18433
2021-01-02 11:00,18196
2021-01-02 12:00,18014
2021-01-02 13:00,17780
2021-01-02 14:00,18377
2021-01-02 15:00,19284
2021-01-02 16:00,18521
2021-01-02 17:00,19037
2021-01-02 18:00,18476
2021-01-02 19:00,19078
2021-01-02 20:00,19085
2021-01-02 21:00,19147
2021-01-02 22:00,17809
2021-01-02 23:00,8038
2021-01-03 00:00,9955
2021-01-03 01:00,13334
2021-01-03 02:00,13725
2021-01-03 03:00,15140
2021-01-03 04:00,23168
2021-01-03 05:00,22629
2021-01-03 06:00,22791
2021-01-03 07:00,17399
2021-01-03 08:00,18692
2021-01-03 09:00,19893
2021-01-03 10:00,19605
2021-01-03 11:00,20343
2021-01-03 12:00,19411
2021-01-03 13:00,19432
2021-01-03 14:00,19107
2021-01-03 15:00,19440
2021-01-03 16:00,18906
2021-01-03 17:00,18865
2021-01-03 18:00,19659
2021-01-03 19:00,19864
2021-01-03 20:00,19634
2021-01-03 21:00,19580
2021-01-03 22:00,17151
2021-01-03 23:00,8328
2021-01-04 00:00,8694
2021-01-04 01:00,11317
2021-01-04 02:00,12217
2021-01-04 03:00,13852
2021-01-04 04:00,21771
2021-01-04 05:00,20246
2021-01-04 06:00,21888
2021-01-04 07:00,17500
2021-01-04 08:00,18132
2021-01-04 09:00,19528
2021-01-04 10:00,18537
2021-01-04 11:00,18950
2021-01-04 12:00,18510
2021-01-04 13:00,19687
2021-01-04 14:00,20029
2021-01-04 15:00,19161
2021-01-04 16:00,19775
2021-01-04 17:00,19891
2021-01-04 18:00,19315
2021-01-04 19:00,19896
2021-01-04 20:00,19396
2021-01-04 21:00,19258
2021-01-04 22:00,17536
2021-01-04 23:00,8378
2021-01-05 00:00,9294
2021-01-05 01:00,11596
2021-01-05 02:00,12346
2021-01-05 03:00,13319
2021-01-05 04:00,20120
2021-01-05 05:00,18458
2021-01-05 06:00,19944
2021-01-05 07:00,18035
2021-01-05 08:00,18038
2021-01-05 09:00,18737
2021-01-05 10:00,18683
2021-01-05 11:00,18477
2021-01-05 12:00,18566
2021-01-05 13:00,17643
2021-01-05 14:00,18444
2021-01-05 15:00,18433
2021-01-05 16:00,18518
2021-01-05 17:00,19946
2021-01-05 18:00,15995
2021-01-05 19:00,19505
2021-01-05 20:00,18443
2021-01-05 21:00,18150
2021-01-05 22:00,17197
2021-01-05 23:00,8257
2021-01-06 00:00,7998
2021-01-06 01:00,10100
2021-01-06 02:00,12440
2021-01-06 03:00,15011
2021-01-06 04:00,23954
2021-01-06 05:00,23798
2021-01-06 06:00,24011
2021-01-06 07:00,16733
2021-01-06 08:00,20453
2021-01-06 09:00,20012
2021-01-06 10:00,18371
2021-01-06 11:00,17332
2021-01-06 12:00,17216
2021-01-06 13:00,17742
2021-01-06 14:00,18436
2021-01-06 15:00,18418
2021-01-06 16:00,19147
2021-01-06 17:00,20306
2021-01-06 18:00,21043
2021-01-06 19:00,21854
2021-01-06 20:00,21972
2021-01-06 21:00,22578
2021-01-06 22:00,17941
2021-01-06 23:00,10153
2021-01-07 00:00,12149
