Date;Settlement Term;System Imbalance (MWh);SREC (EUR/MWh);SREC price (EUR/MWh);System imbalance price (EUR/MWh);Imbalance Settlement Price (EUR/MWh);Payment of subject for imbalance (EUR);Payment of OKTE for imbalance (EUR);Payment for System Imbalance (EUR);Total Cost of RE (EUR);Payment for SREC (EUR);Balance of Revenues and Expenses for Imbalance and RE (EUR);Settlement in special mode
1/28/2026;1;-28.674;-5.3709;-5.3709;142.1880;142.1880;-6,084.2245;1,974.2804;-4,109.9441;3,718.9277;-544.7274;935.7439;No
1/28/2026;2;-28.033;-6.6193;-6.6193;149.6610;149.6610;-6,024.6036;1,794.4354;-4,230.1682;4,488.3745;-671.3426;413.1363;No
1/28/2026;3;-19.913;-3.2022;-3.2022;102.5560;127.8750;-3,767.7090;1,196.2706;-2,571.4384;2,113.6623;-324.7735;782.5496;No
1/28/2026;4;-24.099;-4.0392;-4.0392;104.9950;125.3230;-4,060.2146;1,011.2313;-3,048.9833;2,672.3018;-409.6637;786.3452;No
1/28/2026;5;-14.452;-2.2267;-2.2267;103.2780;129.9320;-3,424.7477;1,522.5432;-1,902.2045;1,434.9279;-208.6485;675.9251;No
1/28/2026;6;-8.499;-1.7355;-1.7355;123.3890;127.0610;-3,284.0186;2,178.9691;-1,105.0495;1,111.9627;-162.6216;155.7084;No
1/28/2026;7;-7.713;-1.4730;-1.4730;113.0570;123.3439;-3,576.2330;2,601.6929;-974.5402;1,005.7750;-138.0245;106.7897;No
1/28/2026;8;0.237;-0.0472;-0.0472;102.4720;102.4720;-2,806.2982;2,813.2663;6.9681;32.3807;-4.4228;-34.9260;No
1/28/2026;9;-11.330;-1.5209;-1.5209;93.3530;125.6750;-3,937.6491;2,513.2487;-1,424.4005;1,099.6168;-136.5525;461.3361;No
1/28/2026;10;-6.410;-0.7025;-0.7025;70.8180;123.3592;-3,287.0292;2,490.0055;-797.0238;499.7802;-63.0733;360.3169;No
1/28/2026;11;-9.794;-1.1892;-1.1892;87.6490;123.3592;-3,485.7609;2,267.7122;-1,218.0487;875.3633;-106.7711;449.4566;No
1/28/2026;12;-8.979;-1.3682;-1.3682;103.2800;123.3592;-2,940.2665;1,824.7293;-1,115.5372;998.4622;-122.8425;239.9175;No
1/28/2026;13;-5.640;-0.5731;-0.5731;81.9670;123.6510;-3,022.7723;2,312.6447;-710.1277;429.7893;-50.2786;330.6170;No
1/28/2026;14;-1.730;-0.3016;-0.3016;101.4460;123.5624;-2,689.7063;2,463.7107;-225.9956;225.6174;-26.4597;26.8379;No
1/28/2026;15;-0.046;-0.0237;-0.0237;103.4170;123.5624;-2,587.7673;2,568.2445;-19.5229;17.7652;-2.0792;3.8369;No
1/28/2026;16;-3.329;-0.4999;-0.4999;92.7040;123.5624;-2,807.8320;2,382.2831;-425.5489;376.3628;-43.8567;93.0428;No
1/28/2026;17;0.077;0.2264;0.2264;111.5860;109.8400;-2,095.5275;2,091.4634;-4.0641;-164.7559;21.1659;147.6541;No
