timestamp,load_mw,generation_mw,frequency_hz,balancing_energy_mw,cross_border_scheduled_mw,cross_border_measured_mw,seps_timestamp,created_at
2026-01-29 14:57:18.30949+00,3888,4006,49.993,42.63,168,117,2026-01-29T14:57:15.423Z,2026-01-29 14:57:18.309641+00
2026-01-29 15:00:17.403064+00,3868,4033,50.011,42.63,166,164,2026-01-29T15:00:17.308Z,2026-01-29 15:00:17.40322+00
2026-01-29 15:03:15.494692+00,3969,4075,50.004,27.886,164,105,2026-01-29T15:03:15.416Z,2026-01-29 15:03:15.494879+00
2026-01-29 15:06:15.6035+00,3951,4086,50.003,38.646,162,134,2026-01-29T15:06:15.411Z,2026-01-29 15:06:15.603704+00
2026-01-29 15:09:15.632828+00,3935,4092,50.013,20.874,162,157,2026-01-29T15:09:15.450Z,2026-01-29 15:09:15.633072+00
2026-01-29 15:12:15.624238+00,3954,4101,49.974,44.98,159,144,2026-01-29T15:12:15.412Z,2026-01-29 15:12:15.624385+00
2026-01-29 15:15:15.474107+00,3940,4092,49.992,33.669,150,151,2026-01-29T15:15:15.510Z,2026-01-29 15:15:15.474343+00
2026-01-29 15:18:15.663494+00,3950,4098,49.976,8.735,142,146,2026-01-29T15:18:15.407Z,2026-01-29 15:18:15.663672+00
2026-01-29 15:21:15.75861+00,3997,4089,49.979,20.307,133,90,2026-01-29T15:21:15.419Z,2026-01-29 15:21:15.758809+00
2026-01-29 15:24:15.384474+00,4035,4094,49.994,53.949,133,57,2026-01-29T15:24:15.409Z,2026-01-29 15:24:15.384678+00
2026-01-29 15:27:15.523585+00,3967,4095,50.013,56.611,130,128,2026-01-29T15:27:15.415Z,2026-01-29 15:27:15.523783+00
2026-01-29 15:30:15.844059+00,4018,4092,50.019,1.076,121,73,2026-01-29T15:30:15.484Z,2026-01-29 15:30:15.844208+00
2026-01-29 15:33:15.522058+00,4008,4087,50.01,21.345,112,79,2026-01-29T15:33:15.419Z,2026-01-29 15:33:15.522201+00
2026-01-29 15:36:15.601383+00,3971,4095,49.997,22.006,103,123,2026-01-29T15:36:15.417Z,2026-01-29 15:36:15.601559+00
2026-01-29 15:39:15.662726+00,4020,4095,49.995,25.918,103,74,2026-01-29T15:39:15.419Z,2026-01-29 15:39:15.662861+00
2026-01-29 15:42:15.586196+00,4002,4083,49.98,15.794,101,79,2026-01-29T15:42:15.444Z,2026-01-29 15:42:15.586371+00
2026-01-29 15:45:15.865605+00,4041,4100,49.966,7.09,96,56,2026-01-29T15:45:15.487Z,2026-01-29 15:45:15.865825+00
2026-01-29 15:48:15.416981+00,4017,4094,49.973,17.705,91,75,2026-01-29T15:48:15.420Z,2026-01-29 15:48:15.417362+00
2026-01-29 15:51:15.670569+00,4035,4099,49.99,35.516,86,63,2026-01-29T15:51:15.418Z,2026-01-29 15:51:15.670711+00
2026-01-29 15:54:15.431924+00,4024,4103,49.984,28.603,86,78,2026-01-29T15:54:15.419Z,2026-01-29 15:54:15.432072+00
2026-01-29 15:57:15.673911+00,3978,4142,49.979,27.396,93,162,2026-01-29T15:57:15.426Z,2026-01-29 15:57:15.674143+00
2026-01-29 16:00:19.232436+00,4008,4153,50.006,0.518,113,144,2026-01-29T16:00:15.590Z,2026-01-29 16:00:19.232611+00
2026-01-29 16:03:15.586895+00,4058,4144,50.011,30.898,134,97,2026-01-29T16:03:15.429Z,2026-01-29 16:03:15.587057+00
2026-01-29 16:06:15.460659+00,4013,4147,50.011,36.223,155,144,2026-01-29T16:06:15.423Z,2026-01-29 16:06:15.460874+00
2026-01-29 16:09:16.155768+00,4044,4151,49.979,27.005,155,115,2026-01-29T16:09:15.432Z,2026-01-29 16:09:16.156114+00
2026-01-29 16:12:15.505441+00,4017,4180,49.996,58.918,155,172,2026-01-29T16:12:15.437Z,2026-01-29 16:12:15.505588+00
2026-01-29 16:15:15.748096+00,4033,4183,50.003,44.863,156,160,2026-01-29T16:15:15.495Z,2026-01-29 16:15:15.748264+00
2026-01-29 16:18:15.49321+00,4040,4161,50.025,31.783,157,131,2026-01-29T16:18:15.430Z,2026-01-29 16:18:15.49337+00
2026-01-29 16:21:15.74186+00,4021,4154,49.978,43.15,159,132,2026-01-29T16:21:15.435Z,2026-01-29 16:21:15.742003+00
2026-01-29 16:24:15.477804+00,3986,4157,49.978,52.006,159,169,2026-01-29T16:24:15.441Z,2026-01-29 16:24:15.477972+00
2026-01-29 16:27:15.456384+00,3992,4172,49.98,50.447,160,178,2026-01-29T16:27:15.425Z,2026-01-29 16:27:15.45653+00
2026-01-29 16:30:15.695163+00,3963,4172,50.014,25.537,166,207,2026-01-29T16:30:15.548Z,2026-01-29 16:30:15.695346+00
2026-01-29 16:33:15.449936+00,3967,4165,50.014,7.306,172,197,2026-01-29T16:33:15.495Z,2026-01-29 16:33:15.450128+00
2026-01-29 16:36:15.665977+00,4008,4149,50.012,10.55,178,140,2026-01-29T16:36:15.435Z,2026-01-29 16:36:15.666133+00
2026-01-29 16:39:15.667918+00,3977,4140,49.979,36.528,178,161,2026-01-29T16:39:15.426Z,2026-01-29 16:39:15.668159+00
2026-01-29 16:42:15.533583+00,3976,4168,49.983,35.575,174,189,2026-01-29T16:42:15.427Z,2026-01-29 16:42:15.533767+00
2026-01-29 16:45:15.465455+00,4010,4184,49.959,30.109,162,171,2026-01-29T16:45:15.515Z,2026-01-29 16:45:15.465624+00
2026-01-29 16:48:15.401669+00,4028,4183,49.981,42.412,151,153,2026-01-29T16:48:15.417Z,2026-01-29 16:48:15.401835+00
2026-01-29 16:51:15.649209+00,4038,4179,50.011,22.519,139,140,2026-01-29T16:51:15.406Z,2026-01-29 16:51:15.649348+00
2026-01-29 16:54:15.445909+00,3978,4171,50.008,11.44,139,191,2026-01-29T16:54:15.416Z,2026-01-29 16:54:15.446099+00
2026-01-29 16:57:15.661585+00,3967,4171,50.013,-8.91,137,202,2026-01-29T16:57:15.409Z,2026-01-29 16:57:15.66177+00
2026-01-29 17:00:15.439853+00,3977,4168,49.984,-28.413,132,189,2026-01-29T17:00:15.647Z,2026-01-29 17:00:15.440066+00
2026-01-29 17:03:15.706586+00,4013,4166,49.982,-8.833,126,152,2026-01-29T17:03:15.435Z,2026-01-29 17:03:15.706935+00
2026-01-29 17:06:15.520141+00,3965,4128,50.003,11.578,121,162,2026-01-29T17:06:15.427Z,2026-01-29 17:06:15.520533+00
