Delivery day;Period number;Period;Buy Orders (MW);Sell Orders (MW);Buy trades (MW);Sell trades (MW);Traded Quantity Difference (MW);Weighted average price of all trades (EUR/MWh);Total Traded Quantity (MW)
2025-01-01;1;00:00 - 00:15;36.8;11.6;34.7;11.6;23.1;230.32;46.3
2025-01-01;2;00:15 - 00:30;74.7;22.6;14.5;22.6;-8.1;181.43;37.1
2025-01-01;3;00:30 - 00:45;0.1;19.8;0.1;5.7;-5.6;102.44;5.8
2025-01-01;4;00:45 - 01:00;0.0;45.5;0.0;15.5;-15.5;89.59;15.5
2025-01-01;5;01:00 - 01:15;68.4;36.1;35.4;36.1;-0.7;191.52;71.5
2025-01-01;6;01:15 - 01:30;28.0;7.0;17.4;7.0;10.4;168.23;24.4
2025-01-01;7;01:30 - 01:45;0.0;13.7;0.0;13.7;-13.7;119.71;13.7
2025-01-01;8;01:45 - 02:00;0.0;35.9;0.0;22.0;-22.0;95.62;22.0
2025-01-01;9;02:00 - 02:15;19.5;5.0;6.4;5.0;1.4;178.00;11.4
2025-01-01;10;02:15 - 02:30;8.3;9.4;8.3;9.4;-1.1;127.76;17.7
2025-01-01;11;02:30 - 02:45;0.0;11.0;0.0;8.4;-8.4;108.59;8.4
2025-01-01;12;02:45 - 03:00;3.0;19.9;3.0;17.3;-14.3;115.77;20.3
2025-01-01;13;03:00 - 03:15;8.4;0.0;0.0;0.0;0.0;;0.0
2025-01-01;14;03:15 - 03:30;2.0;0.0;0.0;0.0;0.0;;0.0
2025-01-01;15;03:30 - 03:45;0.0;0.0;0.0;0.0;0.0;;0.0
2025-01-01;16;03:45 - 04:00;5.5;5.4;5.4;5.4;0.0;58.00;10.8
2025-01-01;17;04:00 - 04:15;8.2;4.1;7.6;4.1;3.5;104.67;11.7
2025-01-01;18;04:15 - 04:30;7.0;4.0;7.0;4.0;3.0;113.89;11.0
2025-01-01;19;04:30 - 04:45;7.2;4.1;7.2;4.1;3.1;110.57;11.3
2025-01-01;20;04:45 - 05:00;0.2;1.0;0.0;1.0;-1.0;93.00;1.0
2025-01-01;21;05:00 - 05:15;64.7;60.4;21.0;30.4;-9.4;39.27;51.4
2025-01-01;22;05:15 - 05:30;10.2;5.0;10.2;5.0;5.2;114.04;15.2
2025-01-01;23;05:30 - 05:45;20.3;0.0;10.0;0.0;10.0;139.52;10.0
2025-01-01;24;05:45 - 06:00;21.6;1.3;21.3;1.3;20.0;124.80;22.6
2025-01-01;25;06:00 - 06:15;50.1;51.4;45.1;33.0;12.1;42.80;78.1
2025-01-01;26;06:15 - 06:30;3.2;3.0;3.0;3.0;0.0;-3.00;6.0
2025-01-01;27;06:30 - 06:45;2.5;0.0;0.0;0.0;0.0;;0.0
2025-01-01;28;06:45 - 07:00;19.4;0.0;10.0;0.0;10.0;138.82;10.0
2025-01-01;29;07:00 - 07:15;7.0;0.0;0.0;0.0;0.0;;0.0
2025-01-01;30;07:15 - 07:30;9.0;0.0;0.0;0.0;0.0;;0.0
2025-01-01;31;07:30 - 07:45;1.0;10.0;1.0;10.0;-9.0;9.96;11.0
2025-01-01;32;07:45 - 08:00;6.5;5.0;5.0;5.0;0.0;-5.00;10.0
2025-01-01;33;08:00 - 08:15;12.3;60.5;12.3;60.3;-48.0;24.84;72.6
2025-01-01;34;08:15 - 08:30;11.4;37.5;11.4;34.5;-23.1;21.46;45.9
2025-01-01;35;08:30 - 08:45;46.1;0.1;5.9;0.1;5.8;132.05;6.0
2025-01-01;36;08:45 - 09:00;60.0;0.0;17.9;0.0;17.9;49.61;17.9
2025-01-01;37;09:00 - 09:15;5.8;14.8;5.8;14.8;-9.0;57.18;20.6
2025-01-01;38;09:15 - 09:30;6.0;1.0;1.0;1.0;0.0;24.00;2.0
2025-01-01;39;09:30 - 09:45;2.0;7.0;2.0;7.0;-5.0;31.89;9.0
2025-01-01;40;09:45 - 10:00;3.7;1.0;3.7;1.0;2.7;34.78;4.7
2025-01-01;41;10:00 - 10:15;12.0;40.0;12.0;40.0;-28.0;23.13;52.0
2025-01-01;42;10:15 - 10:30;12.3;27.3;12.3;27.3;-15.0;18.50;39.6
2025-01-01;43;10:30 - 10:45;37.6;5.0;32.0;5.0;27.0;22.38;37.0
2025-01-01;44;10:45 - 11:00;31.2;10.0;21.6;10.0;11.6;19.32;31.6
2025-01-01;45;11:00 - 11:15;7.5;3.5;7.5;3.5;4.0;16.09;11.0
2025-01-01;46;11:15 - 11:30;3.4;2.5;3.4;2.4;1.0;13.75;5.8
2025-01-01;47;11:30 - 11:45;5.9;0.1;5.9;0.1;5.8;18.29;6.0
2025-01-01;48;11:45 - 12:00;2.0;10.2;2.0;10.0;-8.0;20.33;12.0
2025-01-01;49;12:00 - 12:15;18.7;0.1;18.2;0.1;18.1;14.12;18.3
2025-01-01;50;12:15 - 12:30;18.0;0.1;7.5;0.1;7.4;13.54;7.6
2025-01-01;51;12:30 - 12:45;17.4;7.4;7.4;7.4;0.0;12.00;14.8
2025-01-01;52;12:45 - 13:00;23.4;19.4;13.4;19.4;-6.0;15.87;32.8
