datetime,Date,Settlement Term,System Imbalance (MWh),SREC (EUR/MWh),SREC price (EUR/MWh),Imbalance Settlement Price (EUR/MWh),Payment of subject for imbalance (EUR),Payment of OKTE for imbalance (EUR),Payment for System Imbalance (EUR),Total Cost of RE (EUR),Payment for SREC (EUR),Balance of Revenues and Expenses for Imbalance and RE (EUR),Settlement in special mode,source_file
2024-01-01 00:00:00,2024-01-01,1,3.382,-0.3446,-0.3446,-5.0,-1.169505,1.152655,-16.85,246.081,-47.7436,-181.4874,No,SystemImbalance_2024-01-01_2024-01-31.csv
2024-01-01 00:15:00,2024-01-01,2,3.242,-0.1483,-0.1483,-5.0,-1.089145,1.072855,-16.29,103.879,-20.5467,-67.0423,No,SystemImbalance_2024-01-01_2024-01-31.csv
2024-01-01 00:30:00,2024-01-01,3,6.089,-0.071,-0.071,-5.0,-288.42,257.95,-30.47,37.928,-9.8369,2.3789,No,SystemImbalance_2024-01-01_2024-01-31.csv
2024-01-01 00:45:00,2024-01-01,4,13.806,-0.1324,-0.1324,-5.0,-212.785,143.79,-68.995,65.605,-18.3438,21.7338,No,SystemImbalance_2024-01-01_2024-01-31.csv
2024-01-01 01:00:00,2024-01-01,5,-1.615,-1.0988,-1.0988,132.0,-4.36524,4.151136,-214.104,567.7132,-133.3669,-220.2424,No,SystemImbalance_2024-01-01_2024-01-31.csv
2024-01-01 01:15:00,2024-01-01,6,3.248,-0.0414,-0.0414,-5.0,-167.97,151.755,-16.215,21.094,-5.0249,0.1459,No,SystemImbalance_2024-01-01_2024-01-31.csv
2024-01-01 01:30:00,2024-01-01,7,6.021,-0.0407,-0.0407,-5.0,-174.975,144.89,-30.085,20.4122,-4.94,14.6128,No,SystemImbalance_2024-01-01_2024-01-31.csv
2024-01-01 01:45:00,2024-01-01,8,23.435,-0.2094,-0.2094,-5.0,-219.68,102.58,-117.1,102.4406,-25.4159,40.0753,No,SystemImbalance_2024-01-01_2024-01-31.csv
2024-01-01 02:00:00,2024-01-01,9,3.3,-0.6647,-0.6647,-5.0,-166.57,149.945,-16.625,369.7507,-72.6544,-280.4713,No,SystemImbalance_2024-01-01_2024-01-31.csv
2024-01-01 02:15:00,2024-01-01,10,7.404,-0.0414,-0.0414,-5.0,-161.71,124.71,-37.0,22.8084,-4.5252,18.7168,No,SystemImbalance_2024-01-01_2024-01-31.csv
2024-01-01 02:30:00,2024-01-01,11,11.927,-0.0799,-0.0799,-5.0,-166.6,106.95,-59.65,43.41,-8.7334,24.9734,No,SystemImbalance_2024-01-01_2024-01-31.csv
2024-01-01 02:45:00,2024-01-01,12,19.923,-0.1547,-0.1547,-5.0,-184.285,84.755,-99.53,82.9925,-16.9093,33.4468,No,SystemImbalance_2024-01-01_2024-01-31.csv
2024-01-01 03:00:00,2024-01-01,13,17.016,-0.1051,-0.1051,-5.0,-177.505,92.425,-85.08,55.803,-10.51,39.787,No,SystemImbalance_2024-01-01_2024-01-31.csv
2024-01-01 03:15:00,2024-01-01,14,18.102,-0.117,-0.117,-5.0,-175.015,84.55,-90.465,61.4384,-11.7,40.7266,No,SystemImbalance_2024-01-01_2024-01-31.csv
2024-01-01 03:30:00,2024-01-01,15,20.102,-0.1373,-0.1373,-5.0,-182.71,82.235,-100.475,72.0837,-13.73,42.1213,No,SystemImbalance_2024-01-01_2024-01-31.csv
2024-01-01 03:45:00,2024-01-01,16,22.206,-0.1818,-0.1818,-5.0,-179.11,68.08,-111.03,95.0127,-18.18,34.1973,No,SystemImbalance_2024-01-01_2024-01-31.csv
