datetime,actual_load_mw,forecast_load_mw,date,year,month,day,hour,day_of_week,day_of_year,is_weekend,forecast_error_mw,forecast_error_pct
2024-01-01 00:00:00,2382.0,2410.0,2024-01-01,2024,1,1,1,0,1,0,-28.0,-1.18
2024-01-01 01:00:00,2280.0,2270.0,2024-01-01,2024,1,1,2,0,1,0,10.0,0.44
2024-01-01 02:00:00,2252.0,2230.0,2024-01-01,2024,1,1,3,0,1,0,22.0,0.98
2024-01-01 03:00:00,2168.0,2170.0,2024-01-01,2024,1,1,4,0,1,0,-2.0,-0.09
2024-01-01 04:00:00,2148.0,2130.0,2024-01-01,2024,1,1,5,0,1,0,18.0,0.84
2024-01-01 05:00:00,2167.0,2190.0,2024-01-01,2024,1,1,6,0,1,0,-23.0,-1.06
2024-01-01 06:00:00,2226.0,2230.0,2024-01-01,2024,1,1,7,0,1,0,-4.0,-0.18
2024-01-01 07:00:00,2267.0,2190.0,2024-01-01,2024,1,1,8,0,1,0,77.0,3.4
2024-01-01 08:00:00,2366.0,2380.0,2024-01-01,2024,1,1,9,0,1,0,-14.0,-0.59
2024-01-01 09:00:00,2519.0,2460.0,2024-01-01,2024,1,1,10,0,1,0,59.0,2.34
2024-01-01 10:00:00,2540.0,2580.0,2024-01-01,2024,1,1,11,0,1,0,-40.0,-1.57
2024-01-01 11:00:00,2688.0,2650.0,2024-01-01,2024,1,1,12,0,1,0,38.0,1.41
2024-01-01 12:00:00,2662.0,2660.0,2024-01-01,2024,1,1,13,0,1,0,2.0,0.08
2024-01-01 13:00:00,2641.0,2580.0,2024-01-01,2024,1,1,14,0,1,0,61.0,2.31
2024-01-01 14:00:00,2618.0,2550.0,2024-01-01,2024,1,1,15,0,1,0,68.0,2.6
2024-01-01 15:00:00,2550.0,2560.0,2024-01-01,2024,1,1,16,0,1,0,-10.0,-0.39
2024-01-01 16:00:00,2732.0,2650.0,2024-01-01,2024,1,1,17,0,1,0,82.0,3.0
2024-01-01 17:00:00,2746.0,2750.0,2024-01-01,2024,1,1,18,0,1,0,-4.0,-0.15
2024-01-01 18:00:00,2741.0,2740.0,2024-01-01,2024,1,1,19,0,1,0,1.0,0.04
2024-01-01 19:00:00,2753.0,2790.0,2024-01-01,2024,1,1,20,0,1,0,-37.0,-1.34
2024-01-01 20:00:00,2728.0,2700.0,2024-01-01,2024,1,1,21,0,1,0,28.0,1.03
2024-01-01 21:00:00,2612.0,2570.0,2024-01-01,2024,1,1,22,0,1,0,42.0,1.61
2024-01-01 22:00:00,2491.0,2400.0,2024-01-01,2024,1,1,23,0,1,0,91.0,3.65
2024-01-01 23:00:00,2374.0,2330.0,2024-01-01,2024,1,1,24,0,1,0,44.0,1.85
2024-01-02 00:00:00,2275.0,2300.0,2024-01-02,2024,1,2,1,1,2,0,-25.0,-1.1
2024-01-02 01:00:00,2176.0,2230.0,2024-01-02,2024,1,2,2,1,2,0,-54.0,-2.48
2024-01-02 02:00:00,2176.0,2220.0,2024-01-02,2024,1,2,3,1,2,0,-44.0,-2.02
2024-01-02 03:00:00,2186.0,2240.0,2024-01-02,2024,1,2,4,1,2,0,-54.0,-2.47
2024-01-02 04:00:00,2268.0,2320.0,2024-01-02,2024,1,2,5,1,2,0,-52.0,-2.29
2024-01-02 05:00:00,2431.0,2510.0,2024-01-02,2024,1,2,6,1,2,0,-79.0,-3.25
2024-01-02 06:00:00,2734.0,2820.0,2024-01-02,2024,1,2,7,1,2,0,-86.0,-3.15
2024-01-02 07:00:00,2932.0,2980.0,2024-01-02,2024,1,2,8,1,2,0,-48.0,-1.64
2024-01-02 08:00:00,3090.0,3150.0,2024-01-02,2024,1,2,9,1,2,0,-60.0,-1.94
2024-01-02 09:00:00,3225.0,3240.0,2024-01-02,2024,1,2,10,1,2,0,-15.0,-0.47
2024-01-02 10:00:00,3177.0,3200.0,2024-01-02,2024,1,2,11,1,2,0,-23.0,-0.72
2024-01-02 11:00:00,3298.0,3300.0,2024-01-02,2024,1,2,12,1,2,0,-2.0,-0.06
2024-01-02 12:00:00,3337.0,3300.0,2024-01-02,2024,1,2,13,1,2,0,37.0,1.11
2024-01-02 13:00:00,3335.0,3240.0,2024-01-02,2024,1,2,14,1,2,0,95.0,2.85
2024-01-02 14:00:00,3270.0,3180.0,2024-01-02,2024,1,2,15,1,2,0,90.0,2.75
2024-01-02 15:00:00,3195.0,3160.0,2024-01-02,2024,1,2,16,1,2,0,35.0,1.1
2024-01-02 16:00:00,3347.0,3290.0,2024-01-02,2024,1,2,17,1,2,0,57.0,1.7
2024-01-02 17:00:00,3308.0,3290.0,2024-01-02,2024,1,2,18,1,2,0,18.0,0.54
2024-01-02 18:00:00,3256.0,3210.0,2024-01-02,2024,1,2,19,1,2,0,46.0,1.41
2024-01-02 19:00:00,3212.0,3250.0,2024-01-02,2024,1,2,20,1,2,0,-38.0,-1.18
2024-01-02 20:00:00,3150.0,3090.0,2024-01-02,2024,1,2,21,1,2,0,60.0,1.9
2024-01-02 21:00:00,3001.0,2940.0,2024-01-02,2024,1,2,22,1,2,0,61.0,2.03
2024-01-02 22:00:00,2815.0,2750.0,2024-01-02,2024,1,2,23,1,2,0,65.0,2.31
2024-01-02 23:00:00,2669.0,2670.0,2024-01-02,2024,1,2,24,1,2,0,-1.0,-0.04
2024-01-03 00:00:00,2529.0,2580.0,2024-01-03,2024,1,3,1,2,3,0,-51.0,-2.02
2024-01-03 01:00:00,2418.0,2470.0,2024-01-03,2024,1,3,2,2,3,0,-52.0,-2.15
2024-01-03 02:00:00,2436.0,2470.0,2024-01-03,2024,1,3,3,2,3,0,-34.0,-1.4
2024-01-03 03:00:00,2420.0,2430.0,2024-01-03,2024,1,3,4,2,3,0,-10.0,-0.41
2024-01-03 04:00:00,2494.0,2530.0,2024-01-03,2024,1,3,5,2,3,0,-36.0,-1.44
2024-01-03 05:00:00,2644.0,2670.0,2024-01-03,2024,1,3,6,2,3,0,-26.0,-0.98
2024-01-03 06:00:00,2928.0,2940.0,2024-01-03,2024,1,3,7,2,3,0,-12.0,-0.41
2024-01-03 07:00:00,3095.0,3100.0,2024-01-03,2024,1,3,8,2,3,0,-5.0,-0.16
2024-01-03 08:00:00,3216.0,3320.0,2024-01-03,2024,1,3,9,2,3,0,-104.0,-3.23
2024-01-03 09:00:00,3322.0,3450.0,2024-01-03,2024,1,3,10,2,3,0,-128.0,-3.85
2024-01-03 10:00:00,3250.0,3430.0,2024-01-03,2024,1,3,11,2,3,0,-180.0,-5.54
2024-01-03 11:00:00,3390.0,3520.0,2024-01-03,2024,1,3,12,2,3,0,-130.0,-3.83
2024-01-03 12:00:00,3359.0,3520.0,2024-01-03,2024,1,3,13,2,3,0,-161.0,-4.79
2024-01-03 13:00:00,3333.0,3500.0,2024-01-03,2024,1,3,14,2,3,0,-167.0,-5.01
2024-01-03 14:00:00,3247.0,3420.0,2024-01-03,2024,1,3,15,2,3,0,-173.0,-5.33
2024-01-03 15:00:00,3208.0,3380.0,2024-01-03,2024,1,3,16,2,3,0,-172.0,-5.36
2024-01-03 16:00:00,3387.0,3520.0,2024-01-03,2024,1,3,17,2,3,0,-133.0,-3.93
2024-01-03 17:00:00,3373.0,3490.0,2024-01-03,2024,1,3,18,2,3,0,-117.0,-3.47
2024-01-03 18:00:00,3349.0,3440.0,2024-01-03,2024,1,3,19,2,3,0,-91.0,-2.72
2024-01-03 19:00:00,3290.0,3290.0,2024-01-03,2024,1,3,20,2,3,0,0.0,0.0
2024-01-03 20:00:00,3219.0,3200.0,2024-01-03,2024,1,3,21,2,3,0,19.0,0.59
