vector,group,unit,note,status,n,first,last,cadence_median_s,cadence_label,gap_regularity_pct,coverage_days,expected_points,completeness_pct,min,p05,median,mean,p95,max,std,zero_frac
Okte.Odchylka,imbalance,MWh,"System imbalance actual, 15-min",ok,2836,2026-03-21T09:00:00+00:00,2026-04-19T21:45:00+00:00,900.0,15-min,100.0,29.53,2835,100.0,-129.647,-21.460749999999997,-0.281,0.9582602256699579,27.619,63.967,14.721317738660295,0.0
F.B.Odchylka,imbalance,MWh,BEAM imbalance prediction,ok,1,2026-02-07T11:06:15+00:00,2026-02-07T11:06:15+00:00,,n/a,,0.0,0,,-3.4012,-3.4012,-3.4012,-3.4012,-3.4012,-3.4012,,0.0
Okte.MargCena,price,EUR/MWh,"DA clearing price, hourly",ok,2881,2026-03-21T09:00:00+00:00,2026-04-20T09:00:00+00:00,900.0,15-min,100.0,30.0,2880,100.0,-154.2,-1.0,111.9,101.10351614022908,183.78,305.86,58.80009182273129,0.006594932315168344
SK.F.M.Merged.Spot,price,EUR/MWh,"DA spot forecast, 15-min",ok,2881,2026-03-21T09:00:00+00:00,2026-04-20T09:00:00+00:00,900.0,15-min,100.0,30.0,2880,100.0,-36.91727110273266,0.31459827149998715,100.69823001357464,92.46519029541655,164.25522075972057,189.59693918307323,47.21519151180442,0.0
PICASSO.MarginalPricess.SEPS_POS.Weighted,price,EUR/MWh,Positive imbalance price (weighted),ok,2547,2026-03-21T09:00:00+00:00,2026-04-20T08:30:00+00:00,900.0,15-min,94.0,29.98,2878,88.5,-62.39,17.400000000000002,95.81,95.63930899096977,167.308,514.37,51.252843075524765,0.00039261876717707107
PICASSO.MarginalPricess.SEPS_NEG.Weighted,price,EUR/MWh,Negative imbalance price (weighted),ok,2391,2026-03-21T09:00:00+00:00,2026-04-20T08:45:00+00:00,900.0,15-min,92.7,29.99,2879,83.0,-457.38,-0.835,80.95,73.29398159765789,129.305,294.18,47.00273531030627,0.0
Sk.Final.Cons.SEPS,load,MW,"SK actual load (ENTSO-E), hourly",ok,720,2026-03-21T09:00:00+00:00,2026-04-20T08:00:00+00:00,3600.0,hourly,100.0,29.96,719,100.1,1975.0,2267.55,2883.5,2892.169722222222,3576.2999999999997,3774.0,395.17235073715267,0.0
SK.F.Cons.M.1,load,MW,SK consumption forecast (GFS),ok,2881,2026-03-21T09:00:00+00:00,2026-04-20T09:00:00+00:00,900.0,15-min,100.0,30.0,2880,100.0,1938.0532555165648,2300.7193308632905,2876.9204167688144,2889.8369238702453,3559.785225385594,3777.823320897074,380.23234425252775,0.0
Sk.A.Solar,gen,MW,Actual solar,ok,720,2026-03-21T09:00:00+00:00,2026-04-20T08:00:00+00:00,3600.0,hourly,100.0,29.96,719,100.1,0.0,0.1,6.300000000000001,79.25097222222222,321.52,401.6,111.54893772108707,0.006944444444444444
SK.A.Nuclear,gen,MW,Actual nuclear (baseload),ok,719,2026-03-21T09:00:00+00:00,2026-04-20T07:00:00+00:00,3600.0,hourly,100.0,29.92,718,100.1,1779.5,1802.98,1963.3,2111.5514603616134,2458.12,2464.4,235.0828389404444,0.0
Sk.A.HydroPump,gen,MW,Pumped hydro generation,ok,497,2026-03-21T14:00:00+00:00,2026-04-20T07:00:00+00:00,3600.0,hourly,93.1,29.71,713,69.7,0.0,0.0,28.6,109.08028169014084,393.71999999999997,555.4,141.32152119312843,0.11670020120724346
Sk.T.Actual60,weather,C,"Actual temperature, hourly",ok,720,2026-03-21T09:00:00+00:00,2026-04-20T08:00:00+00:00,3600.0,hourly,100.0,29.96,719,100.1,-1.0757639141169248,3.3402261193943708,8.733617501306194,9.400940788812902,17.176963393038783,21.38518900695085,4.329516442334108,0.001388888888888889
