month,n,mae,bias,pct_revised,pct_flip,max_abs
2025-04,1020,0.3,0.3,3.922,0.0,26.0
2025-05,2976,0.037,0.034,2.05,0.101,25.0
2025-06,2880,0.138,0.138,1.424,0.174,35.0
2025-07,2976,0.079,-0.007,0.437,0.0,26.0
2025-08,2976,0.0,-0.0,0.538,0.0,0.023
2025-09,2880,0.002,-0.001,0.799,0.0,1.696
2025-10,2976,0.038,-0.018,2.251,0.034,13.016
2025-11,2880,0.078,0.077,1.597,0.174,60.782
2025-12,2976,1.388,1.383,7.09,1.445,1725.119
2026-01,2976,0.133,0.03,8.468,0.302,26.966
2026-02,2688,0.008,0.008,2.567,0.0,11.458
2026-03,2976,0.139,0.114,4.738,0.067,139.399
2026-04,1816,0.048,0.048,21.531,0.11,14.468
