time,price,imb,regime,hour,hour_of_day,weekday
2026-04-01 00:00:00+00:00,138.248,-9.833,deficit,0.0,0,2
2026-04-01 00:15:00+00:00,138.05,-4.245,deficit,0.25,0,2
2026-04-01 00:30:00+00:00,139.502,-4.055,deficit,0.5,0,2
2026-04-01 00:45:00+00:00,88.687,1.295,surplus,0.75,0,2
2026-04-01 01:00:00+00:00,136.048,-2.066,deficit,1.0,1,2
2026-04-01 01:15:00+00:00,87.266,0.798,surplus,1.25,1,2
2026-04-01 01:30:00+00:00,109.573,0.189,surplus,1.5,1,2
2026-04-01 01:45:00+00:00,30.636,0.209,surplus,1.75,1,2
2026-04-01 02:00:00+00:00,112.343,5.177,surplus,2.0,2,2
2026-04-01 02:15:00+00:00,109.93,6.053,surplus,2.25,2,2
2026-04-01 02:30:00+00:00,51.634,9.0,surplus,2.5,2,2
2026-04-01 02:45:00+00:00,87.979,10.673,surplus,2.75,2,2
2026-04-01 03:00:00+00:00,120.832,6.855,surplus,3.0,3,2
2026-04-01 03:15:00+00:00,144.29,15.787,surplus,3.25,3,2
2026-04-01 03:30:00+00:00,131.088,11.998,surplus,3.5,3,2
2026-04-01 03:45:00+00:00,132.463,13.794,surplus,3.75,3,2
2026-04-01 04:00:00+00:00,115.127,6.46,surplus,4.0,4,2
2026-04-01 04:15:00+00:00,163.889,8.858,surplus,4.25,4,2
2026-04-01 04:30:00+00:00,67.931,6.726,surplus,4.5,4,2
2026-04-01 04:45:00+00:00,59.529,3.139,surplus,4.75,4,2
2026-04-01 05:00:00+00:00,254.199,-0.375,deficit,5.0,5,2
2026-04-01 05:15:00+00:00,185.567,3.843,surplus,5.25,5,2
2026-04-01 05:30:00+00:00,96.045,14.106,surplus,5.5,5,2
2026-04-01 05:45:00+00:00,109.587,28.247,surplus,5.75,5,2
2026-04-01 06:00:00+00:00,118.066,18.999,surplus,6.0,6,2
2026-04-01 06:15:00+00:00,101.711,27.5,surplus,6.25,6,2
2026-04-01 06:30:00+00:00,90.508,24.435,surplus,6.5,6,2
2026-04-01 06:45:00+00:00,110.191,28.629,surplus,6.75,6,2
2026-04-01 07:00:00+00:00,96.381,27.734,surplus,7.0,7,2
2026-04-01 07:15:00+00:00,91.421,25.235,surplus,7.25,7,2
2026-04-01 07:30:00+00:00,77.722,25.888,surplus,7.5,7,2
2026-04-01 07:45:00+00:00,117.921,39.34,surplus,7.75,7,2
2026-04-01 08:00:00+00:00,133.8302,26.976,surplus,8.0,8,2
2026-04-01 08:15:00+00:00,90.447,28.649,surplus,8.25,8,2
2026-04-01 08:30:00+00:00,100.967,28.207,surplus,8.5,8,2
2026-04-01 08:45:00+00:00,67.987,28.141,surplus,8.75,8,2
2026-04-01 09:00:00+00:00,-18.174,21.937,surplus,9.0,9,2
2026-04-01 09:15:00+00:00,-18.1,20.793,surplus,9.25,9,2
2026-04-01 09:30:00+00:00,-23.283,34.41,surplus,9.5,9,2
2026-04-01 09:45:00+00:00,1.876,27.055,surplus,9.75,9,2
2026-04-01 10:00:00+00:00,58.242,22.254,surplus,10.0,10,2
2026-04-01 10:15:00+00:00,76.112,19.732,surplus,10.25,10,2
2026-04-01 10:30:00+00:00,0.772,31.666,surplus,10.5,10,2
2026-04-01 10:45:00+00:00,-22.045,32.83,surplus,10.75,10,2
2026-04-01 11:00:00+00:00,12.644,33.53,surplus,11.0,11,2
2026-04-01 11:15:00+00:00,7.755,43.313,surplus,11.25,11,2
2026-04-01 11:30:00+00:00,-7.891,42.653,surplus,11.5,11,2
2026-04-01 11:45:00+00:00,-14.745,32.754,surplus,11.75,11,2
2026-04-01 12:00:00+00:00,-12.044,24.805,surplus,12.0,12,2
2026-04-01 12:15:00+00:00,45.987,20.177,surplus,12.25,12,2
2026-04-01 12:30:00+00:00,26.11,17.609,surplus,12.5,12,2
2026-04-01 12:45:00+00:00,39.832,11.046,surplus,12.75,12,2
2026-04-01 13:00:00+00:00,2.181,5.3,surplus,13.0,13,2
2026-04-01 13:15:00+00:00,10.282,11.1,surplus,13.25,13,2
2026-04-01 13:30:00+00:00,18.775,18.448,surplus,13.5,13,2
2026-04-01 13:45:00+00:00,79.493,20.307,surplus,13.75,13,2
2026-04-01 14:00:00+00:00,20.167,17.814,surplus,14.0,14,2
2026-04-01 14:15:00+00:00,26.678,2.189,surplus,14.25,14,2
2026-04-01 14:30:00+00:00,18.375,9.049,surplus,14.5,14,2
2026-04-01 14:45:00+00:00,76.479,4.358,surplus,14.75,14,2
2026-04-01 15:00:00+00:00,130.317,-3.854,deficit,15.0,15,2
2026-04-01 15:15:00+00:00,129.0251,-3.629,deficit,15.25,15,2
2026-04-01 15:30:00+00:00,179.696,-0.81,deficit,15.5,15,2
2026-04-01 15:45:00+00:00,157.718,-7.892,deficit,15.75,15,2
2026-04-01 16:00:00+00:00,146.09,-4.319,deficit,16.0,16,2
2026-04-01 16:15:00+00:00,171.651,-7.204,deficit,16.25,16,2
2026-04-01 16:30:00+00:00,167.4823,-1.249,deficit,16.5,16,2
2026-04-01 16:45:00+00:00,216.183,-6.965,deficit,16.75,16,2
2026-04-01 17:00:00+00:00,104.604,0.463,surplus,17.0,17,2
2026-04-01 17:15:00+00:00,116.86,6.318,surplus,17.25,17,2
2026-04-01 17:30:00+00:00,219.571,-7.213,deficit,17.5,17,2
2026-04-01 17:45:00+00:00,230.56,-7.24,deficit,17.75,17,2
2026-04-01 18:00:00+00:00,216.3195,-10.936,deficit,18.0,18,2
2026-04-01 18:15:00+00:00,199.342,-0.997,deficit,18.25,18,2
2026-04-01 18:30:00+00:00,198.0,-2.421,deficit,18.5,18,2
2026-04-01 18:45:00+00:00,180.6425,-3.012,deficit,18.75,18,2
2026-04-01 19:00:00+00:00,136.686,1.499,surplus,19.0,19,2
2026-04-01 19:15:00+00:00,185.625,-9.554,deficit,19.25,19,2
2026-04-01 19:30:00+00:00,179.003,-3.753,deficit,19.5,19,2
2026-04-01 19:45:00+00:00,178.254,-3.298,deficit,19.75,19,2
2026-04-01 20:00:00+00:00,184.404,-4.154,deficit,20.0,20,2
2026-04-01 20:15:00+00:00,170.731,-12.187,deficit,20.25,20,2
2026-04-01 20:30:00+00:00,166.705,-8.577,deficit,20.5,20,2
2026-04-01 20:45:00+00:00,164.1081,-3.884,deficit,20.75,20,2
2026-04-01 21:00:00+00:00,86.914,1.413,surplus,21.0,21,2
2026-04-01 21:15:00+00:00,111.773,1.34,surplus,21.25,21,2
2026-04-01 21:30:00+00:00,117.859,0.828,surplus,21.5,21,2
2026-04-01 21:45:00+00:00,113.732,0.156,surplus,21.75,21,2
2026-04-01 22:00:00+00:00,155.1,-2.108,deficit,22.0,22,2
2026-04-01 22:15:00+00:00,161.961,-4.161,deficit,22.25,22,2
2026-04-01 22:30:00+00:00,133.705,-2.61,deficit,22.5,22,2
2026-04-01 22:45:00+00:00,131.23,-2.694,deficit,22.75,22,2
2026-04-01 23:00:00+00:00,137.973,-5.572,deficit,23.0,23,2
2026-04-01 23:15:00+00:00,133.5133,-1.582,deficit,23.25,23,2
2026-04-01 23:30:00+00:00,103.88,0.354,surplus,23.5,23,2
2026-04-01 23:45:00+00:00,107.8,3.882,surplus,23.75,23,2
2026-04-02 00:00:00+00:00,130.329,-2.283,deficit,0.0,0,3
2026-04-02 00:15:00+00:00,125.884,-1.238,deficit,0.25,0,3
2026-04-02 00:30:00+00:00,125.125,-4.829,deficit,0.5,0,3
2026-04-02 00:45:00+00:00,122.573,-5.94,deficit,0.75,0,3
2026-04-02 01:00:00+00:00,147.933,-4.438,deficit,1.0,1,3
2026-04-02 01:15:00+00:00,147.017,-2.328,deficit,1.25,1,3
