time,price,imb,regime,hour,hour_of_day,weekday
2026-01-01 00:00:00+00:00,139.155,-20.185,deficit,0.0,0,3
2026-01-01 00:15:00+00:00,128.299,-19.59,deficit,0.25,0,3
2026-01-01 00:30:00+00:00,111.455,-13.131,deficit,0.5,0,3
2026-01-01 00:45:00+00:00,135.171,-10.001,deficit,0.75,0,3
2026-01-01 01:00:00+00:00,114.366,-20.192,deficit,1.0,1,3
2026-01-01 01:15:00+00:00,101.673,-16.387,deficit,1.25,1,3
2026-01-01 01:30:00+00:00,98.904,-21.209,deficit,1.5,1,3
2026-01-01 01:45:00+00:00,90.299,-19.766,deficit,1.75,1,3
2026-01-01 02:00:00+00:00,131.364,-22.614,deficit,2.0,2,3
2026-01-01 02:15:00+00:00,108.913,-21.524,deficit,2.25,2,3
2026-01-01 02:30:00+00:00,94.257,-17.005,deficit,2.5,2,3
2026-01-01 02:45:00+00:00,97.306,-8.81,deficit,2.75,2,3
2026-01-01 03:00:00+00:00,75.722,-5.406,deficit,3.0,3,3
2026-01-01 03:15:00+00:00,82.395,-2.764,deficit,3.25,3,3
2026-01-01 03:30:00+00:00,48.98,1.392,surplus,3.5,3,3
2026-01-01 03:45:00+00:00,81.02,-2.599,deficit,3.75,3,3
2026-01-01 04:00:00+00:00,86.886,-3.568,deficit,4.0,4,3
2026-01-01 04:15:00+00:00,76.169,-3.182,deficit,4.25,4,3
2026-01-01 04:30:00+00:00,111.145,-3.968,deficit,4.5,4,3
2026-01-01 04:45:00+00:00,81.183,-3.397,deficit,4.75,4,3
2026-01-01 05:00:00+00:00,79.691,-2.105,deficit,5.0,5,3
2026-01-01 05:15:00+00:00,75.8375,-3.061,deficit,5.25,5,3
2026-01-01 05:30:00+00:00,44.38,1.306,surplus,5.5,5,3
2026-01-01 05:45:00+00:00,71.995,-3.83,deficit,5.75,5,3
2026-01-01 06:00:00+00:00,55.793,-4.376,deficit,6.0,6,3
2026-01-01 06:15:00+00:00,78.76,1.897,surplus,6.25,6,3
2026-01-01 06:30:00+00:00,31.4943,4.868,surplus,6.5,6,3
2026-01-01 06:45:00+00:00,43.0928,0.698,surplus,6.75,6,3
2026-01-01 07:00:00+00:00,48.69,1.749,surplus,7.0,7,3
2026-01-01 07:15:00+00:00,47.5,3.465,surplus,7.25,7,3
2026-01-01 07:30:00+00:00,23.373,9.739,surplus,7.5,7,3
2026-01-01 07:45:00+00:00,-1.427,1.995,surplus,7.75,7,3
2026-01-01 08:00:00+00:00,73.796,-0.48,deficit,8.0,8,3
2026-01-01 08:15:00+00:00,44.0765,8.103,surplus,8.25,8,3
2026-01-01 08:30:00+00:00,132.873,-6.451,deficit,8.5,8,3
2026-01-01 08:45:00+00:00,11.12,2.277,surplus,8.75,8,3
2026-01-01 09:00:00+00:00,120.411,-1.06,deficit,9.0,9,3
2026-01-01 09:15:00+00:00,70.349,-1.347,deficit,9.25,9,3
2026-01-01 09:30:00+00:00,34.2418,-1.028,deficit,9.5,9,3
2026-01-01 09:45:00+00:00,1.475,3.992,surplus,9.75,9,3
2026-01-01 10:00:00+00:00,32.79,2.168,surplus,10.0,10,3
2026-01-01 10:15:00+00:00,15.832,3.95,surplus,10.25,10,3
2026-01-01 10:30:00+00:00,-12.746,4.238,surplus,10.5,10,3
2026-01-01 10:45:00+00:00,-16.125,8.1,surplus,10.75,10,3
2026-01-01 11:00:00+00:00,16.317,14.524,surplus,11.0,11,3
2026-01-01 11:15:00+00:00,1.563,10.761,surplus,11.25,11,3
2026-01-01 11:30:00+00:00,1.476,13.924,surplus,11.5,11,3
2026-01-01 11:45:00+00:00,-5.239,15.711,surplus,11.75,11,3
2026-01-01 12:00:00+00:00,-2.862,10.184,surplus,12.0,12,3
2026-01-01 12:15:00+00:00,-1.776,7.04,surplus,12.25,12,3
2026-01-01 12:30:00+00:00,25.2779,3.104,surplus,12.5,12,3
2026-01-01 12:45:00+00:00,25.3408,2.329,surplus,12.75,12,3
2026-01-01 13:00:00+00:00,28.5277,0.426,surplus,13.0,13,3
2026-01-01 13:15:00+00:00,96.539,-4.098,deficit,13.25,13,3
2026-01-01 13:30:00+00:00,123.278,-19.787,deficit,13.5,13,3
2026-01-01 13:45:00+00:00,125.412,-18.288,deficit,13.75,13,3
2026-01-01 14:00:00+00:00,131.953,-3.379,deficit,14.0,14,3
2026-01-01 14:15:00+00:00,114.654,-11.888,deficit,14.25,14,3
2026-01-01 14:30:00+00:00,97.307,-6.429,deficit,14.5,14,3
2026-01-01 14:45:00+00:00,111.133,-6.526,deficit,14.75,14,3
2026-01-01 15:00:00+00:00,75.0105,-10.766,deficit,15.0,15,3
2026-01-01 15:15:00+00:00,121.176,-10.77,deficit,15.25,15,3
2026-01-01 15:30:00+00:00,131.549,-4.858,deficit,15.5,15,3
