time,real,proxy,imb,regime,spread,hour_of_day,weekday
2026-01-01 00:00:00+00:00,139.155,139.155,-20.185,deficit,0.0,0,3
2026-01-01 00:15:00+00:00,128.299,128.299,-19.59,deficit,0.0,0,3
2026-01-01 00:30:00+00:00,111.455,111.455,-13.131,deficit,0.0,0,3
2026-01-01 00:45:00+00:00,135.171,135.171,-10.001,deficit,0.0,0,3
2026-01-01 01:00:00+00:00,114.366,114.366,-20.192,deficit,0.0,1,3
2026-01-01 01:15:00+00:00,95.904,101.673,-16.387,deficit,5.7690000000000055,1,3
2026-01-01 01:30:00+00:00,98.904,98.904,-21.209,deficit,0.0,1,3
2026-01-01 01:45:00+00:00,87.464,90.299,-19.766,deficit,2.835000000000008,1,3
2026-01-01 02:00:00+00:00,131.364,131.364,-22.614,deficit,0.0,2,3
2026-01-01 02:15:00+00:00,108.913,108.913,-21.524,deficit,0.0,2,3
2026-01-01 02:30:00+00:00,94.257,94.257,-17.005,deficit,0.0,2,3
2026-01-01 02:45:00+00:00,97.306,97.306,-8.81,deficit,0.0,2,3
2026-01-01 03:00:00+00:00,75.722,75.722,-5.406,deficit,0.0,3,3
2026-01-01 03:15:00+00:00,82.395,82.395,-2.764,deficit,0.0,3,3
2026-01-01 03:30:00+00:00,77.904,48.98,1.392,surplus,-28.924,3,3
2026-01-01 03:45:00+00:00,81.02,81.02,-2.599,deficit,0.0,3,3
2026-01-01 04:00:00+00:00,86.886,86.886,-3.568,deficit,0.0,4,3
2026-01-01 04:15:00+00:00,76.169,76.169,-3.182,deficit,0.0,4,3
2026-01-01 04:30:00+00:00,111.145,111.145,-3.968,deficit,0.0,4,3
2026-01-01 04:45:00+00:00,81.183,81.183,-3.397,deficit,0.0,4,3
2026-01-01 05:00:00+00:00,79.691,79.691,-2.105,deficit,0.0,5,3
2026-01-01 05:15:00+00:00,44.989,75.8375,-3.061,deficit,30.84850000000001,5,3
2026-01-01 05:30:00+00:00,75.018,44.38,1.306,surplus,-30.637999999999998,5,3
2026-01-01 05:45:00+00:00,71.995,71.995,-3.83,deficit,0.0,5,3
2026-01-01 06:00:00+00:00,55.793,55.793,-4.376,deficit,0.0,6,3
2026-01-01 06:15:00+00:00,78.974,78.76,1.897,surplus,-0.21399999999999864,6,3
2026-01-01 06:30:00+00:00,83.775,31.4943,4.868,surplus,-52.28070000000001,6,3
2026-01-01 06:45:00+00:00,55.479,43.0928,0.698,surplus,-12.386200000000002,6,3
2026-01-01 07:00:00+00:00,68.756,48.69,1.749,surplus,-20.066000000000003,7,3
2026-01-01 07:15:00+00:00,70.2,47.5,3.465,surplus,-22.700000000000003,7,3
2026-01-01 07:30:00+00:00,23.373,23.373,9.739,surplus,0.0,7,3
2026-01-01 07:45:00+00:00,-1.427,-1.427,1.995,surplus,0.0,7,3
2026-01-01 08:00:00+00:00,73.796,73.796,-0.48,deficit,0.0,8,3
2026-01-01 08:15:00+00:00,58.555,44.0765,8.103,surplus,-14.478499999999997,8,3
2026-01-01 08:30:00+00:00,132.873,132.873,-6.451,deficit,0.0,8,3
2026-01-01 08:45:00+00:00,48.243,11.12,2.277,surplus,-37.123000000000005,8,3
2026-01-01 09:00:00+00:00,120.411,120.411,-1.06,deficit,0.0,9,3
2026-01-01 09:15:00+00:00,70.349,70.349,-1.347,deficit,0.0,9,3
2026-01-01 09:30:00+00:00,22.452,34.2418,-1.028,deficit,11.789799999999996,9,3
2026-01-01 09:45:00+00:00,1.475,1.475,3.992,surplus,0.0,9,3
